Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
Aria,0,1,DT,0.990521327014218,0.964285714285714,0.994594594594595,0.964285714285714,0.978764090177134,0.957536727711813,0.003522396087646,0.001184463500977,0.004706859588623,0
Aria,0,2,DT,0.981042654028436,0.957636142379069,0.977539682539682,0.957636142379069,0.967225846536191,0.93446187296164,0.004048585891724,0.000997304916382,0.005045890808105,0
Aria,0,3,DT,0.985781990521327,0.980739360049705,0.970794037115911,0.980739360049705,0.975677233429395,0.951356335971721,0.003120183944702,0.0,0.003120183944702,0
Aria,0,4,DT,0.990521327014218,0.994186046511628,0.975609756097561,0.994186046511628,0.984576023391813,0.969156556059056,0.003122806549072,0.0,0.003122806549072,0
Aria,0,5,DT,0.990521327014218,0.983612923268096,0.983612923268096,0.983612923268096,0.983612923268096,0.967225846536191,0.004202604293823,0.0,0.004202604293823,0
Aria,0,6,DT,0.995260663507109,0.997206703910614,0.984848484848485,0.997206703910614,0.990907132083603,0.981815047832457,0.003136873245239,0.001039266586304,0.004176139831543,0
Aria,0,7,DT,0.995238095238095,0.997191011235955,0.984848484848485,0.997191011235955,0.990899241603467,0.981799271970879,0.004172086715698,0.0,0.004172086715698,0
Aria,0,8,DT,0.995238095238095,0.997093023255814,0.987179487179487,0.997093023255814,0.992048767558972,0.984098137210359,0.003194093704224,0.001041889190674,0.004235982894897,0
Aria,0,9,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.00504207611084,0.0,0.00504207611084,0
Aria,0,10,DT,0.995238095238095,0.997126436781609,0.986486486486486,0.997126436781609,0.991709762741305,0.983420180009474,0.004167556762695,0.0,0.004167556762695,0
