Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
D-LinkCam,0,1,DT,0.975,0.954122795022563,0.957654145995748,0.954122795022563,0.95587694570413,0.911754324038122,0.066020011901855,0.0,0.066020011901855,0
D-LinkCam,0,2,DT,0.963333333333333,0.950928874216171,0.925274968219754,0.950928874216171,0.937441944228545,0.874921826141338,0.074800729751587,0.0,0.074800729751587,0
D-LinkCam,0,3,DT,0.943333333333333,0.896333035206114,0.896333035206114,0.896333035206114,0.896333035206114,0.792666070412229,0.068015813827515,0.000997066497803,0.069012880325317,0
D-LinkCam,0,4,DT,0.98,0.967268553626693,0.959656444686385,0.967268553626693,0.963411659484511,0.926824806390634,0.080537557601929,0.000998735427856,0.081536293029785,0
D-LinkCam,0,5,DT,0.95,0.938,0.895278319254927,0.938,0.914693560311653,0.829545454545455,0.072560548782349,0.0,0.072560548782349,0
D-LinkCam,0,6,DT,0.961666666666667,0.948027803210075,0.92708036477629,0.948027803210075,0.937094017094017,0.874216129502698,0.049869298934937,0.0,0.049869298934937,0
D-LinkCam,0,7,DT,0.956666666666667,0.91996640034381,0.926566003293716,0.91996640034381,0.92322230096858,0.846447624859736,0.052338123321533,0.0,0.052338123321533,0
D-LinkCam,0,8,DT,0.966666666666667,0.936974029499593,0.9287109375,0.936974029499593,0.932782146938227,0.865567305968812,0.056336164474487,0.001043558120728,0.057379722595215,0
D-LinkCam,0,9,DT,0.965,0.957593978639307,0.918759018759019,0.957593978639307,0.936746670415012,0.873570138470801,0.051197528839111,0.001006841659546,0.052204370498657,0
D-LinkCam,0,10,DT,0.958333333333333,0.91976455422646,0.935920151193007,0.91976455422646,0.927577865864551,0.855173212837446,0.052206516265869,0.0,0.052206516265869,0
