Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
D-LinkDayCam,0,1,DT,0.980392156862745,0.969135055314822,0.969135055314822,0.969135055314822,0.969135055314822,0.938270110629645,0.014307022094727,0.0,0.014307022094727,0
D-LinkDayCam,0,2,DT,0.992156862745098,0.978582940738904,0.989630898021309,0.978582940738904,0.984013040343563,0.968027082941508,0.013688325881958,0.001039981842041,0.014728307723999,0
D-LinkDayCam,0,3,DT,0.986274509803922,0.968235294117647,0.981963756553453,0.968235294117647,0.97493875086872,0.949880668257757,0.014037847518921,0.001009702682495,0.015047550201416,0
D-LinkDayCam,0,4,DT,0.98235294117647,0.94820699580017,0.983923135464231,0.94820699580017,0.965020309558829,0.930066733705092,0.01578950881958,0.000996589660645,0.016786098480225,0
D-LinkDayCam,0,5,DT,0.994106090373281,0.992219809760132,0.988156882850551,0.992219809760132,0.990173555474044,0.980347237416183,0.015976667404175,0.000998020172119,0.016974687576294,0
D-LinkDayCam,0,6,DT,0.994106090373281,0.991490711895696,0.986633917861427,0.991490711895696,0.989043160047358,0.978086477333065,0.013711214065552,0.0,0.013711214065552,0
D-LinkDayCam,0,7,DT,0.976424361493124,0.962970528953533,0.95472177635099,0.962970528953533,0.958783200172749,0.917568625334017,0.014322280883789,0.0,0.014322280883789,0
D-LinkDayCam,0,8,DT,0.976424361493124,0.970967462789893,0.944721359699297,0.970967462789893,0.957226890756302,0.914475342350668,0.014200448989868,0.0,0.014200448989868,0
D-LinkDayCam,0,9,DT,0.984282907662082,0.980909553707789,0.963147573132865,0.980909553707789,0.971753607103219,0.943513483520142,0.014101505279541,0.001010179519653,0.015111684799194,0
D-LinkDayCam,0,10,DT,0.984282907662082,0.976456714761376,0.967709865446424,0.976456714761376,0.972016053658805,0.944033645784656,0.015209436416626,0.0,0.015209436416626,0
