Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
D-LinkDoorSensor,0,1,DT,0.975,0.959821428571429,0.948557430593359,0.959821428571429,0.954075774971297,0.908155767817781,0.034581661224365,0.0,0.034581661224365,0
D-LinkDoorSensor,0,2,DT,0.985,0.97537207654146,0.97170401047059,0.97537207654146,0.973526167422478,0.947052594422873,0.041038751602173,0.0,0.041038751602173,0
D-LinkDoorSensor,0,3,DT,0.973333333333333,0.957880002545015,0.942489393535693,0.957880002545015,0.949973944762897,0.899956230850997,0.038591384887695,0.0,0.038591384887695,0
D-LinkDoorSensor,0,4,DT,0.976666666666667,0.972168074507256,0.954166666666667,0.972168074507256,0.962839093273876,0.925690021231423,0.033185005187988,0.0,0.033185005187988,0
D-LinkDoorSensor,0,5,DT,0.97,0.941176470588235,0.941176470588235,0.941176470588235,0.941176470588235,0.882352941176471,0.033177852630615,0.0,0.033177852630615,0
D-LinkDoorSensor,0,6,DT,0.973333333333333,0.951611927659832,0.951611927659832,0.951611927659832,0.951611927659832,0.903223855319664,0.042687892913818,0.0,0.042687892913818,0
D-LinkDoorSensor,0,7,DT,0.991666666666667,0.982852476864453,0.986807870558582,0.982852476864453,0.984817122237349,0.969634398153771,0.037027597427368,0.000997543334961,0.038025140762329,0
D-LinkDoorSensor,0,8,DT,0.975,0.966689250225836,0.950618742163508,0.966689250225836,0.958402469968894,0.91681455190772,0.03385591506958,0.0,0.03385591506958,0
D-LinkDoorSensor,0,9,DT,0.961666666666667,0.943745142272184,0.92827868852459,0.943745142272184,0.935765852568668,0.871546652766401,0.036309719085693,0.0,0.036309719085693,0
D-LinkDoorSensor,0,10,DT,0.968333333333333,0.963497090037658,0.923160321150202,0.963497090037658,0.941829314963643,0.883730417754569,0.035046577453613,0.0,0.035046577453613,0
