Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
D-LinkHomeHub,0,1,DT,0.921666666666667,0.874431448992852,0.871940833706858,0.874431448992852,0.873178058904744,0.74635725849973,0.047412157058716,0.0,0.047412157058716,0
D-LinkHomeHub,0,2,DT,0.93,0.887888381262914,0.876968993533411,0.887888381262914,0.882284796053738,0.764587186816882,0.045688152313232,0.0,0.045688152313232,0
D-LinkHomeHub,0,3,DT,0.923333333333333,0.856831790963528,0.862741079297411,0.856831790963528,0.859744694690625,0.719495091164095,0.046581029891968,0.001089572906494,0.047670602798462,0
D-LinkHomeHub,0,4,DT,0.936666666666667,0.872286079182631,0.872286079182631,0.872286079182631,0.872286079182631,0.744572158365262,0.046370029449463,0.001035928726196,0.047405958175659,0
D-LinkHomeHub,0,5,DT,0.938333333333333,0.866927530699243,0.891389919464302,0.866927530699243,0.878528553997341,0.757122226598398,0.054504632949829,0.0,0.054504632949829,0
D-LinkHomeHub,0,6,DT,0.946666666666667,0.906537116838768,0.9,0.906537116838768,0.903223855319664,0.806451612903226,0.044288873672485,0.0,0.044288873672485,0
D-LinkHomeHub,0,7,DT,0.931666666666667,0.889257923704688,0.896669948660243,0.889257923704688,0.892893995532896,0.785796384660931,0.050952434539795,0.0,0.050952434539795,0
D-LinkHomeHub,0,8,DT,0.936666666666667,0.876915059927045,0.883501940573901,0.876915059927045,0.880161466655454,0.760327972248502,0.047507286071777,0.0,0.047507286071777,0
D-LinkHomeHub,0,9,DT,0.948333333333333,0.925699600228441,0.878790958614522,0.925699600228441,0.900059641826652,0.800300622718488,0.04131555557251,0.001008272171021,0.04232382774353,0
D-LinkHomeHub,0,10,DT,0.913333333333333,0.82549256929701,0.85416351821067,0.82549256929701,0.838789682539682,0.677745873701171,0.051187515258789,0.001236438751221,0.05242395401001,0
