Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
D-LinkSensor,0,1,DT,0.94,0.904533611255862,0.879119376452892,0.904533611255862,0.891126837234622,0.782323893983674,0.039544343948364,0.000998497009277,0.040542840957642,0
D-LinkSensor,0,2,DT,0.941666666666667,0.893,0.896177342285127,0.893,0.89457778402502,0.789156626506024,0.036578893661499,0.0,0.036578893661499,0
D-LinkSensor,0,3,DT,0.943333333333333,0.89891837043114,0.885148514851485,0.89891837043114,0.891836864541579,0.783692079312904,0.041810274124146,0.0,0.041810274124146,0
D-LinkSensor,0,4,DT,0.923333333333333,0.861410018552876,0.877636476426799,0.861410018552876,0.869196792477868,0.738438210765732,0.034186840057373,0.0,0.034186840057373,0
D-LinkSensor,0,5,DT,0.936666666666667,0.871499453368094,0.884967320261438,0.871499453368094,0.878038343033208,0.75609756097561,0.035523653030396,0.0,0.035523653030396,0
D-LinkSensor,0,6,DT,0.916666666666667,0.82420905707196,0.871182528409091,0.82420905707196,0.844990079365079,0.690389696169089,0.035878896713257,0.001001834869385,0.036880731582642,0
D-LinkSensor,0,7,DT,0.94,0.879960317460318,0.893358438890791,0.879960317460318,0.886468757884114,0.772956609485368,0.036727428436279,0.001123905181885,0.037851333618164,0
D-LinkSensor,0,8,DT,0.94,0.902259500171174,0.876,0.902259500171174,0.888392857142857,0.776859504132231,0.041824579238892,0.0,0.041824579238892,0
D-LinkSensor,0,9,DT,0.891666666666667,0.842022263450835,0.814209745871044,0.842022263450835,0.82690592114899,0.654071314529005,0.035613298416138,0.0,0.035613298416138,0
D-LinkSensor,0,10,DT,0.931666666666667,0.886065943992773,0.883303125992638,0.886065943992773,0.88467542695876,0.769351935193519,0.034739971160889,0.001006364822388,0.035746335983276,0
