Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
D-LinkSiren,0,1,DT,0.933333333333333,0.895083746898263,0.878107606679035,0.895083746898263,0.886258080415537,0.772554965883245,0.036781549453735,0.0,0.036781549453735,0
D-LinkSiren,0,2,DT,0.918333333333333,0.848544597121717,0.851437765161608,0.848544597121717,0.849980864906238,0.699963260807446,0.038895130157471,0.000998258590698,0.039893388748169,0
D-LinkSiren,0,3,DT,0.925,0.879464285714286,0.853246753246753,0.879464285714286,0.865537178970015,0.731182795698925,0.037569761276245,0.001002550125122,0.038572311401367,0
D-LinkSiren,0,4,DT,0.926666666666667,0.87940379403794,0.874025974025974,0.87940379403794,0.876679310151535,0.753363228699552,0.041420936584473,0.0,0.041420936584473,0
D-LinkSiren,0,5,DT,0.925,0.890568497182743,0.847110372017414,0.890568497182743,0.866594858467027,0.733486003079717,0.03475022315979,0.001206398010254,0.035956621170044,0
D-LinkSiren,0,6,DT,0.935,0.880893300248139,0.889849004940574,0.880893300248139,0.885280058830739,0.7705702408032,0.035940885543823,0.001006841659546,0.036947727203369,0
D-LinkSiren,0,7,DT,0.93,0.905371779859485,0.875372729737056,0.905371779859485,0.889232716787397,0.778605566488614,0.034868478775024,0.001005411148071,0.035873889923096,0
D-LinkSiren,0,8,DT,0.93,0.874,0.874,0.874,0.874,0.748,0.037294149398804,0.0,0.037294149398804,0
D-LinkSiren,0,9,DT,0.925,0.862992575671045,0.839994864772338,0.862992575671045,0.850887221034843,0.701855123674912,0.032498359680176,0.001048564910889,0.033546924591064,0
D-LinkSiren,0,10,DT,0.91,0.840742756910422,0.835334034405444,0.840742756910422,0.838,0.676006479870403,0.040135145187378,0.000999689102173,0.041134834289551,0
