Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
D-LinkSwitch,0,1,DT,0.936666666666667,0.914232996118852,0.864945159662923,0.914232996118852,0.886902517907101,0.77409190892337,0.039756059646606,0.0,0.039756059646606,0
D-LinkSwitch,0,2,DT,0.941666666666667,0.893,0.896177342285127,0.893,0.89457778402502,0.789156626506024,0.037173748016357,0.0,0.037173748016357,0
D-LinkSwitch,0,3,DT,0.966666666666667,0.942495126705653,0.94855093676815,0.942495126705653,0.945485271937635,0.890972525076319,0.036965847015381,0.0,0.036965847015381,0
D-LinkSwitch,0,4,DT,0.935,0.87749169435216,0.859770443501396,0.87749169435216,0.868295895222068,0.736628849270665,0.047019958496094,0.0,0.047019958496094,0
D-LinkSwitch,0,5,DT,0.95,0.916512059369202,0.916512059369202,0.916512059369202,0.916512059369202,0.833024118738404,0.036722898483276,0.001042127609253,0.037765026092529,0
D-LinkSwitch,0,6,DT,0.94,0.887441375716519,0.887441375716519,0.887441375716519,0.887441375716519,0.774882751433038,0.052610397338867,0.0,0.052610397338867,0
D-LinkSwitch,0,7,DT,0.951666666666667,0.909149263950702,0.905548132595279,0.909149263950702,0.907335907335907,0.814672801635992,0.036900520324707,0.0,0.036900520324707,0
D-LinkSwitch,0,8,DT,0.945,0.912924146822684,0.897809394760614,0.912924146822684,0.905117429161535,0.810257589696412,0.055630445480347,0.0,0.055630445480347,0
D-LinkSwitch,0,9,DT,0.95,0.9245462529274,0.913294385864919,0.9245462529274,0.918778427550357,0.837568582154202,0.04023814201355,0.0,0.04023814201355,0
D-LinkSwitch,0,10,DT,0.956666666666667,0.924227828902871,0.917316881388738,0.924227828902871,0.92072526221644,0.841453747179706,0.037341594696045,0.0,0.037341594696045,0
