Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
D-LinkWaterSensor,0,1,DT,0.946666666666667,0.894752333697754,0.901745977404998,0.894752333697754,0.898199401921486,0.796403121818799,0.04306173324585,0.0,0.04306173324585,0
D-LinkWaterSensor,0,2,DT,0.93,0.860135487232934,0.873011075368639,0.860135487232934,0.866386715021951,0.732796097974764,0.043421745300293,0.001018047332764,0.044439792633057,0
D-LinkWaterSensor,0,3,DT,0.933333333333333,0.877083333333333,0.908762420957543,0.877083333333333,0.891704570067143,0.783549783549784,0.042958974838257,0.001491069793701,0.044450044631958,0
D-LinkWaterSensor,0,4,DT,0.943333333333333,0.889733250620348,0.908651109846329,0.889733250620348,0.898807516022143,0.797651166481511,0.039025545120239,0.0,0.039025545120239,0
D-LinkWaterSensor,0,5,DT,0.925,0.867547425474255,0.875757575757576,0.867547425474255,0.871569844599512,0.743150684931507,0.041206836700439,0.0,0.041206836700439,0
D-LinkWaterSensor,0,6,DT,0.938333333333333,0.896735948477752,0.899491516055933,0.896735948477752,0.898104841855961,0.796210619079092,0.038439989089966,0.0,0.038439989089966,0
D-LinkWaterSensor,0,7,DT,0.955,0.90309011675328,0.90721819380356,0.90309011675328,0.905138339920949,0.810277790790275,0.041895151138306,0.0,0.041895151138306,0
D-LinkWaterSensor,0,8,DT,0.938333333333333,0.867526797975036,0.897993607954545,0.867526797975036,0.881773399014778,0.763648752235755,0.045903921127319,0.001003980636597,0.046907901763916,0
D-LinkWaterSensor,0,9,DT,0.945,0.916675828404318,0.879,0.916675828404318,0.896377937920965,0.792887029288703,0.040251970291138,0.0,0.040251970291138,0
D-LinkWaterSensor,0,10,DT,0.926666666666667,0.84941865192292,0.874509803921569,0.84941865192292,0.861239592969473,0.722572509457755,0.038219451904297,0.000998020172119,0.039217472076416,0
