Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
EdimaxCam,0,1,DT,0.9825,0.974782128632832,0.9703125,0.974782128632832,0.972527202974912,0.945054945054945,0.011608839035034,0.0,0.011608839035034,0
EdimaxCam,0,2,DT,0.975,0.979220779220779,0.940754897276636,0.979220779220779,0.958547504559774,0.917149958574979,0.010023355484009,0.000997543334961,0.01102089881897,0
EdimaxCam,0,3,DT,0.9825,0.97715269804822,0.960223245924876,0.97715269804822,0.968436834214472,0.93688007213706,0.011218547821045,0.0,0.011218547821045,0
EdimaxCam,0,4,DT,0.9825,0.96113127646703,0.967853306736228,0.96113127646703,0.96445572834021,0.92891235909414,0.012964725494385,0.0,0.012964725494385,0
EdimaxCam,0,5,DT,0.97,0.975579089897964,0.9210154544287,0.975579089897964,0.945563418617311,0.89125016992161,0.011608123779297,0.0,0.011608123779297,0
EdimaxCam,0,6,DT,0.985,0.980185161911943,0.97025641025641,0.980185161911943,0.975128502735865,0.950259067357513,0.011102676391602,0.0,0.011102676391602,0
EdimaxCam,0,7,DT,0.979949874686717,0.978220358723503,0.961521168977145,0.978220358723503,0.969574500533781,0.939158279963404,0.011460542678833,0.000998497009277,0.01245903968811,0
EdimaxCam,0,8,DT,0.982456140350877,0.989583333333333,0.95,0.989583333333333,0.968421052631579,0.93687707641196,0.011757612228394,0.0,0.011757612228394,0
EdimaxCam,0,9,DT,0.992481203007519,0.995588235294118,0.975806451612903,0.995588235294118,0.985387648473455,0.970778507433538,0.010543346405029,0.001038789749146,0.011582136154175,0
EdimaxCam,0,10,DT,0.982456140350877,0.975146198830409,0.955383480825959,0.975146198830409,0.964945969351256,0.929899856938484,0.0109703540802,0.0,0.0109703540802,0
