Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
EdimaxPlug2101W,0,1,DT,0.971677559912854,0.972481791947231,0.932620320855615,0.972481791947231,0.951040803432969,0.90214664064678,0.021827220916748,0.001038551330566,0.022865772247314,0
EdimaxPlug2101W,0,2,DT,0.982570806100218,0.979717813051146,0.962032085561497,0.979717813051146,0.970584465521661,0.941176470588235,0.021242380142212,0.0,0.021242380142212,0
EdimaxPlug2101W,0,3,DT,0.965141612200436,0.950613474662407,0.922026925953628,0.950613474662407,0.935556335556336,0.87115337380259,0.021286964416504,0.001039505004883,0.022326469421387,0
EdimaxPlug2101W,0,4,DT,0.973856209150327,0.9521875,0.9521875,0.9521875,0.9521875,0.904375,0.019887208938599,0.0,0.019887208938599,0
EdimaxPlug2101W,0,5,DT,0.980349344978166,0.9639642272621,0.975342096595503,0.9639642272621,0.969519724923282,0.939043506551122,0.021985292434692,0.000998258590698,0.022983551025391,0
EdimaxPlug2101W,0,6,DT,0.975982532751092,0.94947209653092,0.955013932893079,0.94947209653092,0.952217005738132,0.904434917864866,0.021787166595459,0.001003742218018,0.022790908813477,0
EdimaxPlug2101W,0,7,DT,0.982532751091703,0.963190677114728,0.963190677114728,0.963190677114728,0.963190677114728,0.926381354229455,0.025058269500732,0.0,0.025058269500732,0
EdimaxPlug2101W,0,8,DT,0.975982532751092,0.970458568518086,0.948370257193787,0.970458568518086,0.958953551845787,0.917923821315695,0.021309375762939,0.001039505004883,0.022348880767822,0
EdimaxPlug2101W,0,9,DT,0.991266375545852,0.981410911794776,0.990096199337644,0.981410911794776,0.985683920980245,0.971368736911199,0.021936655044556,0.0,0.021936655044556,0
EdimaxPlug2101W,0,10,DT,0.986899563318777,0.980559646539028,0.969631548647093,0.980559646539028,0.974997270444372,0.949996360724944,0.021824598312378,0.0,0.021824598312378,0
