Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
HomeMaticPlug,0,1,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.005253314971924,0.000994205474854,0.006247520446777,0
HomeMaticPlug,0,2,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.005253076553345,0.0,0.005253076553345,0
HomeMaticPlug,0,3,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.006462335586548,0.0,0.006462335586548,0
HomeMaticPlug,0,4,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.004247188568115,0.0,0.004247188568115,0
HomeMaticPlug,0,5,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.006032705307007,0.0,0.006032705307007,0
HomeMaticPlug,0,6,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.00518536567688,0.00137996673584,0.00656533241272,0
HomeMaticPlug,0,7,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.004985332489014,0.0,0.004985332489014,0
HomeMaticPlug,0,8,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.00498628616333,0.0,0.00498628616333,0
HomeMaticPlug,0,9,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.005293607711792,0.0,0.005293607711792,0
HomeMaticPlug,0,10,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.004246950149536,0.001211881637573,0.005458831787109,0
