Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
HueBridge,0,1,DT,0.935,0.908207805546046,0.861661390305397,0.908207805546046,0.882529530770737,0.765324133504493,0.0531005859375,0.001124858856201,0.054225444793701,0
HueBridge,0,2,DT,0.93,0.88045100315039,0.88585362207814,0.88045100315039,0.883116883116883,0.76623810318918,0.046640157699585,0.0,0.046640157699585,0
HueBridge,0,3,DT,0.913333333333333,0.81270835027238,0.854928017718715,0.81270835027238,0.831602582093741,0.663561076604555,0.04638934135437,0.0,0.04638934135437,0
HueBridge,0,4,DT,0.928333333333333,0.885664682539682,0.859018759018759,0.885664682539682,0.871513304349125,0.743130227001195,0.049411535263062,0.0,0.049411535263062,0
HueBridge,0,5,DT,0.913333333333333,0.839072991119775,0.8698322702575,0.839072991119775,0.853206865401987,0.706612502821034,0.050119876861572,0.0,0.050119876861572,0
HueBridge,0,6,DT,0.911666666666667,0.84721706864564,0.854780004170537,0.84721706864564,0.850921893385714,0.701856366022876,0.047063589096069,0.0,0.047063589096069,0
HueBridge,0,7,DT,0.938333333333333,0.877036444109615,0.865848086807538,0.877036444109615,0.871312553982065,0.742638534662648,0.047979831695557,0.0,0.047979831695557,0
HueBridge,0,8,DT,0.92,0.856592404336865,0.850783281921006,0.856592404336865,0.853646637938044,0.707299225562534,0.048126220703125,0.00100040435791,0.049126625061035,0
HueBridge,0,9,DT,0.953333333333333,0.908768031111728,0.922239757332295,0.908768031111728,0.915320873404706,0.830655403907022,0.052204847335815,0.0,0.052204847335815,0
HueBridge,0,10,DT,0.935,0.892185326317063,0.877093672456576,0.892185326317063,0.884382210671423,0.768792980792032,0.051146984100342,0.0,0.051146984100342,0
