Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
HueSwitch,0,1,DT,0.926666666666667,0.886464417573402,0.864477974907423,0.886464417573402,0.874883888457091,0.749843652282677,0.035108804702759,0.0,0.035108804702759,0
HueSwitch,0,2,DT,0.938333333333333,0.872487595660584,0.889564414345082,0.872487595660584,0.880716346696326,0.761464735462243,0.033411264419556,0.001042127609253,0.034453392028809,0
HueSwitch,0,3,DT,0.938333333333333,0.86764705882353,0.885494003426614,0.86764705882353,0.87623693379791,0.752508361204013,0.034108877182007,0.001049041748047,0.035157918930054,0
HueSwitch,0,4,DT,0.928333333333333,0.88347819891707,0.886015239802779,0.88347819891707,0.884738584428987,0.769478198713367,0.035072088241577,0.001040697097778,0.036112785339355,0
HueSwitch,0,5,DT,0.936666666666667,0.88828647798146,0.894083694083694,0.88828647798146,0.891146589259797,0.782297336006875,0.03150463104248,0.0,0.03150463104248,0
HueSwitch,0,6,DT,0.941666666666667,0.90769428277987,0.878063056806683,0.90769428277987,0.891948073331241,0.783986175115207,0.035762310028076,0.001038312911987,0.036800622940063,0
HueSwitch,0,7,DT,0.931666666666667,0.863291691152774,0.896081349206349,0.863291691152774,0.878453093269958,0.757051433989097,0.035510778427124,0.0,0.035510778427124,0
HueSwitch,0,8,DT,0.92,0.848271197556926,0.854194893173528,0.848271197556926,0.851190476190476,0.702387103441149,0.034694910049438,0.0,0.034694910049438,0
HueSwitch,0,9,DT,0.945,0.888838804723059,0.892489346590909,0.888838804723059,0.890650628758885,0.781302465317664,0.037017583847046,0.0,0.037017583847046,0
HueSwitch,0,10,DT,0.946666666666667,0.896392496392496,0.915381358495131,0.896392496392496,0.905504370422868,0.811042220253912,0.036119222640991,0.0,0.036119222640991,0
