Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
MAXGateway,0,1,DT,0.988929889298893,0.971698113207547,0.993212669683258,0.971698113207547,0.982020036711856,0.964047229469774,0.009973049163818,0.0,0.009973049163818,0
MAXGateway,0,2,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.008659601211548,0.001008749008179,0.009668350219727,0
MAXGateway,0,3,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.009363651275635,0.0,0.009363651275635,0
MAXGateway,0,4,DT,0.996309963099631,0.997757847533632,0.989795918367347,0.997757847533632,0.993721765319124,0.987443821526201,0.016282558441162,0.001082897186279,0.017365455627441,0
MAXGateway,0,5,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.008975505828857,0.0,0.008975505828857,0
MAXGateway,0,6,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.008298397064209,0.001212358474731,0.00951075553894,0
MAXGateway,0,7,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.008520364761353,0.0,0.008520364761353,0
MAXGateway,0,8,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.008320569992065,0.0,0.008320569992065,0
MAXGateway,0,9,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.012209177017212,0.0,0.012209177017212,0
MAXGateway,0,10,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.009972095489502,0.0,0.009972095489502,0
