Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
SmarterCoffee,0,1,DT,0.958904109589041,0.944871794871795,0.920096852300242,0.944871794871795,0.931839402427638,0.86372121966397,0.002991437911987,0.0,0.002991437911987,0
SmarterCoffee,0,2,DT,0.972602739726027,0.984375,0.909090909090909,0.984375,0.942063492063492,0.884310618066561,0.003989219665527,0.0,0.003989219665527,0
SmarterCoffee,0,3,DT,0.972602739726027,0.961659663865546,0.961659663865546,0.961659663865546,0.961659663865546,0.923319327731092,0.003988981246948,0.0,0.003988981246948,0
SmarterCoffee,0,4,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.003339767456055,0.001003742218018,0.004343509674072,0
SmarterCoffee,0,5,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.00438666343689,0.001035451889038,0.005422115325928,0
SmarterCoffee,0,6,DT,0.972602739726027,0.888888888888889,0.984848484848485,0.888888888888889,0.929807692307692,0.859884836852207,0.004006385803223,0.000997543334961,0.005003929138184,0
SmarterCoffee,0,7,DT,0.986111111111111,0.991666666666667,0.961538461538462,0.991666666666667,0.975798319327731,0.951612903225806,0.00498628616333,0.0,0.00498628616333,0
SmarterCoffee,0,8,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.005531072616577,0.0,0.005531072616577,0
SmarterCoffee,0,9,DT,0.986111111111111,0.991228070175439,0.96875,0.991228070175439,0.979446188980874,0.958904109589041,0.004468441009521,0.001009225845337,0.005477666854858,0
SmarterCoffee,0,10,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.003341436386108,0.000996589660645,0.004338026046753,0
