Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
TP-LinkPlugHS110,0,1,DT,0.980519480519481,0.960963244613435,0.960963244613435,0.960963244613435,0.960963244613435,0.921926489226869,0.011731386184692,0.0,0.011731386184692,0
TP-LinkPlugHS110,0,2,DT,0.987012987012987,0.984359502555886,0.969737328893822,0.984359502555886,0.976862980769231,0.953729437392023,0.012616157531738,0.0,0.012616157531738,0
TP-LinkPlugHS110,0,3,DT,0.973941368078176,0.977020202020202,0.940590430494469,0.977020202020202,0.957485112865254,0.915023181786728,0.011972188949585,0.001065969467163,0.013038158416748,0
TP-LinkPlugHS110,0,4,DT,0.96742671009772,0.954004920721706,0.942689590830334,0.954004920721706,0.948211875843455,0.896430740165981,0.011470079421997,0.0010826587677,0.012552738189697,0
TP-LinkPlugHS110,0,5,DT,0.973941368078176,0.951578731547294,0.963684210526316,0.951578731547294,0.957485112865254,0.914976112995915,0.011635303497314,0.0,0.011635303497314,0
TP-LinkPlugHS110,0,6,DT,0.98371335504886,0.982541478129713,0.961652236652237,0.982541478129713,0.971704547549264,0.943418482067161,0.011874675750732,0.0,0.011874675750732,0
TP-LinkPlugHS110,0,7,DT,0.973941368078176,0.962340799297321,0.949381047239613,0.962340799297321,0.955699855699856,0.911406103455739,0.011347532272339,0.001176834106445,0.012524366378784,0
TP-LinkPlugHS110,0,8,DT,0.986970684039088,0.967449770605917,0.983592471358429,0.967449770605917,0.975305662805663,0.950615297997265,0.011541604995728,0.001070737838745,0.012612342834473,0
TP-LinkPlugHS110,0,9,DT,0.96742671009772,0.970887584815698,0.906225280809998,0.970887584815698,0.93490245971162,0.86998136540742,0.011162042617798,0.0,0.011162042617798,0
TP-LinkPlugHS110,0,10,DT,0.986970684039088,0.983592471358429,0.967449770605917,0.983592471358429,0.975305662805663,0.950615297997265,0.012165307998657,0.00100302696228,0.013168334960938,0
