Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
WeMoLink,0,1,DT,0.973333333333333,0.950462149568406,0.957273573200992,0.950462149568406,0.953823953823954,0.907649684469755,0.036906957626343,0.001043081283569,0.037950038909912,0
WeMoLink,0,2,DT,0.963333333333333,0.93057401932578,0.937518901590758,0.93057401932578,0.934,0.868002639947201,0.033843517303467,0.0,0.033843517303467,0
WeMoLink,0,3,DT,0.976666666666667,0.962556106780061,0.955490074441687,0.962556106780061,0.958977163954601,0.917955930614158,0.036973476409912,0.0,0.036973476409912,0
WeMoLink,0,4,DT,0.946666666666667,0.906233517610517,0.906233517610517,0.906233517610517,0.906233517610517,0.812467035221035,0.040609121322632,0.0,0.040609121322632,0
WeMoLink,0,5,DT,0.963333333333333,0.901779828609097,0.938444147569623,0.901779828609097,0.918950781019747,0.837965236177944,0.036000728607178,0.0,0.036000728607178,0
WeMoLink,0,6,DT,0.966666666666667,0.945244281221308,0.938528138528138,0.945244281221308,0.941842431761787,0.883687118348357,0.037041187286377,0.000997543334961,0.038038730621338,0
WeMoLink,0,7,DT,0.97,0.946427508482311,0.946427508482311,0.946427508482311,0.946427508482311,0.892855016964622,0.044293642044067,0.0,0.044293642044067,0
WeMoLink,0,8,DT,0.976666666666667,0.968841981330418,0.946,0.968841981330418,0.956959275276178,0.913934426229508,0.037457704544067,0.0,0.037457704544067,0
WeMoLink,0,9,DT,0.963333333333333,0.936635714415511,0.942685016304648,0.936635714415511,0.939622365339578,0.879246940007684,0.034198760986328,0.0,0.034198760986328,0
WeMoLink,0,10,DT,0.971666666666667,0.961803022407504,0.93615639026695,0.961803022407504,0.948378215606986,0.896782027929569,0.038110256195068,0.0,0.038110256195068,0
