Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
Withings,0,1,DT,0.996996996996997,0.991071428571429,0.998201438848921,0.991071428571429,0.994594594594595,0.989189364672272,0.007175207138062,0.0,0.007175207138062,0
Withings,0,2,DT,0.996996996996997,0.998233215547703,0.990196078431373,0.998233215547703,0.994164549198283,0.988329302912417,0.006365060806274,0.0,0.006365060806274,0
Withings,0,3,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.006285905838013,0.0,0.006285905838013,0
Withings,0,4,DT,0.993993993993994,0.989561128526646,0.989561128526646,0.989561128526646,0.989561128526646,0.979122257053292,0.006685733795166,0.0,0.006685733795166,0
Withings,0,5,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.006277799606323,0.00103759765625,0.007315397262573,0
Withings,0,6,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.006507396697998,0.0,0.006507396697998,0
Withings,0,7,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.0062415599823,0.0,0.0062415599823,0
Withings,0,8,DT,0.993993993993994,0.99644128113879,0.981481481481481,0.99644128113879,0.988780323450135,0.977562158884172,0.005711555480957,0.001082420349121,0.006793975830078,0
Withings,0,9,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.00864052772522,0.001049041748047,0.009689569473267,0
Withings,0,10,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.006530523300171,0.0,0.006530523300171,0
