pck_size,Ether_type,LLC_dsap,LLC_ssap,LLC_ctrl,EAPOL_version,EAPOL_type,EAPOL_len,IP_version,IP_ihl,IP_tos,IP_len,IP_flags,IP_Z,IP_MF,IP_id,IP_chksum,IP_DF,IP_frag,IP_ttl,IP_proto,IP_options,IP_add_count,ICMP_type,ICMP_code,ICMP_chksum,ICMP_id,ICMP_seq,ICMP_ts_ori,ICMP_ts_rx,ICMP_ts_tx,ICMP_ptr,ICMP_reserved,ICMP_length,ICMP_nexthopmtu,ICMP_unused,TCP_seq,TCP_ack,TCP_dataofs,TCP_reserved,TCP_flags,TCP_FIN,TCP_SYN,TCP_RST,TCP_PSH,TCP_ACK,TCP_URG,TCP_ECE,TCP_CWR,TCP_window,TCP_chksum,TCP_urgptr,TCP_options,UDP_len,UDP_chksum,DHCP_options,BOOTP_op,BOOTP_htype,BOOTP_hlen,BOOTP_hops,BOOTP_xid,BOOTP_secs,BOOTP_flags,BOOTP_sname,BOOTP_file,BOOTP_options,DNS_length,DNS_id,DNS_qr,DNS_opcode,DNS_aa,DNS_tc,DNS_rd,DNS_ra,DNS_z,DNS_ad,DNS_cd,DNS_rcode,DNS_qdcount,DNS_ancount,DNS_nscount,DNS_arcount,sport_class,dport_class,sport23,dport23,sport_bare,dport_bare,TCP_sport,TCP_dport,UDP_sport,UDP_dport,payload_bytes,entropy,Protocol,Label
820,2048,0,0,0,0,0,0,4,5,0,820,3,0,0,58066,51121,1,0,64,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3511815262,2690596774,8,0,5,0,0,0,1,1,0,0,0,7024,59327,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,44181,443,44181,443,0,0,768,7.73322953067048,8,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,65401,28531,1,0,64,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,874792386,3379299601,5,0,4,0,0,0,0,1,0,0,0,2920,45405,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,443,56588,443,56588,443,0,0,6,-0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,11231,17166,1,0,64,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,814711089,355450371,5,0,4,0,0,0,0,1,0,0,0,17112,20083,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,443,52215,443,52215,443,0,0,6,-0.0,7,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,47129,5012,1,0,64,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3285979958,3186749889,8,0,4,0,0,0,0,1,0,0,0,2920,3643,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,443,51848,443,51848,443,0,0,0,0.0,7,1
60,2048,0,0,0,0,0,0,4,5,0,60,3,0,0,36503,15630,1,0,64,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1555581576,0,10,0,2,0,1,0,0,0,0,0,0,5840,33005,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,443,54289,443,54289,443,0,0,0,0.0,9,1
60,2048,0,0,0,0,0,0,4,5,0,60,3,0,0,54718,62950,1,0,64,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,532548660,0,10,0,2,0,1,0,0,0,0,0,0,5840,62728,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,443,50654,443,50654,443,0,0,0,0.0,9,1
717,2048,0,0,0,0,0,0,4,5,0,717,3,0,0,24037,27439,1,0,64,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1097727576,1693648675,8,0,5,0,0,0,1,1,0,0,0,7024,54468,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,37759,443,37759,443,0,0,665,7.742687234633374,12,1
60,2048,0,0,0,0,0,0,4,5,0,60,3,0,0,4570,39842,1,0,64,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4250112806,0,10,0,2,0,1,0,0,0,0,0,0,5840,46174,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,443,55901,443,55901,443,0,0,0,0.0,3,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,47392,4749,1,0,64,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,261048827,2040157212,8,0,7,1,0,0,0,1,0,0,0,3519,52079,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,443,51858,443,51858,443,0,0,0,0.0,7,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,46687,39533,1,0,64,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,504944712,3482652299,5,0,4,0,0,0,0,1,0,0,0,2920,9676,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,48736,443,48736,443,0,0,6,-0.0,16,1
673,2048,0,0,0,0,0,0,4,5,0,673,3,0,0,61834,31465,1,0,64,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1629986296,1761208218,5,0,5,0,0,0,1,1,0,0,0,16528,52826,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,42418,443,42418,443,0,0,633,7.650780320686563,7,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,11255,17142,1,0,64,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,814715857,355458574,5,0,4,0,0,0,0,1,0,0,0,17112,7112,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,443,52215,443,52215,443,0,0,6,-0.0,7,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,43512,908,1,0,64,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1428191014,3915860802,8,0,4,0,0,0,0,1,0,0,0,2920,64660,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,443,55918,443,55918,443,0,0,0,0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,62000,31932,1,0,64,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1630027324,1761259862,5,0,4,0,0,0,0,1,0,0,0,16528,16958,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,42418,443,42418,443,0,0,6,-0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,57136,36796,1,0,64,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3082175418,237762263,5,0,4,0,0,0,0,1,0,0,0,2920,2658,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,443,52216,443,52216,443,0,0,6,-0.0,7,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,24033,28108,1,0,64,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1097726963,1693648449,8,0,4,0,0,0,0,1,0,0,0,7024,5744,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,37759,443,37759,443,0,0,0,0.0,12,1
673,2048,0,0,0,0,0,0,4,5,0,673,3,0,0,11059,16705,1,0,64,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2780959681,3294784266,5,0,5,0,0,0,1,1,0,0,0,6031,57982,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,443,56561,443,56561,443,0,0,633,7.663903878149723,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,0,52153,1,0,64,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3738464780,0,5,0,8,0,0,1,0,0,0,0,0,0,6668,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,443,54305,443,54305,443,0,0,6,-0.0,12,1
673,2048,0,0,0,0,0,0,4,5,0,673,3,0,0,11055,16709,1,0,64,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2780958415,3294782192,5,0,5,0,0,0,1,1,0,0,0,3957,65019,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,443,56561,443,56561,443,0,0,633,7.701649627556658,16,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,57154,36778,1,0,64,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3082175418,237762263,5,0,4,0,0,0,0,1,0,0,0,2920,2658,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,443,52216,443,52216,443,0,0,6,-0.0,7,1
