pck_size,Ether_type,LLC_dsap,LLC_ssap,LLC_ctrl,EAPOL_version,EAPOL_type,EAPOL_len,IP_version,IP_ihl,IP_tos,IP_len,IP_flags,IP_Z,IP_MF,IP_id,IP_chksum,IP_DF,IP_frag,IP_ttl,IP_proto,IP_options,IP_add_count,ICMP_type,ICMP_code,ICMP_chksum,ICMP_id,ICMP_seq,ICMP_ts_ori,ICMP_ts_rx,ICMP_ts_tx,ICMP_ptr,ICMP_reserved,ICMP_length,ICMP_nexthopmtu,ICMP_unused,TCP_seq,TCP_ack,TCP_dataofs,TCP_reserved,TCP_flags,TCP_FIN,TCP_SYN,TCP_RST,TCP_PSH,TCP_ACK,TCP_URG,TCP_ECE,TCP_CWR,TCP_window,TCP_chksum,TCP_urgptr,TCP_options,UDP_len,UDP_chksum,DHCP_options,BOOTP_op,BOOTP_htype,BOOTP_hlen,BOOTP_hops,BOOTP_xid,BOOTP_secs,BOOTP_flags,BOOTP_sname,BOOTP_file,BOOTP_options,DNS_length,DNS_id,DNS_qr,DNS_opcode,DNS_aa,DNS_tc,DNS_rd,DNS_ra,DNS_z,DNS_ad,DNS_cd,DNS_rcode,DNS_qdcount,DNS_ancount,DNS_nscount,DNS_arcount,sport_class,dport_class,sport23,dport23,sport_bare,dport_bare,TCP_sport,TCP_dport,UDP_sport,UDP_dport,payload_bytes,entropy,Protocol,Label
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,55751,27887,1,0,64,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,805219348,3470829930,5,0,4,0,0,0,0,1,0,0,0,8976,36833,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,2,80,46107,80,46107,80,0,0,0,0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,52696,30982,1,0,64,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1805812519,3778918858,5,0,4,0,0,0,0,1,0,0,0,8976,28109,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,2,80,41187,80,41187,80,0,0,0,0.0,4,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,51239,51016,1,0,64,6,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,776515374,1867125243,8,0,4,0,0,0,0,1,0,0,0,2920,58113,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,2,80,41844,80,41844,80,0,0,0,0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,50037,31609,1,0,64,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3107953669,1763953601,5,0,4,0,0,0,0,1,0,0,0,8976,14504,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,3,80,52672,80,52672,80,0,0,0,0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,52632,31046,1,0,64,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1805812519,3778751878,5,0,4,0,0,0,0,1,0,0,0,8976,64019,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,2,80,41187,80,41187,80,0,0,0,0.0,4,1
63,2048,0,0,0,0,0,0,4,5,0,63,3,0,0,0,34400,1,0,255,17,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43,61737,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,9,2,2,5353,5353,0,0,5353,5353,35,3.2634839052647813,4,1
446,2048,0,0,0,0,0,0,4,5,0,446,3,0,0,45621,23359,1,0,64,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3564478821,3845843194,8,0,5,0,0,0,1,1,0,0,0,7024,10294,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,443,59212,443,59212,443,0,0,394,7.4169891471030756,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,0,54383,1,0,64,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,291323094,0,5,0,8,0,0,1,0,0,0,0,0,0,4720,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,443,59169,443,59169,443,0,0,0,0.0,11,1
259,2048,0,0,0,0,0,0,4,5,0,259,3,0,0,1963,49986,1,0,64,6,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,754475536,590168448,8,0,5,0,0,0,1,1,0,0,0,2920,21081,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,44198,443,44198,443,0,0,207,4.753923342433429,4,1
186,2048,0,0,0,0,0,0,4,5,0,186,3,0,0,27921,24101,1,0,64,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3524935596,4013521406,8,0,5,0,0,0,1,1,0,0,0,7024,55833,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,43892,443,43892,443,0,0,134,6.473670698030506,4,1
83,2048,0,0,0,0,0,0,4,5,0,83,3,0,0,0,34380,1,0,255,17,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,63,62127,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,9,2,2,5353,5353,0,0,5353,5353,55,4.398489596961569,3,1
