pck_size,Ether_type,LLC_dsap,LLC_ssap,LLC_ctrl,EAPOL_version,EAPOL_type,EAPOL_len,IP_version,IP_ihl,IP_tos,IP_len,IP_flags,IP_Z,IP_MF,IP_id,IP_chksum,IP_DF,IP_frag,IP_ttl,IP_proto,IP_options,IP_add_count,ICMP_type,ICMP_code,ICMP_chksum,ICMP_id,ICMP_seq,ICMP_ts_ori,ICMP_ts_rx,ICMP_ts_tx,ICMP_ptr,ICMP_reserved,ICMP_length,ICMP_nexthopmtu,ICMP_unused,TCP_seq,TCP_ack,TCP_dataofs,TCP_reserved,TCP_flags,TCP_FIN,TCP_SYN,TCP_RST,TCP_PSH,TCP_ACK,TCP_URG,TCP_ECE,TCP_CWR,TCP_window,TCP_chksum,TCP_urgptr,TCP_options,UDP_len,UDP_chksum,DHCP_options,BOOTP_op,BOOTP_htype,BOOTP_hlen,BOOTP_hops,BOOTP_xid,BOOTP_secs,BOOTP_flags,BOOTP_sname,BOOTP_file,BOOTP_options,DNS_length,DNS_id,DNS_qr,DNS_opcode,DNS_aa,DNS_tc,DNS_rd,DNS_ra,DNS_z,DNS_ad,DNS_cd,DNS_rcode,DNS_qdcount,DNS_ancount,DNS_nscount,DNS_arcount,sport_class,dport_class,sport23,dport23,sport_bare,dport_bare,TCP_sport,TCP_dport,UDP_sport,UDP_dport,payload_bytes,entropy,Protocol,Label
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,16101,36088,1,0,64,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2182177665,3276723742,8,0,4,0,0,0,0,1,0,0,0,7024,31610,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,33784,443,33784,443,0,0,0,0.0,11,1
98,2048,0,0,0,0,0,0,4,5,0,98,3,0,0,19266,50957,1,0,64,17,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78,5652,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12,2,2,53,39206,53,0,0,39206,53,70,4.51688271065042,4,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,62992,47011,1,0,64,6,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2083366822,2831187377,8,0,4,0,0,0,0,1,0,0,0,2920,12715,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,48417,443,48417,443,0,0,0,0.0,4,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,44525,57763,1,0,64,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,4132234637,2540508447,8,0,7,1,0,0,0,1,0,0,0,2920,55776,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,3,80,60421,80,60421,80,0,0,0,0.0,3,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,24018,28171,1,0,64,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2460738147,3386365898,8,0,9,0,0,1,0,1,0,0,0,7024,19467,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,443,58217,443,58217,443,0,0,0,0.0,4,1
63,2048,0,0,0,0,0,0,4,5,0,63,3,0,0,26975,43283,1,0,64,17,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43,9192,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12,2,2,53,33436,53,0,0,33436,53,35,3.36429908806447,14,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,57523,22092,1,0,64,6,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2703341929,834127650,5,0,7,1,0,0,0,1,0,0,0,8976,25423,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,3,80,53742,80,53742,80,0,0,0,0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,36896,42599,1,0,64,6,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4283496162,1078183724,5,0,4,0,0,0,0,1,0,0,0,3456,2266,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,2,80,38718,80,38718,80,0,0,0,0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,58309,35671,1,0,64,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3651830680,735271828,5,0,4,0,0,0,0,1,0,0,0,2920,3021,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,443,59014,443,59014,443,0,0,0,0.0,4,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,14635,29833,1,0,64,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1452500022,3772160914,8,0,4,0,0,0,0,1,0,0,0,4288,30423,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,443,58204,443,58204,443,0,0,0,0.0,16,1
446,2048,0,0,0,0,0,0,4,5,0,446,3,0,0,14436,37359,1,0,64,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,860712006,4022659775,8,0,5,0,0,0,1,1,0,0,0,7024,55864,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,443,56405,443,56405,443,0,0,394,7.454273299224635,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,5667,10485,1,0,64,6,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,377569943,2893496918,5,0,4,0,0,0,0,1,0,0,0,2920,34403,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,3,80,55834,80,55834,80,0,0,0,0.0,14,1
233,2048,0,0,0,0,0,0,4,5,0,233,3,0,0,0,34263,1,0,255,17,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,213,31932,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,9,9,2,2,5353,5353,0,0,5353,5353,205,4.363104266131475,9,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,64457,53267,1,0,64,6,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4171212219,30925867,8,0,4,0,0,0,0,1,0,0,0,7024,50615,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,40045,443,40045,443,0,0,0,0.0,14,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,8627,35841,1,0,64,6,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,2255453994,2792266363,8,0,4,0,0,0,0,1,0,0,0,7024,3921,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,48425,443,48425,443,0,0,0,0.0,10,1
60,2048,0,0,0,0,0,0,4,5,0,60,3,0,0,12960,39221,1,0,64,6,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3309666261,0,10,0,2,0,1,0,0,0,0,0,0,5840,18315,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,443,59000,443,59000,443,0,0,0,0.0,4,1
60,2048,0,0,0,0,0,0,4,5,0,60,3,0,0,25799,2626,1,0,64,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2616866683,0,10,0,2,0,1,0,0,0,0,0,0,5840,21223,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,443,59822,443,59822,443,0,0,0,0.0,3,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,39117,54863,1,0,64,6,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,355453925,2234091772,5,0,4,0,0,0,0,1,0,0,0,5680,12937,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,43634,443,43634,443,0,0,0,0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,10611,7493,1,0,64,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2862317364,3315310644,5,0,4,0,0,0,0,1,0,0,0,8976,27382,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,2,80,40389,80,40389,80,0,0,0,0.0,16,1
60,2048,0,0,0,0,0,0,4,5,0,60,3,0,0,35926,58034,1,0,64,6,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1399247014,0,10,0,2,0,1,0,0,0,0,0,0,5840,25227,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,32831,443,32831,443,0,0,0,0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,5706,10446,1,0,64,6,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,377570109,2893584246,5,0,4,0,0,0,0,1,0,0,0,8976,6388,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,3,80,55834,80,55834,80,0,0,0,0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,27201,1244,1,0,64,6,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,478163587,1023827068,5,0,4,0,0,0,0,1,0,0,0,5680,14649,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,43639,443,43639,443,0,0,0,0.0,18,1
365,2048,0,0,0,0,0,0,4,5,0,365,3,0,0,0,34131,1,0,255,17,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,345,54124,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,0,0,9,9,2,2,5353,5353,0,0,5353,5353,337,5.436334179713505,4,1
317,2048,0,0,0,0,0,0,4,5,0,317,3,0,0,0,34179,1,0,255,17,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,297,12558,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,9,9,2,2,5353,5353,0,0,5353,5353,289,4.256767259155789,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,3517,12471,1,0,64,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2386916324,305886527,5,0,4,0,0,0,0,1,0,0,0,8976,25143,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,2,80,42044,80,42044,80,0,0,0,0.0,4,1
