pck_size,Ether_type,LLC_dsap,LLC_ssap,LLC_ctrl,EAPOL_version,EAPOL_type,EAPOL_len,IP_version,IP_ihl,IP_tos,IP_len,IP_flags,IP_Z,IP_MF,IP_id,IP_chksum,IP_DF,IP_frag,IP_ttl,IP_proto,IP_options,IP_add_count,ICMP_type,ICMP_code,ICMP_chksum,ICMP_id,ICMP_seq,ICMP_ts_ori,ICMP_ts_rx,ICMP_ts_tx,ICMP_ptr,ICMP_reserved,ICMP_length,ICMP_nexthopmtu,ICMP_unused,TCP_seq,TCP_ack,TCP_dataofs,TCP_reserved,TCP_flags,TCP_FIN,TCP_SYN,TCP_RST,TCP_PSH,TCP_ACK,TCP_URG,TCP_ECE,TCP_CWR,TCP_window,TCP_chksum,TCP_urgptr,TCP_options,UDP_len,UDP_chksum,DHCP_options,BOOTP_op,BOOTP_htype,BOOTP_hlen,BOOTP_hops,BOOTP_xid,BOOTP_secs,BOOTP_flags,BOOTP_sname,BOOTP_file,BOOTP_options,DNS_length,DNS_id,DNS_qr,DNS_opcode,DNS_aa,DNS_tc,DNS_rd,DNS_ra,DNS_z,DNS_ad,DNS_cd,DNS_rcode,DNS_qdcount,DNS_ancount,DNS_nscount,DNS_arcount,sport_class,dport_class,sport23,dport23,sport_bare,dport_bare,TCP_sport,TCP_dport,UDP_sport,UDP_dport,payload_bytes,entropy,Protocol,Label
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,0,20596,1,0,64,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3332430182,0,5,0,8,0,0,1,0,0,0,0,0,0,35696,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,38993,443,38993,443,0,0,0,0.0,14,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,52182,2085,1,0,64,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4253197416,1513687247,8,0,4,0,0,0,0,1,0,0,0,7024,65270,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,443,53623,443,53623,443,0,0,0,0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,49226,32192,1,0,64,6,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,2112538455,592573358,5,0,4,0,0,0,0,1,0,0,0,8440,30032,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,3,80,49204,80,49204,80,0,0,0,0.0,7,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,58347,61455,1,0,64,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3536370818,4277462913,8,0,4,0,0,0,0,1,0,0,0,4288,27274,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,47253,443,47253,443,0,0,0,0.0,10,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,58763,27368,1,0,64,6,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,257932887,206121989,5,0,4,0,0,0,0,1,0,0,0,5680,4830,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,38058,443,38058,443,0,0,0,0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,12781,7815,1,0,64,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3359341954,3617502015,5,0,4,0,0,0,0,1,0,0,0,2920,2856,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,443,56464,443,56464,443,0,0,0,0.0,14,1
242,2048,0,0,0,0,0,0,4,5,0,242,3,0,0,10849,17257,1,0,64,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4294396106,3368369488,5,0,5,0,0,0,1,1,0,0,0,5680,9465,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,43618,443,43618,443,0,0,202,6.93344104713837,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,55417,23993,1,0,64,6,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,907444849,40212175,5,0,4,0,0,0,0,1,0,0,0,8440,38706,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,2,80,41216,80,41216,80,0,0,0,0.0,4,1
318,2048,0,0,0,0,0,0,4,5,0,318,3,0,0,0,34041,1,0,255,17,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,298,48959,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,9,9,2,2,5353,5353,0,0,5353,5353,290,4.312547450861949,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,0,44343,1,0,64,6,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,795038511,0,5,0,8,0,0,1,0,0,0,0,0,0,55149,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,443,50828,443,50828,443,0,0,0,0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,62932,23199,1,0,64,6,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,79797203,885049403,5,0,4,0,0,0,0,1,0,0,0,5680,21630,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,47998,443,47998,443,0,0,0,0.0,4,1
189,2048,0,0,0,0,0,0,4,5,0,189,3,0,0,9033,21166,1,0,64,6,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1186209526,3551930784,8,0,5,0,0,0,1,1,0,0,0,2920,40811,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,2,80,42356,80,42356,80,0,0,137,5.474362535433401,10,1
