pck_size,Ether_type,LLC_dsap,LLC_ssap,LLC_ctrl,EAPOL_version,EAPOL_type,EAPOL_len,IP_version,IP_ihl,IP_tos,IP_len,IP_flags,IP_Z,IP_MF,IP_id,IP_chksum,IP_DF,IP_frag,IP_ttl,IP_proto,IP_options,IP_add_count,ICMP_type,ICMP_code,ICMP_chksum,ICMP_id,ICMP_seq,ICMP_ts_ori,ICMP_ts_rx,ICMP_ts_tx,ICMP_ptr,ICMP_reserved,ICMP_length,ICMP_nexthopmtu,ICMP_unused,TCP_seq,TCP_ack,TCP_dataofs,TCP_reserved,TCP_flags,TCP_FIN,TCP_SYN,TCP_RST,TCP_PSH,TCP_ACK,TCP_URG,TCP_ECE,TCP_CWR,TCP_window,TCP_chksum,TCP_urgptr,TCP_options,UDP_len,UDP_chksum,DHCP_options,BOOTP_op,BOOTP_htype,BOOTP_hlen,BOOTP_hops,BOOTP_xid,BOOTP_secs,BOOTP_flags,BOOTP_sname,BOOTP_file,BOOTP_options,DNS_length,DNS_id,DNS_qr,DNS_opcode,DNS_aa,DNS_tc,DNS_rd,DNS_ra,DNS_z,DNS_ad,DNS_cd,DNS_rcode,DNS_qdcount,DNS_ancount,DNS_nscount,DNS_arcount,sport_class,dport_class,sport23,dport23,sport_bare,dport_bare,TCP_sport,TCP_dport,UDP_sport,UDP_dport,payload_bytes,entropy,Protocol,Label
86,2048,0,0,0,0,0,0,4,5,0,86,3,0,0,0,9684,1,0,64,17,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66,4630,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,35681,35681,0,0,35681,35681,58,4.400578839731351,10,1
86,2048,0,0,0,0,0,0,4,5,0,86,3,0,0,0,9684,1,0,64,17,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66,23086,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,60625,60625,0,0,60625,60625,58,4.387563537969911,4,1
407,2048,0,0,0,0,0,0,4,5,0,407,3,0,0,0,44374,1,0,64,17,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,387,58055,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,3,2,60625,8765,0,0,60625,8765,379,4.944055797437556,4,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,36597,33507,1,0,64,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3627734577,3725507488,8,0,7,1,0,0,0,1,0,0,0,3432,40670,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,10000,45891,10000,45891,0,0,0,0.0,4,1
576,2048,0,0,0,0,0,0,4,5,0,576,2,0,0,0,30894,0,0,64,17,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,556,0,1,1,1,6,0,1547678786,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,68,67,68,67,0,0,68,67,548,1.022818118329596,4,1
60,2048,0,0,0,0,0,0,4,5,0,60,3,0,0,64181,22622,1,0,64,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1100202504,0,10,0,2,0,1,0,0,0,0,0,0,5840,210,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,2,80,3091,80,3091,80,0,0,0,0.0,16,1
407,2048,0,0,0,0,0,0,4,5,0,407,3,0,0,0,44374,1,0,64,17,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,387,39409,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,23660,8765,0,0,23660,8765,379,4.960732156247063,4,1
86,2048,0,0,0,0,0,0,4,5,0,86,3,0,0,0,9684,1,0,64,17,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66,2431,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,37040,37040,0,0,37040,37040,58,4.331613322489972,4,1
95,34958,0,0,0,1,3,95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,95,1.6313145368868314,4,1
58,2048,0,0,0,0,0,0,4,5,0,58,3,0,0,12949,57167,1,0,64,17,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38,13516,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12,2,2,53,3072,53,0,0,3072,53,30,2.914409345247941,4,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,46349,56318,1,0,64,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1080531085,408112183,8,0,7,1,0,0,0,1,0,0,0,2896,55986,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,10000,42100,10000,42100,0,0,0,0.0,4,1
86,2048,0,0,0,0,0,0,4,5,0,86,3,0,0,0,9684,1,0,64,17,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66,34963,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,21918,21918,0,0,21918,21918,58,4.387563537969911,4,1
407,2048,0,0,0,0,0,0,4,5,0,407,3,0,0,0,44374,1,0,64,17,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,387,42835,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,21918,8765,0,0,21918,8765,379,4.9693658457889525,7,1
95,34958,0,0,0,1,3,95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,95,1.610261905307884,3,1
58,2048,0,0,0,0,0,0,4,5,0,58,3,0,0,13036,57080,1,0,64,17,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38,13516,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12,2,2,53,3072,53,0,0,3072,53,30,2.914409345247941,4,1
117,34958,0,0,0,1,3,117,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,117,4.099706788474231,7,1
60,2048,0,0,0,0,0,0,4,5,0,60,3,0,0,7092,14175,1,0,64,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1127303711,0,10,0,2,0,1,0,0,0,0,0,0,5840,23446,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,2,80,3755,80,3755,80,0,0,0,0.0,16,1
58,2048,0,0,0,0,0,0,4,5,0,58,3,0,0,12178,57938,1,0,64,17,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38,13516,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12,2,2,53,3072,53,0,0,3072,53,30,2.914409345247941,14,1
576,2048,0,0,0,0,0,0,4,5,0,576,2,0,0,0,30894,0,0,64,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,556,0,3,1,1,6,0,3649974094,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,68,67,68,67,0,0,68,67,548,1.1385665764392507,14,1
117,34958,0,0,0,1,3,117,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,117,4.100560339500812,4,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,19430,48436,1,0,64,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4041804334,183064048,8,0,4,0,0,0,0,1,0,0,0,2920,52251,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3800,8767,3800,8767,0,0,0,0.0,4,1
32,2048,0,0,0,0,0,0,4,5,0,32,3,0,0,0,44749,1,0,64,17,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,64816,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,3,2,60625,8765,0,0,60625,8765,4,2.0,3,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,0,30625,1,0,64,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1099781425,4261102545,8,0,4,0,0,0,0,1,0,0,0,2920,1491,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,2,80,4880,80,4880,80,0,0,0,0.0,4,1
86,2048,0,0,0,0,0,0,4,5,0,86,3,0,0,0,9684,1,0,64,17,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66,4630,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,35681,35681,0,0,35681,35681,58,4.400578839731351,7,1
60,2048,0,0,0,0,0,0,4,5,0,60,3,0,0,12073,58041,1,0,64,17,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,15344,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12,2,2,53,3072,53,0,0,3072,53,32,2.8973683589017414,3,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,49858,46302,1,0,64,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1092546508,1799142973,8,0,4,0,0,0,0,1,0,0,0,2920,25846,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,2,80,4879,80,4879,80,0,0,0,0.0,4,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,46351,56316,1,0,64,6,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1080531085,408112183,8,0,7,1,0,0,0,1,0,0,0,2896,51090,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,10000,42100,10000,42100,0,0,0,0.0,7,1
576,2048,0,0,0,0,0,0,4,5,0,576,2,0,0,0,30894,0,0,64,17,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,556,0,3,1,1,6,0,4220795771,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,68,67,68,67,0,0,68,67,548,1.1385665764392507,4,1
407,2048,0,0,0,0,0,0,4,5,0,407,3,0,0,0,44374,1,0,64,17,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,387,61913,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,3,2,58294,8765,0,0,58294,8765,379,4.961011908228842,1,1
64,2048,0,0,0,0,0,0,4,5,0,64,3,0,0,0,44717,1,0,64,17,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44,10046,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,23660,8765,0,0,23660,8765,36,4.138830127032207,4,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,4434,21617,1,0,64,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1120099523,4243976651,8,0,7,1,0,0,0,1,0,0,0,2920,59619,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,2,80,4618,80,4618,80,0,0,0,0.0,4,1
576,2048,0,0,0,0,0,0,4,5,0,576,2,0,0,0,30894,0,0,64,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,556,0,1,1,1,6,0,3649974094,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,68,67,68,67,0,0,68,67,548,1.022818118329596,4,1
214,2048,0,0,0,0,0,0,4,5,0,214,3,0,0,0,4396,1,0,64,17,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,194,61320,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,20560,38807,0,0,20560,38807,186,2.140451236287942,4,1
64,2048,0,0,0,0,0,0,4,5,0,64,3,0,0,0,44717,1,0,64,17,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44,51173,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,21918,8765,0,0,21918,8765,36,4.138830127032207,2,1
58,2048,0,0,0,0,0,0,4,5,0,58,3,0,0,21154,48962,1,0,64,17,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38,13516,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12,2,2,53,3072,53,0,0,3072,53,30,2.914409345247941,3,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,19581,48285,1,0,64,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3666423822,1269986444,8,0,4,0,0,0,0,1,0,0,0,2920,37640,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,4393,8767,4393,8767,0,0,0,0.0,4,1
86,2048,0,0,0,0,0,0,4,5,0,86,3,0,0,0,9684,1,0,64,17,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66,34963,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,21918,21918,0,0,21918,21918,58,4.387563537969911,4,1
