pck_size,Ether_type,LLC_dsap,LLC_ssap,LLC_ctrl,EAPOL_version,EAPOL_type,EAPOL_len,IP_version,IP_ihl,IP_tos,IP_len,IP_flags,IP_Z,IP_MF,IP_id,IP_chksum,IP_DF,IP_frag,IP_ttl,IP_proto,IP_options,IP_add_count,ICMP_type,ICMP_code,ICMP_chksum,ICMP_id,ICMP_seq,ICMP_ts_ori,ICMP_ts_rx,ICMP_ts_tx,ICMP_ptr,ICMP_reserved,ICMP_length,ICMP_nexthopmtu,ICMP_unused,TCP_seq,TCP_ack,TCP_dataofs,TCP_reserved,TCP_flags,TCP_FIN,TCP_SYN,TCP_RST,TCP_PSH,TCP_ACK,TCP_URG,TCP_ECE,TCP_CWR,TCP_window,TCP_chksum,TCP_urgptr,TCP_options,UDP_len,UDP_chksum,DHCP_options,BOOTP_op,BOOTP_htype,BOOTP_hlen,BOOTP_hops,BOOTP_xid,BOOTP_secs,BOOTP_flags,BOOTP_sname,BOOTP_file,BOOTP_options,DNS_length,DNS_id,DNS_qr,DNS_opcode,DNS_aa,DNS_tc,DNS_rd,DNS_ra,DNS_z,DNS_ad,DNS_cd,DNS_rcode,DNS_qdcount,DNS_ancount,DNS_nscount,DNS_arcount,sport_class,dport_class,sport23,dport23,sport_bare,dport_bare,TCP_sport,TCP_dport,UDP_sport,UDP_dport,payload_bytes,entropy,Protocol,Label
98,2048,0,0,0,0,0,0,4,5,0,98,3,0,0,422,51510,1,0,128,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3956257514,1085705525,5,0,5,0,0,0,1,1,0,0,0,4380,65421,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,3,2,51067,9292,51067,9292,0,0,58,5.534620865779925,4,1
71,2048,0,0,0,0,0,0,4,5,0,71,3,0,0,777,51182,1,0,128,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1408120303,3812805121,5,0,5,0,0,0,1,1,0,0,0,4380,936,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,3,2,50756,9292,50756,9292,0,0,31,4.671780584510636,4,1
71,2048,0,0,0,0,0,0,4,5,0,71,3,0,0,144,51815,1,0,128,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3956248596,1085702979,5,0,5,0,0,0,1,1,0,0,0,4380,16704,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,3,2,51067,9292,51067,9292,0,0,31,4.607264455478377,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,253,51737,1,0,128,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3956252079,1085704001,5,0,4,0,0,0,0,1,0,0,0,4380,12736,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,3,2,51067,9292,51067,9292,0,0,6,-0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,807,51183,1,0,128,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1408121052,3812805492,5,0,4,0,0,0,0,1,0,0,0,4343,18705,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,3,2,50756,9292,50756,9292,0,0,6,-0.0,4,1
71,2048,0,0,0,0,0,0,4,5,0,71,3,0,0,415,51544,1,0,128,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1408111629,3812801197,5,0,5,0,0,0,1,1,0,0,0,4380,30643,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,3,2,50756,9292,50756,9292,0,0,31,4.51839711669891,4,1
72,2048,0,0,0,0,0,0,4,5,0,72,3,0,0,726,51232,1,0,128,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1408119075,3812804520,5,0,5,0,0,0,1,1,0,0,0,4380,21964,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,3,2,50756,9292,50756,9292,0,0,32,4.788909765557392,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,106,51884,1,0,128,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3956247569,1085702653,5,0,4,0,0,0,0,1,0,0,0,4380,18594,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,3,2,51067,9292,51067,9292,0,0,6,-0.0,4,1
71,2048,0,0,0,0,0,0,4,5,0,71,3,0,0,514,51445,1,0,128,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1408113986,3812802268,5,0,5,0,0,0,1,1,0,0,0,4380,58748,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,3,2,50756,9292,50756,9292,0,0,31,4.542748326446119,4,1
71,2048,0,0,0,0,0,0,4,5,0,71,3,0,0,351,51608,1,0,128,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3956255223,1085704832,5,0,5,0,0,0,1,1,0,0,0,4380,49863,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,3,2,51067,9292,51067,9292,0,0,31,4.671780584510636,3,1
71,2048,0,0,0,0,0,0,4,5,0,71,3,0,0,630,51329,1,0,128,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1408116711,3812803514,5,0,5,0,0,0,1,1,0,0,0,4380,43655,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,3,2,50756,9292,50756,9292,0,0,31,4.607264455478377,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,789,51201,1,0,128,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1408120688,3812805243,5,0,4,0,0,0,0,1,0,0,0,4380,19281,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,3,2,50756,9292,50756,9292,0,0,6,-0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,350,51640,1,0,128,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1408109952,3812800545,5,0,4,0,0,0,0,1,0,0,0,4380,34715,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,3,2,50756,9292,50756,9292,0,0,6,-0.0,3,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,252,51738,1,0,128,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3956252079,1085704001,5,0,4,0,0,0,0,1,0,0,0,4341,12775,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,3,2,51067,9292,51067,9292,0,0,6,-0.0,3,1
71,2048,0,0,0,0,0,0,4,5,0,71,3,0,0,315,51644,1,0,128,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3956254101,1085704500,5,0,5,0,0,0,1,1,0,0,0,4380,30867,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,3,2,51067,9292,51067,9292,0,0,31,4.671780584510636,4,1
120,2048,0,0,0,0,0,0,4,5,0,120,3,0,0,761,51149,1,0,128,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1408119827,3812804918,5,0,5,0,0,0,1,1,0,0,0,4380,57025,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,3,2,50756,9292,50756,9292,0,0,80,5.899747626002141,4,1
72,2048,0,0,0,0,0,0,4,5,0,72,3,0,0,821,51137,1,0,128,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1408121341,3812805584,5,0,5,0,0,0,1,1,0,0,0,4380,16523,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,3,2,50756,9292,50756,9292,0,0,32,4.726409765557392,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,521,51469,1,0,128,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1408114155,3812802333,5,0,4,0,0,0,0,1,0,0,0,4380,28724,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,3,2,50756,9292,50756,9292,0,0,6,-0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,497,51493,1,0,128,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1408113519,3812802075,5,0,4,0,0,0,0,1,0,0,0,4380,29618,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,3,2,50756,9292,50756,9292,0,0,6,-0.0,4,1
