pck_size,Ether_type,LLC_dsap,LLC_ssap,LLC_ctrl,EAPOL_version,EAPOL_type,EAPOL_len,IP_version,IP_ihl,IP_tos,IP_len,IP_flags,IP_Z,IP_MF,IP_id,IP_chksum,IP_DF,IP_frag,IP_ttl,IP_proto,IP_options,IP_add_count,ICMP_type,ICMP_code,ICMP_chksum,ICMP_id,ICMP_seq,ICMP_ts_ori,ICMP_ts_rx,ICMP_ts_tx,ICMP_ptr,ICMP_reserved,ICMP_length,ICMP_nexthopmtu,ICMP_unused,TCP_seq,TCP_ack,TCP_dataofs,TCP_reserved,TCP_flags,TCP_FIN,TCP_SYN,TCP_RST,TCP_PSH,TCP_ACK,TCP_URG,TCP_ECE,TCP_CWR,TCP_window,TCP_chksum,TCP_urgptr,TCP_options,UDP_len,UDP_chksum,DHCP_options,BOOTP_op,BOOTP_htype,BOOTP_hlen,BOOTP_hops,BOOTP_xid,BOOTP_secs,BOOTP_flags,BOOTP_sname,BOOTP_file,BOOTP_options,DNS_length,DNS_id,DNS_qr,DNS_opcode,DNS_aa,DNS_tc,DNS_rd,DNS_ra,DNS_z,DNS_ad,DNS_cd,DNS_rcode,DNS_qdcount,DNS_ancount,DNS_nscount,DNS_arcount,sport_class,dport_class,sport23,dport23,sport_bare,dport_bare,TCP_sport,TCP_dport,UDP_sport,UDP_dport,payload_bytes,entropy,Protocol,Label
839,2048,0,0,0,0,0,0,4,5,0,839,3,0,0,60493,22307,1,0,64,6,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,612398712,3608819204,8,0,5,0,0,0,1,1,0,0,0,3650,2896,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,2,80,37737,80,37737,80,0,0,787,4.765548186796362,4,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,44921,25363,1,0,64,6,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1441542725,2386827709,8,0,4,0,0,0,0,1,0,0,0,3754,19502,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,80,3,80,50293,80,50293,0,0,0,0.0,4,1
53,2048,0,0,0,0,0,0,4,5,0,53,3,0,0,34402,35881,1,0,64,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2497912159,51972250,8,0,5,0,0,0,1,1,0,0,0,3754,47372,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,80,3,80,60683,80,60683,0,0,1,-0.0,3,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,42606,27678,1,0,64,6,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,629489145,1404207477,8,0,4,0,0,0,0,1,0,0,0,3754,16353,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,80,3,80,57591,80,57591,0,0,0,0.0,4,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,19106,51178,1,0,64,6,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,2909858539,2194400417,8,0,4,0,0,0,0,1,0,0,0,3754,62518,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,80,3,80,54201,80,54201,0,0,0,0.0,4,1
505,2048,0,0,0,0,0,0,4,5,0,505,3,0,0,52684,17147,1,0,64,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2045727695,4193759363,8,0,5,0,0,0,1,1,0,0,0,3754,52504,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,80,2,80,41232,80,41232,0,0,453,5.130796453879413,4,1
839,2048,0,0,0,0,0,0,4,5,0,839,3,0,0,63040,49222,1,0,64,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2787072261,1622522746,8,0,5,0,0,0,1,1,0,0,0,3650,54310,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,2,80,33201,80,33201,80,0,0,787,4.751593159228142,7,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,27257,56330,1,0,64,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,547409833,3205616494,8,0,7,1,0,0,0,1,0,0,0,3784,35234,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,2,80,34775,80,34775,80,0,0,0,0.0,4,1
715,2048,0,0,0,0,0,0,4,5,0,715,3,0,0,11738,57883,1,0,64,6,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,3245193212,844994703,8,0,6,1,0,0,1,1,0,0,0,3754,50726,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,80,3,80,59459,80,59459,0,0,663,4.806207206447736,4,1
60,2048,0,0,0,0,0,0,4,5,0,60,3,0,0,8082,39424,1,0,64,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2790041502,0,10,0,2,0,1,0,0,0,0,0,0,29200,52350,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,2,80,33283,80,33283,80,0,0,0,0.0,14,1
