pck_size,Ether_type,LLC_dsap,LLC_ssap,LLC_ctrl,EAPOL_version,EAPOL_type,EAPOL_len,IP_version,IP_ihl,IP_tos,IP_len,IP_flags,IP_Z,IP_MF,IP_id,IP_chksum,IP_DF,IP_frag,IP_ttl,IP_proto,IP_options,IP_add_count,ICMP_type,ICMP_code,ICMP_chksum,ICMP_id,ICMP_seq,ICMP_ts_ori,ICMP_ts_rx,ICMP_ts_tx,ICMP_ptr,ICMP_reserved,ICMP_length,ICMP_nexthopmtu,ICMP_unused,TCP_seq,TCP_ack,TCP_dataofs,TCP_reserved,TCP_flags,TCP_FIN,TCP_SYN,TCP_RST,TCP_PSH,TCP_ACK,TCP_URG,TCP_ECE,TCP_CWR,TCP_window,TCP_chksum,TCP_urgptr,TCP_options,UDP_len,UDP_chksum,DHCP_options,BOOTP_op,BOOTP_htype,BOOTP_hlen,BOOTP_hops,BOOTP_xid,BOOTP_secs,BOOTP_flags,BOOTP_sname,BOOTP_file,BOOTP_options,DNS_length,DNS_id,DNS_qr,DNS_opcode,DNS_aa,DNS_tc,DNS_rd,DNS_ra,DNS_z,DNS_ad,DNS_cd,DNS_rcode,DNS_qdcount,DNS_ancount,DNS_nscount,DNS_arcount,sport_class,dport_class,sport23,dport23,sport_bare,dport_bare,TCP_sport,TCP_dport,UDP_sport,UDP_dport,payload_bytes,entropy,Protocol,Label
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,49375,20909,1,0,64,6,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,2988498379,2854073773,8,0,4,0,0,0,0,1,0,0,0,3754,33711,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,80,2,80,45004,80,45004,0,0,0,0.0,4,1
907,2048,0,0,0,0,0,0,4,5,0,907,3,0,0,4016,65413,1,0,64,6,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,3733828178,2498737891,8,0,6,1,0,0,1,1,0,0,0,3754,56162,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,80,3,80,57550,80,57550,0,0,855,5.127836371937205,3,1
69,2048,0,0,0,0,0,0,4,5,0,69,3,0,0,37351,32916,1,0,64,6,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,1394661335,1145008900,8,0,5,0,0,0,1,1,0,0,0,3754,14959,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,80,3,80,53942,80,53942,0,0,17,3.616874605956223,4,1
60,2048,0,0,0,0,0,0,4,5,0,60,3,0,0,0,4741,1,0,64,6,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,2235668367,980253278,10,0,3,0,1,0,0,1,0,0,0,28960,8067,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,80,2,80,33062,80,33062,0,0,0,0.0,14,1
69,2048,0,0,0,0,0,0,4,5,0,69,3,0,0,14376,55891,1,0,64,6,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,1380221283,3606687132,8,0,5,0,0,0,1,1,0,0,0,3754,61311,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,80,2,80,42285,80,42285,0,0,17,3.616874605956223,1,1
920,2048,0,0,0,0,0,0,4,5,0,920,3,0,0,6005,63411,1,0,64,6,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,2398085028,2699121320,8,0,6,1,0,0,1,1,0,0,0,3754,51582,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,80,2,80,36668,80,36668,0,0,868,5.181465738131538,12,1
60,2048,0,0,0,0,0,0,4,5,0,60,3,0,0,0,4741,1,0,64,6,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,2471894457,3106305782,10,0,3,0,1,0,0,1,0,0,0,28960,39437,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,80,2,80,44864,80,44864,0,0,0,0.0,4,1
920,2048,0,0,0,0,0,0,4,5,0,920,3,0,0,53563,15853,1,0,64,6,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,3134932433,2564908275,8,0,6,1,0,0,1,1,0,0,0,3754,40673,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,80,2,80,48436,80,48436,0,0,868,5.175318415996666,9,1
69,2048,0,0,0,0,0,0,4,5,0,69,3,0,0,36499,33768,1,0,64,6,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,99486159,4061074722,8,0,5,0,0,0,1,1,0,0,0,3754,41625,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,80,3,80,51480,80,51480,0,0,17,3.616874605956223,9,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,64101,6183,1,0,64,6,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,3872668202,3693672602,8,0,4,0,0,0,0,1,0,0,0,3754,20147,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,80,3,80,58008,80,58008,0,0,0,0.0,4,1
69,2048,0,0,0,0,0,0,4,5,0,69,3,0,0,22476,47791,1,0,64,6,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,338430213,3855718073,8,0,5,0,0,0,1,1,0,0,0,3754,29588,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,80,2,80,38970,80,38970,0,0,17,3.616874605956223,7,1
919,2048,0,0,0,0,0,0,4,5,0,919,3,0,0,13142,56275,1,0,64,6,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,2711674096,881913507,8,0,6,1,0,0,1,1,0,0,0,3754,52543,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,80,3,80,54883,80,54883,0,0,867,5.188185757558857,4,1
69,2048,0,0,0,0,0,0,4,5,0,69,3,0,0,20919,49348,1,0,64,6,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,3278713510,3319421965,8,0,5,0,0,0,1,1,0,0,0,3754,1143,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,80,3,80,54036,80,54036,0,0,17,3.616874605956223,4,1
906,2048,0,0,0,0,0,0,4,5,0,906,3,0,0,62606,6824,1,0,64,6,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,2546321812,2109457876,8,0,6,1,0,0,1,1,0,0,0,3754,57535,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,80,2,80,37765,80,37765,0,0,854,5.131900271253617,4,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,50103,20181,1,0,64,6,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,3650303344,859124187,8,0,4,0,0,0,0,1,0,0,0,3754,32594,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,80,2,80,48608,80,48608,0,0,0,0.0,4,1
