pck_size,Ether_type,LLC_dsap,LLC_ssap,LLC_ctrl,EAPOL_version,EAPOL_type,EAPOL_len,IP_version,IP_ihl,IP_tos,IP_len,IP_flags,IP_Z,IP_MF,IP_id,IP_chksum,IP_DF,IP_frag,IP_ttl,IP_proto,IP_options,IP_add_count,ICMP_type,ICMP_code,ICMP_chksum,ICMP_id,ICMP_seq,ICMP_ts_ori,ICMP_ts_rx,ICMP_ts_tx,ICMP_ptr,ICMP_reserved,ICMP_length,ICMP_nexthopmtu,ICMP_unused,TCP_seq,TCP_ack,TCP_dataofs,TCP_reserved,TCP_flags,TCP_FIN,TCP_SYN,TCP_RST,TCP_PSH,TCP_ACK,TCP_URG,TCP_ECE,TCP_CWR,TCP_window,TCP_chksum,TCP_urgptr,TCP_options,UDP_len,UDP_chksum,DHCP_options,BOOTP_op,BOOTP_htype,BOOTP_hlen,BOOTP_hops,BOOTP_xid,BOOTP_secs,BOOTP_flags,BOOTP_sname,BOOTP_file,BOOTP_options,DNS_length,DNS_id,DNS_qr,DNS_opcode,DNS_aa,DNS_tc,DNS_rd,DNS_ra,DNS_z,DNS_ad,DNS_cd,DNS_rcode,DNS_qdcount,DNS_ancount,DNS_nscount,DNS_arcount,sport_class,dport_class,sport23,dport23,sport_bare,dport_bare,TCP_sport,TCP_dport,UDP_sport,UDP_dport,payload_bytes,entropy,Protocol,Label
328,2048,0,0,0,0,0,0,4,5,0,328,2,0,0,8,14750,0,0,128,17,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,308,47052,3,1,1,6,0,3997725702,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,68,67,68,67,0,0,68,67,300,1.7325427750686004,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,18,53674,1,0,128,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1586660989,3274462019,5,0,4,0,0,0,0,1,0,0,0,4380,49264,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,50165,62910,50165,0,0,6,-0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,31,53661,1,0,128,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,301607811,3099351515,5,0,4,0,0,0,0,1,0,0,0,4380,27649,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,50127,62910,50127,0,0,6,-0.0,4,1
371,2048,0,0,0,0,0,0,4,5,0,371,3,0,0,14,53347,1,0,128,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1586660646,1224013694,5,0,5,0,0,0,1,1,0,0,0,4380,8535,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,50477,62910,50477,0,0,331,3.227973994129578,5,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,25,53667,1,0,128,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,922534967,905814609,5,0,4,0,0,0,0,1,0,0,0,4380,59444,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,50222,62910,50222,0,0,6,-0.0,4,1
44,2048,0,0,0,0,0,0,4,5,0,44,3,0,0,29,53659,1,0,128,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2763259784,654100177,5,0,5,0,0,0,1,1,0,0,0,4380,53033,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,50529,62910,50529,0,0,4,2.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,17,53675,1,0,128,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,139041836,4245498645,5,0,4,0,0,0,0,1,0,0,0,4380,61156,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,50280,62910,50280,0,0,6,-0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,26,53666,1,0,128,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2763259780,654100173,5,0,4,0,0,0,0,1,0,0,0,4380,10370,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,50529,62910,50529,0,0,6,-0.0,4,1
44,2048,0,0,0,0,0,0,4,5,0,44,3,0,0,12,53676,1,0,128,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,139041493,4245498605,5,0,5,0,0,0,1,1,0,0,0,4380,38419,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,50280,62910,50280,0,0,4,2.0,5,1
371,2048,0,0,0,0,0,0,4,5,0,371,3,0,0,24,53337,1,0,128,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1186696454,2527823031,5,0,5,0,0,0,1,1,0,0,0,4380,22607,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,49980,62910,49980,0,0,331,3.227973994129578,3,1
44,2048,0,0,0,0,0,0,4,5,0,44,3,0,0,7,53681,1,0,128,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,489375988,539036484,6,0,3,0,1,0,0,1,0,0,0,4380,4919,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,50138,62910,50138,0,0,2,-0.0,4,1
44,2048,0,0,0,0,0,0,4,5,0,44,3,0,0,24,53664,1,0,128,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1042001791,3940230161,5,0,5,0,0,0,1,1,0,0,0,4380,26147,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,50154,62910,50154,0,0,4,2.0,5,1
110,2048,0,0,0,0,0,0,4,5,0,110,3,0,0,12,53610,1,0,128,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3002334275,3039139726,5,0,5,0,0,0,1,1,0,0,0,4380,27627,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,50254,62910,50254,0,0,70,3.460897397323318,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,15,53677,1,0,128,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,139041832,4245498609,5,0,4,0,0,0,0,1,0,0,0,4380,61196,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,50280,62910,50280,0,0,6,-0.0,18,1
328,2048,0,0,0,0,0,0,4,5,0,328,2,0,0,3,14755,0,0,128,17,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,308,58492,3,1,1,6,0,3403115207,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,68,67,68,67,0,0,68,67,300,1.7417257334091454,4,1
44,2048,0,0,0,0,0,0,4,5,0,44,3,0,0,20,53668,1,0,128,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2763259772,654100125,5,0,5,0,0,0,1,1,0,0,0,4380,55913,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,50529,62910,50529,0,0,4,2.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,23,53669,1,0,128,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3396752379,3257418229,5,0,4,0,0,0,0,1,0,0,0,4380,39226,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,50203,62910,50203,0,0,6,-0.0,4,1
32,2048,0,0,0,0,0,0,4,6,0,32,2,0,0,8,12356,0,0,1,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,2.4056390622295662,3,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,24,53668,1,0,128,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2353153109,3465976780,5,0,4,0,0,0,0,1,0,0,0,4380,33036,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,50142,62910,50142,0,0,6,-0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,25,53667,1,0,128,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1042001795,3940230165,5,0,4,0,0,0,0,1,0,0,0,4380,49003,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,50154,62910,50154,0,0,6,-0.0,4,1
110,2048,0,0,0,0,0,0,4,5,0,110,3,0,0,9,53613,1,0,128,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1586660572,3274461943,5,0,5,0,0,0,1,1,0,0,0,4380,14087,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,50165,62910,50165,0,0,70,3.5223292416602328,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,20,53672,1,0,128,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1586660993,3274462027,5,0,4,0,0,0,0,1,0,0,0,4380,49252,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,50165,62910,50165,0,0,6,-0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,16,53676,1,0,128,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,922534955,1731139915,5,0,4,0,0,0,0,1,0,0,0,4380,16393,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,50234,62910,50234,0,0,6,-0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,14,53678,1,0,128,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,922534951,1731139879,5,0,4,0,0,0,0,1,0,0,0,4380,16433,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,50234,62910,50234,0,0,6,-0.0,4,1
76,2048,0,0,0,0,0,0,4,5,0,76,2,0,0,9,2794,0,0,128,17,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56,43092,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,2,123,1024,123,0,0,1024,123,48,0.1460942501201363,4,1
110,2048,0,0,0,0,0,0,4,5,0,110,3,0,0,8,53614,1,0,128,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,489375989,539036484,5,0,5,0,0,0,1,1,0,0,0,4380,55341,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,50138,62910,50138,0,0,70,3.409559853845699,4,1
44,2048,0,0,0,0,0,0,4,5,0,44,3,0,0,32,53656,1,0,128,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2098981996,2787370696,5,0,5,0,0,0,1,1,0,0,0,4380,27519,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,50337,62910,50337,0,0,4,2.0,10,1
371,2048,0,0,0,0,0,0,4,5,0,371,3,0,0,17,53344,1,0,128,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1753094709,485347000,5,0,5,0,0,0,1,1,0,0,0,4380,55060,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,50498,62910,50498,0,0,331,3.227973994129578,3,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,21,53671,1,0,128,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,922534963,1731139963,5,0,4,0,0,0,0,1,0,0,0,4380,16337,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,50234,62910,50234,0,0,6,-0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,25,53667,1,0,128,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3396752383,3257418233,5,0,4,0,0,0,0,1,0,0,0,4380,39218,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,50203,62910,50203,0,0,6,-0.0,4,1
44,2048,0,0,0,0,0,0,4,5,0,44,3,0,0,17,53671,1,0,128,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,922534955,1731139915,5,0,5,0,0,0,1,1,0,0,0,4380,61880,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,62910,50234,62910,50234,0,0,4,2.0,5,1
