pck_size,Ether_type,LLC_dsap,LLC_ssap,LLC_ctrl,EAPOL_version,EAPOL_type,EAPOL_len,IP_version,IP_ihl,IP_tos,IP_len,IP_flags,IP_Z,IP_MF,IP_id,IP_chksum,IP_DF,IP_frag,IP_ttl,IP_proto,IP_options,IP_add_count,ICMP_type,ICMP_code,ICMP_chksum,ICMP_id,ICMP_seq,ICMP_ts_ori,ICMP_ts_rx,ICMP_ts_tx,ICMP_ptr,ICMP_reserved,ICMP_length,ICMP_nexthopmtu,ICMP_unused,TCP_seq,TCP_ack,TCP_dataofs,TCP_reserved,TCP_flags,TCP_FIN,TCP_SYN,TCP_RST,TCP_PSH,TCP_ACK,TCP_URG,TCP_ECE,TCP_CWR,TCP_window,TCP_chksum,TCP_urgptr,TCP_options,UDP_len,UDP_chksum,DHCP_options,BOOTP_op,BOOTP_htype,BOOTP_hlen,BOOTP_hops,BOOTP_xid,BOOTP_secs,BOOTP_flags,BOOTP_sname,BOOTP_file,BOOTP_options,DNS_length,DNS_id,DNS_qr,DNS_opcode,DNS_aa,DNS_tc,DNS_rd,DNS_ra,DNS_z,DNS_ad,DNS_cd,DNS_rcode,DNS_qdcount,DNS_ancount,DNS_nscount,DNS_arcount,sport_class,dport_class,sport23,dport23,sport_bare,dport_bare,TCP_sport,TCP_dport,UDP_sport,UDP_dport,payload_bytes,entropy,Protocol,Label
76,2048,0,0,0,0,0,0,4,5,0,76,3,0,0,8686,38577,1,0,64,17,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56,54782,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,2,123,41763,123,0,0,41763,123,48,1.761526967532118,8,1
222,2048,0,0,0,0,0,0,4,5,0,222,3,0,0,51842,47951,1,0,64,6,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2917790178,461815786,8,0,5,0,0,0,1,1,0,0,0,7024,48152,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,2,3,42233,50443,42233,50443,0,0,170,6.925481156687741,10,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,23331,46429,1,0,64,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2736089573,2167274232,8,0,4,0,0,0,0,1,0,0,0,7024,57991,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,52551,50443,52551,50443,0,0,0,0.0,4,1
89,2048,0,0,0,0,0,0,4,5,0,89,3,0,0,4047,6443,1,0,64,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2503356191,1399377213,8,0,5,0,0,0,1,1,0,0,0,7024,49235,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,2,3,39090,50443,39090,50443,0,0,37,5.101345257520846,5,1
61,2048,0,0,0,0,0,0,4,5,0,61,3,0,0,12440,57631,1,0,64,17,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,59034,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12,2,2,53,42815,53,0,0,42815,53,33,3.316528967581063,18,1
61,2048,0,0,0,0,0,0,4,5,0,61,3,0,0,9465,60606,1,0,64,17,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,222,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12,2,2,53,40340,53,0,0,40340,53,33,3.172441467515504,4,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,23333,46427,1,0,64,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2736090095,2167274333,8,0,4,0,0,0,0,1,0,0,0,7024,57297,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,52551,50443,52551,50443,0,0,0,0.0,4,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,3829,41242,1,0,64,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2816814492,2401190628,8,0,4,0,0,0,0,1,0,0,0,5656,18157,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,2,3,38855,50443,38855,50443,0,0,0,0.0,4,1
267,2048,0,0,0,0,0,0,4,5,0,267,3,0,0,14471,30385,1,0,64,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3281591029,154161784,8,0,5,0,0,0,1,1,0,0,0,2920,58882,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,2,3,38855,50443,38855,50443,0,0,215,4.67065456900171,4,1
222,2048,0,0,0,0,0,0,4,5,0,222,3,0,0,19525,56367,1,0,64,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,568749613,460034407,8,0,5,0,0,0,1,1,0,0,0,7024,46373,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,2,3,48456,50443,48456,50443,0,0,170,6.79739623015352,4,1
576,2048,0,0,0,0,0,0,4,5,0,576,2,0,0,0,30894,0,0,64,17,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,556,51023,3,1,1,6,0,503188100,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,68,67,68,67,0,0,68,67,548,1.309649890872917,4,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,62938,13124,1,0,64,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2304956525,107400190,8,0,4,0,0,0,0,1,0,0,0,7024,32640,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,52939,50443,52939,50443,0,0,0,0.0,5,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,14476,30595,1,0,64,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3281591378,154165591,8,0,4,0,0,0,0,1,0,0,0,7024,51527,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,2,3,38855,50443,38855,50443,0,0,0,0.0,4,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,30354,14717,1,0,64,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,535319430,674627770,8,0,4,0,0,0,0,1,0,0,0,7024,12213,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,2,3,38855,50443,38855,50443,0,0,0,0.0,3,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,4185,6342,1,0,64,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1961440608,3833204390,8,0,4,0,0,0,0,1,0,0,0,7024,16654,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,52939,50443,52939,50443,0,0,0,0.0,2,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,62946,13116,1,0,64,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2304957131,107400578,8,0,4,0,0,0,0,1,0,0,0,7024,27591,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,52939,50443,52939,50443,0,0,0,0.0,5,1
61,2048,0,0,0,0,0,0,4,5,0,61,3,0,0,9642,60429,1,0,64,17,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,43350,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12,2,2,53,40774,53,0,0,40774,53,33,3.377135028187124,4,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,30360,14711,1,0,64,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,535320340,674628009,8,0,4,0,0,0,0,1,0,0,0,7024,7581,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,2,3,38855,50443,38855,50443,0,0,0,0.0,7,1
286,2048,0,0,0,0,0,0,4,5,0,286,3,0,0,62944,12884,1,0,64,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2304956897,107400328,8,0,5,0,0,0,1,1,0,0,0,7024,58919,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,52939,50443,52939,50443,0,0,234,7.129666802778042,4,1
76,2048,0,0,0,0,0,0,4,5,0,76,3,0,0,9341,28948,1,0,64,17,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56,25083,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,3,123,60649,123,0,0,60649,123,48,1.8031936341987849,3,1
862,2048,0,0,0,0,0,0,4,5,0,862,3,0,0,22699,46251,1,0,64,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3329118766,3316656238,8,0,5,0,0,0,1,1,0,0,0,7024,40813,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,52550,50443,52550,50443,0,0,810,7.745031540075128,3,1
254,2048,0,0,0,0,0,0,4,5,0,254,3,0,0,14479,30390,1,0,64,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3281591900,154165692,8,0,5,0,0,0,1,1,0,0,0,7024,42456,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,2,3,38855,50443,38855,50443,0,0,202,6.918987163284192,4,1
95,34958,0,0,0,1,3,95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,95,1.6523671684657788,17,1
117,34958,0,0,0,1,3,117,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,117,4.20624006579654,4,1
117,34958,0,0,0,1,3,117,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,117,4.141200403621867,4,1
