pck_size,Ether_type,LLC_dsap,LLC_ssap,LLC_ctrl,EAPOL_version,EAPOL_type,EAPOL_len,IP_version,IP_ihl,IP_tos,IP_len,IP_flags,IP_Z,IP_MF,IP_id,IP_chksum,IP_DF,IP_frag,IP_ttl,IP_proto,IP_options,IP_add_count,ICMP_type,ICMP_code,ICMP_chksum,ICMP_id,ICMP_seq,ICMP_ts_ori,ICMP_ts_rx,ICMP_ts_tx,ICMP_ptr,ICMP_reserved,ICMP_length,ICMP_nexthopmtu,ICMP_unused,TCP_seq,TCP_ack,TCP_dataofs,TCP_reserved,TCP_flags,TCP_FIN,TCP_SYN,TCP_RST,TCP_PSH,TCP_ACK,TCP_URG,TCP_ECE,TCP_CWR,TCP_window,TCP_chksum,TCP_urgptr,TCP_options,UDP_len,UDP_chksum,DHCP_options,BOOTP_op,BOOTP_htype,BOOTP_hlen,BOOTP_hops,BOOTP_xid,BOOTP_secs,BOOTP_flags,BOOTP_sname,BOOTP_file,BOOTP_options,DNS_length,DNS_id,DNS_qr,DNS_opcode,DNS_aa,DNS_tc,DNS_rd,DNS_ra,DNS_z,DNS_ad,DNS_cd,DNS_rcode,DNS_qdcount,DNS_ancount,DNS_nscount,DNS_arcount,sport_class,dport_class,sport23,dport23,sport_bare,dport_bare,TCP_sport,TCP_dport,UDP_sport,UDP_dport,payload_bytes,entropy,Protocol,Label
279,2048,0,0,0,0,0,0,4,5,0,279,3,0,0,28741,4103,1,0,64,6,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,2604411560,2665288087,8,0,5,0,0,0,1,1,0,0,0,2920,54835,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3426,8443,3426,8443,0,0,227,4.938540782043518,4,1
533,2048,0,0,0,0,0,0,4,5,0,533,3,0,0,1039,31551,1,0,64,6,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,3090712840,261442346,8,0,5,0,0,0,1,1,0,0,0,8392,34936,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3426,8443,3426,8443,0,0,481,7.29117004456803,3,1
279,2048,0,0,0,0,0,0,4,5,0,279,3,0,0,26116,32136,1,0,64,6,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,3652133338,1407114313,8,0,5,0,0,0,1,1,0,0,0,2920,19603,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3902,8443,3902,8443,0,0,227,4.911669127990171,5,1
60,2048,0,0,0,0,0,0,4,5,0,60,3,0,0,63468,21721,1,0,63,6,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,4033924426,0,10,0,2,0,1,0,0,0,0,0,0,65535,36701,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,3,443,49248,443,49248,443,0,0,0,0.0,18,1
378,2048,0,0,0,0,0,0,4,5,0,378,3,0,0,43799,53974,1,0,64,6,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,3459906160,3642175857,8,0,5,0,0,0,1,1,0,0,0,8392,45283,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3674,8443,3674,8443,0,0,326,7.255611187944449,4,1
1420,2048,0,0,0,0,0,0,4,5,0,1420,3,0,0,36984,6007,1,0,64,6,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1946736385,1238552650,5,0,4,0,0,0,0,1,0,0,0,8440,1343,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,4966,8443,4966,8443,0,0,1380,7.618172128761492,4,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,35928,26520,1,0,64,6,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,2811150314,1574187653,8,0,4,0,0,0,0,1,0,0,0,7024,290,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3979,8443,3979,8443,0,0,0,0.0,4,1
77,2048,0,0,0,0,0,0,4,5,0,77,3,0,0,9175,44676,1,0,64,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2207628274,1849341900,5,0,5,0,0,0,1,1,0,0,0,8440,51521,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3693,8443,3693,8443,0,0,37,4.972834784489399,4,1
276,2048,0,0,0,0,0,0,4,5,0,276,3,0,0,31610,12491,1,0,64,6,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,3115155305,2274793849,8,0,5,0,0,0,1,1,0,0,0,8392,17684,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,4337,8443,4337,8443,0,0,224,6.754357627686625,7,1
1420,2048,0,0,0,0,0,0,4,5,0,1420,3,0,0,30409,447,1,0,64,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1752802898,375994337,5,0,4,0,0,0,0,1,0,0,0,8440,52516,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,3899,443,3899,443,0,0,1380,7.567651876022076,4,1
286,2048,0,0,0,0,0,0,4,5,0,286,3,0,0,8618,18497,1,0,64,6,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,3099986229,498058163,8,0,5,0,0,0,1,1,0,0,0,2920,12913,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,3736,443,3736,443,0,0,234,4.956428104235922,4,1
1420,2048,0,0,0,0,0,0,4,5,0,1420,3,0,0,35428,33056,1,0,64,6,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1881005183,3059257761,8,0,4,0,0,0,0,1,0,0,0,8392,20141,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,4988,8443,4988,8443,0,0,1368,7.625713452026633,4,1
1080,2048,0,0,0,0,0,0,4,5,0,1080,3,0,0,56131,18665,1,0,64,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1708471263,967496272,5,0,5,0,0,0,1,1,0,0,0,8440,8995,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3964,8443,3964,8443,0,0,1040,7.527015892218015,4,1
1420,2048,0,0,0,0,0,0,4,5,0,1420,3,0,0,49614,2860,1,0,64,6,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,2623460023,4153507713,8,0,4,0,0,0,0,1,0,0,0,8392,50394,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3380,8443,3380,8443,0,0,1368,7.576526028731806,4,1
1420,2048,0,0,0,0,0,0,4,5,0,1420,3,0,0,52703,44535,1,0,64,6,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1913702401,957375452,8,0,4,0,0,0,0,1,0,0,0,8392,56262,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3452,8443,3452,8443,0,0,1368,7.582320641250295,4,1
