pck_size,Ether_type,LLC_dsap,LLC_ssap,LLC_ctrl,EAPOL_version,EAPOL_type,EAPOL_len,IP_version,IP_ihl,IP_tos,IP_len,IP_flags,IP_Z,IP_MF,IP_id,IP_chksum,IP_DF,IP_frag,IP_ttl,IP_proto,IP_options,IP_add_count,ICMP_type,ICMP_code,ICMP_chksum,ICMP_id,ICMP_seq,ICMP_ts_ori,ICMP_ts_rx,ICMP_ts_tx,ICMP_ptr,ICMP_reserved,ICMP_length,ICMP_nexthopmtu,ICMP_unused,TCP_seq,TCP_ack,TCP_dataofs,TCP_reserved,TCP_flags,TCP_FIN,TCP_SYN,TCP_RST,TCP_PSH,TCP_ACK,TCP_URG,TCP_ECE,TCP_CWR,TCP_window,TCP_chksum,TCP_urgptr,TCP_options,UDP_len,UDP_chksum,DHCP_options,BOOTP_op,BOOTP_htype,BOOTP_hlen,BOOTP_hops,BOOTP_xid,BOOTP_secs,BOOTP_flags,BOOTP_sname,BOOTP_file,BOOTP_options,DNS_length,DNS_id,DNS_qr,DNS_opcode,DNS_aa,DNS_tc,DNS_rd,DNS_ra,DNS_z,DNS_ad,DNS_cd,DNS_rcode,DNS_qdcount,DNS_ancount,DNS_nscount,DNS_arcount,sport_class,dport_class,sport23,dport23,sport_bare,dport_bare,TCP_sport,TCP_dport,UDP_sport,UDP_dport,payload_bytes,entropy,Protocol,Label
1420,2048,0,0,0,0,0,0,4,5,0,1420,3,0,0,59704,8794,1,0,64,6,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,3655198813,3998602849,5,0,4,0,0,0,0,1,0,0,0,8440,31355,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,4463,8443,4463,8443,0,0,1380,7.617287349415873,18,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,19601,24738,1,0,64,6,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,1641663281,0,8,0,2,0,1,0,0,0,0,0,0,5840,28715,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3205,8443,3205,8443,0,0,0,0.0,4,1
366,2048,0,0,0,0,0,0,4,5,0,366,3,0,0,39817,58489,1,0,64,6,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,1942524435,2915446867,5,0,5,0,0,0,1,1,0,0,0,8440,14661,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,4053,8443,4053,8443,0,0,326,7.245151342747463,4,1
60,2048,0,0,0,0,0,0,4,5,0,60,3,0,0,42656,19285,1,0,63,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,256979908,0,10,0,2,0,1,0,0,0,0,0,0,65535,32717,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,41495,443,41495,443,0,0,0,0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,3971,4812,1,0,64,6,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,2168341886,3567825118,5,0,4,0,0,0,0,1,0,0,0,2920,2950,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,4902,8443,4902,8443,0,0,0,0.0,4,1
1420,2048,0,0,0,0,0,0,4,5,0,1420,3,0,0,36860,7854,1,0,64,6,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1960519107,623692318,5,0,4,0,0,0,0,1,0,0,0,8440,3980,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3729,8443,3729,8443,0,0,1380,7.5598223215112,4,1
60,2048,0,0,0,0,0,0,4,5,0,60,3,0,0,1839,64179,1,0,63,6,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,1444064717,0,10,0,2,0,1,0,0,0,0,0,0,65535,42758,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,41613,5228,41613,5228,0,0,0,0.0,5,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,0,32590,1,0,64,6,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,2180728254,0,5,0,8,0,0,1,0,0,0,0,0,0,64878,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3643,8443,3643,8443,0,0,0,0.0,3,1
196,2048,0,0,0,0,0,0,4,5,0,196,3,0,0,22118,896,1,0,64,6,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,3633997996,4182514388,5,0,5,0,0,0,1,1,0,0,0,2920,39115,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3636,3478,3636,3478,0,0,156,5.478699895848585,4,1
1420,2048,0,0,0,0,0,0,4,5,0,1420,3,0,0,50241,10853,1,0,64,6,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,3328957272,4255508408,5,0,4,0,0,0,0,1,0,0,0,8440,42131,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,4601,8443,4601,8443,0,0,1380,7.570834038807683,4,1
