pck_size,Ether_type,LLC_dsap,LLC_ssap,LLC_ctrl,EAPOL_version,EAPOL_type,EAPOL_len,IP_version,IP_ihl,IP_tos,IP_len,IP_flags,IP_Z,IP_MF,IP_id,IP_chksum,IP_DF,IP_frag,IP_ttl,IP_proto,IP_options,IP_add_count,ICMP_type,ICMP_code,ICMP_chksum,ICMP_id,ICMP_seq,ICMP_ts_ori,ICMP_ts_rx,ICMP_ts_tx,ICMP_ptr,ICMP_reserved,ICMP_length,ICMP_nexthopmtu,ICMP_unused,TCP_seq,TCP_ack,TCP_dataofs,TCP_reserved,TCP_flags,TCP_FIN,TCP_SYN,TCP_RST,TCP_PSH,TCP_ACK,TCP_URG,TCP_ECE,TCP_CWR,TCP_window,TCP_chksum,TCP_urgptr,TCP_options,UDP_len,UDP_chksum,DHCP_options,BOOTP_op,BOOTP_htype,BOOTP_hlen,BOOTP_hops,BOOTP_xid,BOOTP_secs,BOOTP_flags,BOOTP_sname,BOOTP_file,BOOTP_options,DNS_length,DNS_id,DNS_qr,DNS_opcode,DNS_aa,DNS_tc,DNS_rd,DNS_ra,DNS_z,DNS_ad,DNS_cd,DNS_rcode,DNS_qdcount,DNS_ancount,DNS_nscount,DNS_arcount,sport_class,dport_class,sport23,dport23,sport_bare,dport_bare,TCP_sport,TCP_dport,UDP_sport,UDP_dport,payload_bytes,entropy,Protocol,Label
1420,2048,0,0,0,0,0,0,4,5,0,1420,3,0,0,55435,18893,1,0,64,6,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1791363610,1253693608,5,0,4,0,0,0,0,1,0,0,0,8440,40086,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3470,8443,3470,8443,0,0,1380,7.600694922321854,3,1
1420,2048,0,0,0,0,0,0,4,5,0,1420,3,0,0,27371,15492,1,0,64,6,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1521976160,3334948458,5,0,4,0,0,0,0,1,0,0,0,8440,61333,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3516,8443,3516,8443,0,0,1380,7.562334849506713,3,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,51544,15302,1,0,64,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,958919327,0,8,0,2,0,1,0,0,0,0,0,0,5840,50520,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,4615,8059,4615,8059,0,0,0,0.0,10,1
1420,2048,0,0,0,0,0,0,4,5,0,1420,3,0,0,4870,56116,1,0,64,6,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,11720025,3019029676,5,0,4,0,0,0,0,1,0,0,0,8440,22966,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3535,8443,3535,8443,0,0,1380,7.587813208930243,17,1
1420,2048,0,0,0,0,0,0,4,5,0,1420,3,0,0,35926,60505,1,0,64,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1637614403,414746558,5,0,4,0,0,0,0,1,0,0,0,8440,22696,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3182,8443,3182,8443,0,0,1380,7.610833684026015,4,1
1420,2048,0,0,0,0,0,0,4,5,0,1420,3,0,0,35732,38596,1,0,64,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,434950099,1945523614,5,0,4,0,0,0,0,1,0,0,0,8440,10227,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3472,8443,3472,8443,0,0,1380,7.572659533486499,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,64803,4967,1,0,64,6,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,707443891,139294720,5,0,4,0,0,0,0,1,0,0,0,5680,55470,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3722,8443,3722,8443,0,0,0,0.0,5,1
1420,2048,0,0,0,0,0,0,4,5,0,1420,3,0,0,42041,26349,1,0,64,6,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,3559460607,2468600234,5,0,4,0,0,0,0,1,0,0,0,8440,15173,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,4622,8443,4622,8443,0,0,1380,7.589184560466012,3,1
1420,2048,0,0,0,0,0,0,4,5,0,1420,3,0,0,27652,24728,1,0,64,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,196134274,3492692313,5,0,4,0,0,0,0,1,0,0,0,8440,31557,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3465,8443,3465,8443,0,0,1380,7.56244077862806,3,1
60,2048,0,0,0,0,0,0,4,5,0,60,3,0,0,1425,28078,1,0,63,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3152495354,0,10,0,2,0,1,0,0,0,0,0,0,65535,41949,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,36367,443,36367,443,0,0,0,0.0,5,1
366,2048,0,0,0,0,0,0,4,5,0,366,3,0,0,27360,16557,1,0,64,6,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1521964416,3334948399,5,0,5,0,0,0,1,1,0,0,0,8440,57558,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3516,8443,3516,8443,0,0,326,7.284782276914775,4,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,43834,31862,1,0,64,6,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,2032724588,0,8,0,2,0,1,0,0,0,0,0,0,5840,45846,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3469,8443,3469,8443,0,0,0,0.0,4,1
1420,2048,0,0,0,0,0,0,4,5,0,1420,3,0,0,375,60611,1,0,64,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4276603682,2056936320,5,0,4,0,0,0,0,1,0,0,0,8440,25787,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3521,8443,3521,8443,0,0,1380,7.581485715412874,4,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,15253,51593,1,0,64,6,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,715028886,0,8,0,2,0,1,0,0,0,0,0,0,5840,20880,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3426,8059,3426,8059,0,0,0,0.0,3,1
1420,2048,0,0,0,0,0,0,4,5,0,1420,3,0,0,43852,30476,1,0,64,6,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,2032736450,3136375696,5,0,4,0,0,0,0,1,0,0,0,8440,2739,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3469,8443,3469,8443,0,0,1380,7.597022541778746,4,1
1420,2048,0,0,0,0,0,0,4,5,0,1420,3,0,0,350,60636,1,0,64,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4276573116,2056936320,5,0,4,0,0,0,0,1,0,0,0,8440,51593,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3521,8443,3521,8443,0,0,1380,7.571651022691892,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,41771,29515,1,0,64,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2336736759,3721285606,5,0,4,0,0,0,0,1,0,0,0,8440,47434,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,4425,8443,4425,8443,0,0,0,0.0,4,1
0,34525,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,4,1
1420,2048,0,0,0,0,0,0,4,5,0,1420,3,0,0,17653,34727,1,0,64,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,228466436,816990858,5,0,4,0,0,0,0,1,0,0,0,8440,61554,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3479,8443,3479,8443,0,0,1380,7.576309223293975,3,1
78,2048,0,0,0,0,0,0,4,5,0,78,3,0,0,39698,6250,1,0,64,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4199809155,10029134,5,0,5,0,0,0,1,1,0,0,0,8440,11575,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3745,8443,3745,8443,0,0,38,5.19529593449622,4,1
328,2048,0,0,0,0,0,0,4,5,0,328,2,0,0,0,31142,0,0,64,17,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,308,20699,3,1,1,6,0,269233212,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,68,67,68,67,0,0,68,67,300,1.898691220221702,4,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,44918,21928,1,0,64,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,713680574,0,8,0,2,0,1,0,0,0,0,0,0,5840,58479,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3439,8059,3439,8059,0,0,0,0.0,4,1
1420,2048,0,0,0,0,0,0,4,5,0,1420,3,0,0,17677,34703,1,0,64,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,228495488,816990858,5,0,4,0,0,0,0,1,0,0,0,8440,57077,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3479,8443,3479,8443,0,0,1380,7.585586363972629,4,1
389,2048,0,0,0,0,0,0,4,5,0,389,3,0,0,31639,40219,1,0,64,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2761888759,1264793149,5,0,5,0,0,0,1,1,0,0,0,2920,64841,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,4160,3475,4160,3475,0,0,349,3.8744773373259127,4,1
1420,2048,0,0,0,0,0,0,4,5,0,1420,3,0,0,16502,11813,1,0,64,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2780319408,3815867707,5,0,4,0,0,0,0,1,0,0,0,8440,18745,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,4035,8443,4035,8443,0,0,1380,7.579811662430294,5,1
470,2048,0,0,0,0,0,0,4,5,0,470,3,0,0,60659,8681,1,0,64,6,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,744110960,409979051,5,0,5,0,0,0,1,1,0,0,0,8440,6750,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3758,8443,3758,8443,0,0,430,7.302920048308425,5,1
40,2048,0,0,0,0,0,0,4,6,192,40,3,0,0,0,61233,1,0,1,2,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,16,2.646782221599798,4,1
418,2048,0,0,0,0,0,0,4,5,0,418,3,0,0,5488,40120,1,0,64,6,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,4047712423,1236349393,5,0,5,0,0,0,1,1,0,0,0,8440,14038,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3726,8443,3726,8443,0,0,378,7.3802458821385555,4,1
1420,2048,0,0,0,0,0,0,4,5,0,1420,3,0,0,14306,28557,1,0,64,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,466740321,3005589434,5,0,4,0,0,0,0,1,0,0,0,8440,22559,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,4866,8443,4866,8443,0,0,1380,7.6035403574496785,10,1
62,2048,0,0,0,0,0,0,4,5,0,62,3,0,0,13838,56270,1,0,64,17,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42,53641,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12,2,2,53,3081,53,0,0,3081,53,34,3.2705676203439467,4,1
1420,2048,0,0,0,0,0,0,4,5,0,1420,3,0,0,22539,8357,1,0,64,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2349493133,315383302,5,0,4,0,0,0,0,1,0,0,0,8440,29551,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3840,8443,3840,8443,0,0,1380,7.624951953046012,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,0,10173,1,0,64,6,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1791384293,0,5,0,8,0,0,1,0,0,0,0,0,0,43160,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3470,8443,3470,8443,0,0,0,0.0,4,1
1420,2048,0,0,0,0,0,0,4,5,0,1420,3,0,0,39267,48614,1,0,64,6,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,723457648,28700098,5,0,4,0,0,0,0,1,0,0,0,8440,4566,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3418,8443,3418,8443,0,0,1380,7.610330752159538,4,1
1420,2048,0,0,0,0,0,0,4,5,0,1420,3,0,0,4579,38284,1,0,64,6,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,3852697142,3400196445,5,0,4,0,0,0,0,1,0,0,0,8440,45248,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3829,8443,3829,8443,0,0,1380,7.549254017376721,3,1
475,2048,0,0,0,0,0,0,4,5,0,475,3,0,0,0,28752,1,0,4,17,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,455,20469,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,2,2,3082,1900,0,0,3082,1900,447,5.5210933273262,4,1
84,2048,0,0,0,0,0,0,4,5,0,84,3,0,0,0,8096,1,0,64,1,0,24,8,0,64088,11527,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,56,0.4783751837837327,4,1
437,2048,0,0,0,0,0,0,4,5,0,437,3,0,0,0,915,1,0,64,17,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,417,28049,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,2,2,3074,1900,0,0,3074,1900,409,5.50011290552871,3,1
40,2048,0,0,0,0,0,0,4,5,0,40,3,0,0,32503,58766,1,0,64,6,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1538470123,320897513,5,0,4,0,0,0,0,1,0,0,0,2920,37457,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,2,3219,3478,3219,3478,0,0,0,0.0,5,1
