pck_size,Ether_type,LLC_dsap,LLC_ssap,LLC_ctrl,EAPOL_version,EAPOL_type,EAPOL_len,IP_version,IP_ihl,IP_tos,IP_len,IP_flags,IP_Z,IP_MF,IP_id,IP_chksum,IP_DF,IP_frag,IP_ttl,IP_proto,IP_options,IP_add_count,ICMP_type,ICMP_code,ICMP_chksum,ICMP_id,ICMP_seq,ICMP_ts_ori,ICMP_ts_rx,ICMP_ts_tx,ICMP_ptr,ICMP_reserved,ICMP_length,ICMP_nexthopmtu,ICMP_unused,TCP_seq,TCP_ack,TCP_dataofs,TCP_reserved,TCP_flags,TCP_FIN,TCP_SYN,TCP_RST,TCP_PSH,TCP_ACK,TCP_URG,TCP_ECE,TCP_CWR,TCP_window,TCP_chksum,TCP_urgptr,TCP_options,UDP_len,UDP_chksum,DHCP_options,BOOTP_op,BOOTP_htype,BOOTP_hlen,BOOTP_hops,BOOTP_xid,BOOTP_secs,BOOTP_flags,BOOTP_sname,BOOTP_file,BOOTP_options,DNS_length,DNS_id,DNS_qr,DNS_opcode,DNS_aa,DNS_tc,DNS_rd,DNS_ra,DNS_z,DNS_ad,DNS_cd,DNS_rcode,DNS_qdcount,DNS_ancount,DNS_nscount,DNS_arcount,sport_class,dport_class,sport23,dport23,sport_bare,dport_bare,TCP_sport,TCP_dport,UDP_sport,UDP_dport,payload_bytes,entropy,Protocol,Label
225,2048,0,0,0,0,0,0,4,5,0,225,2,0,0,6,54333,0,0,255,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2000146736,389435058,5,0,5,0,0,0,1,1,0,0,0,8400,13469,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,3,80,49153,80,49153,80,0,0,185,4.928642598311096,4,1
552,2048,0,0,0,0,0,0,4,5,0,552,2,0,0,19,53993,0,0,255,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3894895615,1902491550,5,0,5,0,0,0,1,1,0,0,0,7329,35638,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,3,80,49154,80,49154,80,0,0,512,2.071191628676759,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,2,0,0,30,54494,0,0,255,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2806803689,466337982,5,0,4,0,0,0,0,1,0,0,0,7613,64049,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,3,80,49154,80,49154,80,0,0,0,0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,2,0,0,29,54495,0,0,255,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3244913038,2710948313,5,0,4,0,0,0,0,1,0,0,0,7613,19594,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,3,80,49154,80,49154,80,0,0,0,0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,2,0,0,29,54495,0,0,255,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2807543895,2811436560,5,0,4,0,0,0,0,1,0,0,0,7613,50590,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,3,80,49154,80,49154,80,0,0,0,0.0,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,2,0,0,8,54516,0,0,255,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3901138018,712642322,5,0,4,0,0,0,0,1,0,0,0,8022,8932,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,3,80,49153,80,49153,80,0,0,0,0.0,4,1
350,2048,0,0,0,0,0,0,4,5,0,350,2,0,0,23,54191,0,0,255,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2258464489,613245337,5,0,5,0,0,0,1,1,0,0,0,7329,13729,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,3,80,49154,80,49154,80,0,0,310,1.2976255789401685,4,1
238,2048,0,0,0,0,0,0,4,5,0,238,2,0,0,13,54313,0,0,255,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3244907871,2710947124,5,0,5,0,0,0,1,1,0,0,0,7354,3239,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,3,80,49154,80,49154,80,0,0,198,5.00674125266764,4,1
313,2048,0,0,0,0,0,0,4,5,0,313,2,0,0,27,54224,0,0,255,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,496677130,2929477980,5,0,5,0,0,0,1,1,0,0,0,8400,18221,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,3,80,49154,80,49154,80,0,0,273,5.144956956708402,10,1
40,2048,0,0,0,0,0,0,4,5,0,40,2,0,0,13,54511,0,0,255,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1768380469,2148257488,5,0,4,0,0,0,0,1,0,0,0,7354,56187,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,3,80,49154,80,49154,80,0,0,0,0.0,4,1
552,2048,0,0,0,0,0,0,4,5,0,552,2,0,0,18,53994,0,0,255,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1988352065,4020460141,5,0,5,0,0,0,1,1,0,0,0,7329,25928,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,3,80,49154,80,49154,80,0,0,512,1.8814426622196991,4,1
238,2048,0,0,0,0,0,0,4,5,0,238,2,0,0,14,54312,0,0,255,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1768380469,2148257488,5,0,5,0,0,0,1,1,0,0,0,7354,33217,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,3,80,49154,80,49154,80,0,0,198,5.00674125266764,4,1
552,2048,0,0,0,0,0,0,4,5,0,552,2,0,0,15,53997,0,0,255,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3244908136,2710947149,5,0,5,0,0,0,1,1,0,0,0,7329,27886,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,3,80,49154,80,49154,80,0,0,512,2.381649255946241,4,1
40,2048,0,0,0,0,0,0,4,5,0,40,2,0,0,28,54496,0,0,255,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2806803688,466337981,5,0,4,0,0,0,0,1,0,0,0,7614,64050,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,3,80,49154,80,49154,80,0,0,0,0.0,4,1
350,2048,0,0,0,0,0,0,4,5,0,350,2,0,0,24,54190,0,0,255,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1988355137,4020460141,5,0,5,0,0,0,1,1,0,0,0,7329,43227,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,3,80,49154,80,49154,80,0,0,310,1.317371686838652,4,1
