Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
Aria,0,1,DT,0.995260663507109,0.98780487804878,0.997076023391813,0.98780487804878,0.992360884834003,0.984722322786185,0.005312919616699,0.001043558120728,0.006356477737427,0
Aria,0,2,DT,0.995260663507109,0.997191011235955,0.985294117647059,0.997191011235955,0.99112886272861,0.982258471369713,0.00398850440979,0.0,0.00398850440979,0
Aria,0,3,DT,0.995260663507109,0.997191011235955,0.985294117647059,0.997191011235955,0.99112886272861,0.982258471369713,0.002991437911987,0.000998020172119,0.003989458084106,0
Aria,0,4,DT,0.985781990521327,0.991477272727273,0.960526315789474,0.991477272727273,0.97515406052518,0.950325668994742,0.004216432571411,0.000520706176758,0.004737138748169,0
Aria,0,5,DT,0.995260663507109,0.983870967741936,0.997237569060774,0.983870967741936,0.990418237137278,0.980837344473708,0.004984855651855,0.0,0.004984855651855,0
Aria,0,6,DT,0.976303317535545,0.959163898117386,0.967314736545506,0.959163898117386,0.963169837668005,0.926342246736019,0.003547668457031,0.0,0.003547668457031,0
Aria,0,7,DT,0.99047619047619,0.984558823529412,0.984558823529412,0.984558823529412,0.984558823529412,0.969117647058824,0.005798816680908,0.0,0.005798816680908,0
Aria,0,8,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.00425910949707,0.0,0.00425910949707,0
Aria,0,9,DT,0.995238095238095,0.997267759562842,0.982142857142857,0.997267759562842,0.989539227895392,0.97907949790795,0.004435062408447,0.0,0.004435062408447,0
Aria,0,10,DT,0.995238095238095,0.997159090909091,0.985714285714286,0.997159090909091,0.991329121763904,0.982658959537572,0.003996849060059,0.0,0.003996849060059,0
