Variable_Name,Random_Forest,Chi_Square,Recursive_Feature_Elimination,L_One,Votes
pck_size,0.012674070841182446,16905.019259619672,12,0.0,1
Ether_type,0.006531838812174601,471853.9500232221,22,0.0,0
LLC_dsap,0.0,,62,0.0,0
LLC_ssap,9.543037978310132e-05,0.6,47,0.0,0
LLC_ctrl,9.022153601581808e-05,105.0,49,0.0,0
EAPOL_version,0.0069124303059855926,86.4,31,0.0,0
EAPOL_type,0.006992453920013091,259.2,17,0.0,0
EAPOL_len,0.006182799580717765,9027.60717069369,24,0.0,0
IP_version,0.001294895763770832,5.392023633677992,41,0.0,0
IP_ihl,0.0012958407853484932,7.380320141412125,45,0.0,0
IP_tos,0.0002158886207566848,1174.3999999999996,46,0.0,0
IP_len,0.009899713565262203,19625.81801353968,19,0.0,0
IP_flags,0.15862055344913287,102.06282722513089,1,0.0,2
IP_Z,0.0,,78,0.0,0
IP_MF,0.0,,65,0.0,0
IP_id,0.10483069300044472,5783210.475644923,2,0.0,1
IP_DF,0.18153393385411923,318.6,3,0.1414808206958075,2
IP_frag,0.0,,76,0.0,0
IP_ttl,0.020401336189758843,3406.8517647058825,7,0.0,1
IP_proto,0.003226796295478975,27.481322059953836,34,0.0,0
IP_options,0.000382846477921788,5.599999999999999,57,0.0,0
ICMP_type,0.0,6.3999999999999995,54,0.0,0
ICMP_code,0.0,,70,0.0,0
ICMP_chksum,2.9017250799503263e-05,24413.199999999997,63,0.0,0
ICMP_id,0.0,11371.2,66,0.0,0
ICMP_seq,0.0,1.2,68,0.0,0
ICMP_ts_ori,0.0,,60,0.0,0
ICMP_ts_rx,0.0,,87,0.0,0
ICMP_ts_tx,0.0,,69,0.0,0
ICMP_ptr,0.0,,55,0.0,0
ICMP_reserved,0.0,,77,0.0,0
ICMP_length,0.0,,71,0.0,0
ICMP_nexthopmtu,0.0,,82,0.0,0
TCP_seq,0.057767478052692015,226198877227.5282,4,0.0,2
TCP_ack,0.0020931699484091027,3667264503.745347,36,0.0,0
TCP_dataofs,0.00893793576708947,66.18181818181807,27,0.0,0
TCP_reserved,0.0,,73,0.0,0
TCP_flags,0.008369890279043253,1.1793063583815109,26,0.0,0
TCP_FIN,0.00010057116595604566,3.6893617021276595,53,0.0,0
TCP_SYN,1.2981468986946839e-05,0.03636363636363636,51,0.0,0
TCP_RST,0.0,6.3999999999999995,56,0.0,0
TCP_PSH,0.008901896233719243,63.375,42,0.0,0
TCP_ACK,0.002047596299573862,0.3117782909930716,50,0.0,0
TCP_URG,0.0,,88,0.0,0
TCP_ECE,0.0,,90,0.0,0
TCP_CWR,0.0,,89,0.0,0
TCP_window,0.03544432501815174,1149.7689516418534,11,0.0,1
TCP_chksum,0.002409320206661602,6563.029328231305,33,0.0,0
TCP_urgptr,0.0,,58,0.0,0
TCP_options,0.0043889789020638255,0.006810284920083723,38,0.0,0
UDP_len,0.007327700466462934,11.75749727461908,30,0.0,0
UDP_chksum,0.00381005246978988,122255.40326396686,37,0.0,0
DHCP_options,0.0034346062156608522,353.44000000000005,44,0.0,0
BOOTP_op,0.001776877845230061,179.97528089887643,21,0.0,0
BOOTP_htype,0.004699647712625416,186.72413793103448,28,0.0,0
BOOTP_hlen,0.006739724333488029,1120.344827586207,39,0.0,0
BOOTP_hops,0.0,,74,0.0,0
BOOTP_xid,0.018508401148013037,10048851064.515316,23,0.0,2
BOOTP_secs,0.0,,67,0.0,0
BOOTP_flags,0.005113421281306437,6.972194457064979,25,0.0,0
BOOTP_sname,0.0047053320306756075,186.72413793103448,35,0.0,0
BOOTP_file,0.0007302323944908899,186.72413793103448,29,0.0,0
BOOTP_options,0.013552065441006804,186.72413793103448,32,0.0,1
DNS_length,0.0,,61,0.0,0
DNS_id,0.0010392649497587498,123289.60298910222,43,0.0,0
DNS_qr,0.0005201218974649793,23.199999999999996,52,0.0,0
DNS_opcode,0.0,,64,0.0,0
DNS_aa,0.00010544253852313769,23.599999999999994,72,0.0,0
DNS_tc,0.0,,75,0.0,0
DNS_rd,0.0008422583584693511,0.11011235955056214,40,0.0,0
DNS_ra,0.0,,84,0.0,0
DNS_z,0.0,,79,0.0,0
DNS_ad,0.0,,81,0.0,0
DNS_cd,0.0,,83,0.0,0
DNS_rcode,0.0,,80,0.0,0
DNS_qdcount,0.00045126964581325256,28.463157894736838,48,0.0,0
DNS_ancount,0.000616391027723829,129.39999999999995,59,0.0,0
DNS_nscount,5.108345599448827e-07,72.39999999999999,85,0.0,0
DNS_arcount,0.0,1.5999999999999999,86,0.0,0
sport_class,0.01073364610171692,9.156667647924639,18,0.0,0
dport_class,0.022814413598344106,675.4501707544239,9,0.0,1
sport_bare,0.044105026238320334,4678949.14529389,5,0.0,1
dport_bare,0.03894096494729421,4794023.184435595,10,0.0,1
TCP_sport,0.06315458527144917,7468147.847652414,8,0.0,1
TCP_dport,0.015018224706246284,4392451.395268402,16,0.0,1
UDP_sport,0.00518443886203822,404368.4607669186,20,0.0,0
UDP_dport,0.008714072163516192,401604.5266542884,15,0.0,0
payload_bytes,0.010181723221701697,18649.63141978944,13,0.0,0
entropy,0.03149034526353113,13.880760641611916,6,0.0,1
Protocol,0.024004335063765033,298.7335741935484,14,0.0,1
