Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
D-LinkCam,0,1,DT,0.968333333333333,0.953015222482436,0.943926490363066,0.953015222482436,0.948386162058396,0.896776530242666,0.059005498886108,0.000997304916382,0.06000280380249,0
D-LinkCam,0,2,DT,0.971666666666667,0.952110722587955,0.948666253101737,0.952110722587955,0.95037727863158,0.90075504008718,0.063502311706543,0.000997304916382,0.064499616622925,0
D-LinkCam,0,3,DT,0.97,0.96661726475376,0.914635462769058,0.96661726475376,0.938320959451742,0.876743283650225,0.065836906433105,0.0,0.065836906433105,0
D-LinkCam,0,4,DT,0.978333333333333,0.968917580672285,0.959162763466042,0.968917580672285,0.963948807306375,0.927900613769134,0.053056001663208,0.0,0.053056001663208,0
D-LinkCam,0,5,DT,0.945,0.900627164845976,0.897329051142369,0.900627164845976,0.898966704936854,0.797934440951953,0.058227777481079,0.0,0.058227777481079,0
D-LinkCam,0,6,DT,0.951666666666667,0.913631189527604,0.910270368354201,0.913631189527604,0.911939308976624,0.823879509291874,0.068143606185913,0.00099778175354,0.069141387939453,0
D-LinkCam,0,7,DT,0.961666666666667,0.9388182382134,0.929110348618984,0.9388182382134,0.933869723355009,0.867745150655524,0.07305645942688,0.001377820968628,0.074434280395508,0
D-LinkCam,0,8,DT,0.96,0.931470392548237,0.924621520268259,0.931470392548237,0.928,0.856002879942401,0.049644708633423,0.000997066497803,0.050641775131226,0
D-LinkCam,0,9,DT,0.951666666666667,0.920796624406634,0.91137040714995,0.920796624406634,0.91599032440288,0.831987949480514,0.058260917663574,0.001034736633301,0.059295654296875,0
D-LinkCam,0,10,DT,0.97,0.944196428571429,0.944196428571429,0.944196428571429,0.944196428571429,0.888392857142857,0.06133246421814,0.000999450683594,0.062331914901733,0
