Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
D-LinkDayCam,0,1,DT,0.988235294117647,0.978202644175974,0.978202644175974,0.978202644175974,0.978202644175974,0.956405288351949,0.020943641662598,0.000998020172119,0.021941661834717,0
D-LinkDayCam,0,2,DT,0.992156862745098,0.995249406175772,0.978494623655914,0.995249406175772,0.98662435416612,0.973251514436315,0.015957355499268,0.0,0.015957355499268,0
D-LinkDayCam,0,3,DT,0.976470588235294,0.960547690879554,0.960547690879554,0.960547690879554,0.960547690879554,0.921095381759109,0.014959096908569,0.000997543334961,0.01595664024353,0
D-LinkDayCam,0,4,DT,0.990196078431373,0.9805848772081,0.984959647835657,0.9805848772081,0.982755705832629,0.965511644891666,0.02293872833252,0.000997066497803,0.023935794830322,0
D-LinkDayCam,0,5,DT,0.982318271119843,0.971811190665606,0.967742783532257,0.971811190665606,0.96976177746094,0.939523954111605,0.01795220375061,0.0,0.01795220375061,0
D-LinkDayCam,0,6,DT,0.982318271119843,0.9705743618202,0.966202100170433,0.9705743618202,0.968371341577083,0.936743119899474,0.016954660415649,0.000998735427856,0.017953395843506,0
D-LinkDayCam,0,7,DT,0.986247544204322,0.965628532333869,0.980906298003072,0.965628532333869,0.97307794023197,0.946159541834776,0.02177357673645,0.001452922821045,0.023226499557495,0
D-LinkDayCam,0,8,DT,0.982318271119843,0.975277469478357,0.96234614554092,0.975277469478357,0.968662995519376,0.937329849378224,0.015300273895264,0.001123666763306,0.016423940658569,0
D-LinkDayCam,0,9,DT,0.986247544204322,0.97636149543715,0.971503496503496,0.97636149543715,0.973912916144998,0.947826214288852,0.014959812164307,0.0,0.014959812164307,0
D-LinkDayCam,0,10,DT,0.988212180746562,0.982837995337995,0.973267835722854,0.982837995337995,0.977976808584285,0.955954887651793,0.024538278579712,0.0,0.024538278579712,0
