Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
D-LinkDoorSensor,0,1,DT,0.965,0.943,0.9326932468598,0.943,0.937744267284612,0.875494071146245,0.032246828079224,0.000998258590698,0.033245086669922,0
D-LinkDoorSensor,0,2,DT,0.983333333333333,0.965704953728906,0.97341722858724,0.965704953728906,0.969509716237092,0.939020671992195,0.031970977783203,0.001037120819092,0.033008098602295,0
D-LinkDoorSensor,0,3,DT,0.975,0.953324490134306,0.963075880758808,0.953324490134306,0.958108164718696,0.916219839142091,0.030179023742676,0.0,0.030179023742676,0
D-LinkDoorSensor,0,4,DT,0.978333333333333,0.968721827656721,0.948175090404508,0.968721827656721,0.958089527217628,0.916190312459707,0.03191351890564,0.001097679138184,0.033011198043823,0
D-LinkDoorSensor,0,5,DT,0.98,0.971230158730159,0.956,0.971230158730159,0.963411659484511,0.926829268292683,0.034365177154541,0.000994920730591,0.035360097885132,0
D-LinkDoorSensor,0,6,DT,0.981666666666667,0.964378488918366,0.97436766034327,0.964378488918366,0.969279320793711,0.938561215370867,0.030584335327148,0.0,0.030584335327148,0
D-LinkDoorSensor,0,7,DT,0.965,0.935388432907043,0.931607938777226,0.935388432907043,0.933485015652137,0.866970733561384,0.032357931137085,0.0,0.032357931137085,0
D-LinkDoorSensor,0,8,DT,0.978333333333333,0.965499116979228,0.953792707671497,0.965499116979228,0.959526564583668,0.91905690921921,0.029527187347412,0.0,0.029527187347412,0
D-LinkDoorSensor,0,9,DT,0.975,0.968447049660798,0.943083126550869,0.968447049660798,0.955179059656672,0.910379988847288,0.031740665435791,0.0,0.031740665435791,0
D-LinkDoorSensor,0,10,DT,0.966666666666667,0.947866419294991,0.941671545667447,0.947866419294991,0.944730006079699,0.889462048636699,0.039068937301636,0.000998020172119,0.040066957473755,0
