Variable_Name,Random_Forest,Chi_Square,Recursive_Feature_Elimination,L_One,Votes
pck_size,0.026950840712010482,434.4730712860261,13,0.0,1
Ether_type,5.035092873830859e-05,143269.8395450173,51,0.0,0
LLC_dsap,0.0,,52,0.0,0
LLC_ssap,0.0,1.8,49,0.0,0
LLC_ctrl,0.0,315.0,48,0.0,0
EAPOL_version,0.0,9.6,44,0.0,0
EAPOL_type,0.0,27.6,43,0.0,0
EAPOL_len,0.0,988.3999999999996,42,0.0,0
IP_version,1.0972385511546432e-05,1.7043478260869773,40,0.0,0
IP_ihl,0.00016410545672135833,1.4076360682372056,38,0.0,0
IP_tos,3.8421982690566206e-06,4239.999999999999,37,0.0,0
IP_len,0.02435109237999444,621.8500050257157,9,0.0,1
IP_flags,0.0007922409303330553,3.9988512349224767,36,0.0,0
IP_Z,0.0,,45,0.0,0
IP_MF,0.0,,58,0.0,0
IP_id,0.032754546150866495,2012109.454510994,12,0.0,1
IP_DF,0.0015146546801498427,8.275407461064857,33,0.0,0
IP_frag,0.0,,75,0.0,0
IP_ttl,0.005394638767863671,6049.490129329948,20,0.0,0
IP_proto,0.0015664607623984265,633.0702807357212,30,0.0,0
IP_options,3.945834508437771e-05,20.799999999999997,46,0.0,0
ICMP_type,0.0,41.19999999999999,61,0.0,0
ICMP_code,0.0,1.2,69,0.0,0
ICMP_chksum,2.509248013112334e-07,136473.99999999997,66,0.0,0
ICMP_id,0.0,92499.79999999997,63,0.0,0
ICMP_seq,0.0,5.199999999999999,70,0.0,0
ICMP_ts_ori,0.0,,72,0.0,0
ICMP_ts_rx,0.0,,73,0.0,0
ICMP_ts_tx,0.0,,77,0.0,0
ICMP_ptr,0.0,,82,0.0,0
ICMP_reserved,0.0,,84,0.0,0
ICMP_length,0.0,,80,0.0,0
ICMP_nexthopmtu,0.0,,81,0.0,0
TCP_seq,0.04062125547698359,203785771161.27112,10,0.0,2
TCP_ack,0.029159580791893496,25960256501.529694,16,0.0,2
TCP_dataofs,0.018831249598179996,148.76953381483946,14,0.0,1
TCP_reserved,0.0,,83,0.0,0
TCP_flags,0.01578863621421876,332.692440727895,18,0.0,1
TCP_FIN,0.002439292671687923,13.66875,22,0.0,0
TCP_SYN,0.00374349176855793,20.768712871287114,27,0.0,0
TCP_RST,0.0026820011201646402,69.06315789473685,26,0.0,0
TCP_PSH,0.0050845333689912816,9.84,21,0.0,0
TCP_ACK,0.002442486968818541,83.92503176620086,28,0.0,0
TCP_URG,0.0,,88,0.0,0
TCP_ECE,0.0,,90,0.0,0
TCP_CWR,0.0,,89,0.0,0
TCP_window,0.06511478659756763,523005.1577927929,8,0.0,1
TCP_chksum,0.02835596683257239,3068555.167183899,15,0.0,1
TCP_urgptr,0.0,,53,0.0,0
TCP_options,0.0020356582625105212,101.54337568058081,24,0.0,0
UDP_len,0.0038847137206629665,47842.85845440429,25,0.0,0
UDP_chksum,0.002727140623431192,7924419.835285696,23,0.0,0
DHCP_options,7.660051145217033e-07,39.199999999999996,65,0.0,0
BOOTP_op,5.2375275684036615e-06,19.2,62,0.0,0
BOOTP_htype,1.4836489441248348e-07,16.599999999999998,57,0.0,0
BOOTP_hlen,1.7251673657618653e-05,99.6,56,0.0,0
BOOTP_hops,0.0,,68,0.0,0
BOOTP_xid,2.9232967807312813e-07,24499836140.799995,59,0.0,1
BOOTP_secs,0.0,2.1999999999999993,60,0.0,0
BOOTP_flags,5.075991503321616e-07,0.403240058910162,41,0.0,0
BOOTP_sname,0.0,16.599999999999998,39,0.0,0
BOOTP_file,4.411265283696529e-08,16.599999999999998,54,0.0,0
BOOTP_options,2.2160314570700913e-06,16.599999999999998,47,0.0,0
DNS_length,0.0,,50,0.0,0
DNS_id,0.0008440346261474767,263288.20398613263,31,0.0,0
DNS_qr,2.3998454419488635e-06,64.8,55,0.0,0
DNS_opcode,0.0,,71,0.0,0
DNS_aa,0.00019240936761665619,66.19999999999997,35,0.0,0
DNS_tc,0.0,,67,0.0,0
DNS_rd,3.842112661723461e-05,30.269565217391307,32,0.0,0
DNS_ra,0.0,,74,0.0,0
DNS_z,0.0,,76,0.0,0
DNS_ad,0.0,,79,0.0,0
DNS_cd,0.0,,78,0.0,0
DNS_rcode,0.0,,87,0.0,0
DNS_qdcount,5.803743760857215e-05,135.8439024390244,34,0.0,0
DNS_ancount,0.00015553852453390694,342.6,64,0.0,0
DNS_nscount,5.848365148668697e-05,172.59999999999994,85,0.0,0
DNS_arcount,0.0,2.1999999999999993,86,0.0,0
sport_class,0.024834185393664485,728.332289240224,17,0.0,1
dport_class,0.07311001448057092,169.94002812474116,5,0.0,1
sport_bare,0.09443322809640342,23944610.46026375,2,0.0,1
dport_bare,0.07215660272638073,12306912.937553495,7,0.0,1
TCP_sport,0.13778074457639758,38217786.59022893,1,0.0,2
TCP_dport,0.06206286384878398,11265696.820410563,3,0.0,1
UDP_sport,0.005400982917776547,3542896.3439385435,19,0.0,0
UDP_dport,0.0014019940070747752,1041714.9559948063,29,0.0,0
payload_bytes,0.08708157876073307,690.7170561423547,4,0.0,1
entropy,0.043893741010905415,65.4793234608582,11,0.0,1
Protocol,0.0799640273187002,578.9055658477648,6,0.0,1
