Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
D-LinkHomeHub,0,1,DT,0.933333333333333,0.882144889828441,0.876,0.882144889828441,0.87902981914958,0.758064516129032,0.052637100219727,0.0,0.052637100219727,0
D-LinkHomeHub,0,2,DT,0.93,0.862,0.880539904129173,0.862,0.870877825828534,0.741803278688525,0.048865079879761,0.000998258590698,0.049863338470459,0
D-LinkHomeHub,0,3,DT,0.93,0.863827879874496,0.902636957082482,0.863827879874496,0.881436314363144,0.763091097113848,0.047969818115234,0.001005887985229,0.048975706100464,0
D-LinkHomeHub,0,4,DT,0.948333333333333,0.893829168093119,0.904714263726115,0.893829168093119,0.899153649716166,0.798317140874393,0.048360109329224,0.0,0.048360109329224,0
D-LinkHomeHub,0,5,DT,0.926666666666667,0.878075595329713,0.846670295772092,0.878075595329713,0.861239592969473,0.722624976360083,0.050206661224365,0.0,0.050206661224365,0
D-LinkHomeHub,0,6,DT,0.925,0.885099531615925,0.872458459414981,0.885099531615925,0.878574737249223,0.757176775307576,0.04388952255249,0.0,0.04388952255249,0
D-LinkHomeHub,0,7,DT,0.936666666666667,0.885700992555831,0.891684384597212,0.885700992555831,0.88865230216249,0.777308954524144,0.04819917678833,0.0,0.04819917678833,0
D-LinkHomeHub,0,8,DT,0.925,0.87853048462741,0.852047146401985,0.87853048462741,0.864457150889312,0.729024488157367,0.047601699829102,0.001039505004883,0.048641204833984,0
D-LinkHomeHub,0,9,DT,0.916666666666667,0.84212252259638,0.84794163626889,0.84212252259638,0.844990079365079,0.68998656608453,0.05542254447937,0.0,0.05542254447937,0
D-LinkHomeHub,0,10,DT,0.938333333333333,0.872814862996992,0.895971415617781,0.872814862996992,0.88381768797199,0.767694947888326,0.046623706817627,0.0,0.046623706817627,0
