Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
D-LinkSensor,0,1,DT,0.913333333333333,0.857080497628921,0.841159409300298,0.857080497628921,0.848790322580645,0.697633399879829,0.036827802658081,0.0,0.036827802658081,0
D-LinkSensor,0,2,DT,0.92,0.859623015873016,0.848,0.859623015873016,0.853646637938044,0.707317073170732,0.03291130065918,0.000998020172119,0.033909320831299,0
D-LinkSensor,0,3,DT,0.946666666666667,0.90674339954035,0.91266516274573,0.90674339954035,0.9096657633243,0.81933492669891,0.037513017654419,0.001004219055176,0.038517236709595,0
D-LinkSensor,0,4,DT,0.943333333333333,0.897107055756454,0.890376984126984,0.897107055756454,0.893694632621157,0.787393696848424,0.041329622268677,0.0,0.041329622268677,0
D-LinkSensor,0,5,DT,0.945,0.915876242095754,0.901555486907379,0.915876242095754,0.908485433931568,0.816992014196983,0.035058736801147,0.000998020172119,0.036056756973267,0
D-LinkSensor,0,6,DT,0.925,0.856491460785939,0.887,0.856491460785939,0.870614676129366,0.741379310344828,0.034243583679199,0.0,0.034243583679199,0
D-LinkSensor,0,7,DT,0.933333333333333,0.865720790308155,0.884970900376583,0.865720790308155,0.874934861907243,0.749916638879627,0.035406589508057,0.0,0.035406589508057,0
D-LinkSensor,0,8,DT,0.938333333333333,0.89013098464318,0.898845598845599,0.89013098464318,0.894401872226266,0.788812785388128,0.036309242248535,0.001004457473755,0.03731369972229,0
D-LinkSensor,0,9,DT,0.933333333333333,0.895509208645194,0.864686724565757,0.895509208645194,0.87902981914958,0.758181525068515,0.036629438400269,0.0,0.036629438400269,0
D-LinkSensor,0,10,DT,0.943333333333333,0.894312424177549,0.871412247092828,0.894312424177549,0.88233665559247,0.764722164556086,0.04228138923645,0.000996589660645,0.043277978897095,0
