Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
D-LinkSiren,0,1,DT,0.933333333333333,0.886640229727882,0.880808080808081,0.886640229727882,0.883684863523573,0.767374236696714,0.038028717041016,0.0,0.038028717041016,0
D-LinkSiren,0,2,DT,0.926666666666667,0.865570599613153,0.859375,0.865570599613153,0.862428348097968,0.724862431215608,0.034902095794678,0.0,0.034902095794678,0
D-LinkSiren,0,3,DT,0.931666666666667,0.877450980392157,0.861125586242835,0.877450980392157,0.868992144854214,0.738019169329073,0.038947820663452,0.0,0.038947820663452,0
D-LinkSiren,0,4,DT,0.93,0.877956682815617,0.893692022263451,0.877956682815617,0.885519071069034,0.771075581395349,0.036063432693481,0.0,0.036063432693481,0
D-LinkSiren,0,5,DT,0.93,0.876912286023014,0.882539682539682,0.876912286023014,0.87968833549767,0.759381266112862,0.036916017532349,0.0,0.036916017532349,0
D-LinkSiren,0,6,DT,0.928333333333333,0.841963368709346,0.872445293747524,0.841963368709346,0.85616724738676,0.712464336661911,0.040526628494263,0.0,0.040526628494263,0
D-LinkSiren,0,7,DT,0.923333333333333,0.865538094064568,0.870995670995671,0.865538094064568,0.868230081735544,0.736465196218848,0.043202877044678,0.0,0.043202877044678,0
D-LinkSiren,0,8,DT,0.925,0.872056321862639,0.857370659107016,0.872056321862639,0.864457150889312,0.728948319479581,0.04038667678833,0.001008272171021,0.041394948959351,0
D-LinkSiren,0,9,DT,0.936666666666667,0.893225444710746,0.866532762189748,0.893225444710746,0.879111789781765,0.758305595013463,0.035422086715698,0.0,0.035422086715698,0
D-LinkSiren,0,10,DT,0.923333333333333,0.886002886002886,0.85970416853429,0.886002886002886,0.871985157699443,0.744089012517385,0.034065723419189,0.000998020172119,0.035063743591309,0
