Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
D-LinkSwitch,0,1,DT,0.945,0.907,0.897530815963744,0.907,0.90216956287582,0.804347826086957,0.044036626815796,0.000996112823486,0.045032739639282,0
D-LinkSwitch,0,2,DT,0.948333333333333,0.930753722084367,0.898386373823398,0.930753722084367,0.913423540418639,0.826944547822851,0.038574695587158,0.0,0.038574695587158,0
D-LinkSwitch,0,3,DT,0.946666666666667,0.915060784626002,0.915060784626002,0.915060784626002,0.915060784626002,0.830121569252004,0.036321878433228,0.0,0.036321878433228,0
D-LinkSwitch,0,4,DT,0.958333333333333,0.931443659731501,0.913509228392552,0.931443659731501,0.922166470353209,0.844353131614992,0.054506301879883,0.0,0.054506301879883,0
D-LinkSwitch,0,5,DT,0.94,0.911111111111111,0.888281150624194,0.911111111111111,0.899101253760347,0.798262818716727,0.038649559020996,0.001044273376465,0.039693832397461,0
D-LinkSwitch,0,6,DT,0.945,0.902225851327648,0.899,0.902225851327648,0.900601910652162,0.801204819277108,0.035836219787598,0.0,0.035836219787598,0
D-LinkSwitch,0,7,DT,0.95,0.908529148711277,0.908529148711277,0.908529148711277,0.908529148711277,0.817058297422555,0.051843404769897,0.0,0.051843404769897,0
D-LinkSwitch,0,8,DT,0.95,0.91361299950257,0.919486537491358,0.91361299950257,0.916512059369202,0.8330272165637,0.034564256668091,0.0,0.034564256668091,0
D-LinkSwitch,0,9,DT,0.945,0.90234438722006,0.876143790849673,0.90234438722006,0.888558065187904,0.777177582714382,0.040564775466919,0.0,0.040564775466919,0
D-LinkSwitch,0,10,DT,0.958333333333333,0.934313725490196,0.908579451128282,0.934313725490196,0.920815494823973,0.841671944268524,0.040407657623291,0.0,0.040407657623291,0
