Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
D-LinkWaterSensor,0,1,DT,0.938333333333333,0.876818602304264,0.88694704117101,0.876818602304264,0.881773399014778,0.763558130618157,0.046818256378174,0.0,0.046818256378174,0
D-LinkWaterSensor,0,2,DT,0.93,0.851589369463262,0.87793237883982,0.851589369463262,0.863986700921868,0.728067335707349,0.043476819992065,0.0,0.043476819992065,0
D-LinkWaterSensor,0,3,DT,0.931666666666667,0.872916666666667,0.907196072112377,0.872916666666667,0.888622770757592,0.777415852334419,0.041460990905762,0.0,0.041460990905762,0
D-LinkWaterSensor,0,4,DT,0.943333333333333,0.889733250620348,0.908651109846329,0.889733250620348,0.898807516022143,0.797651166481511,0.037528514862061,0.000996112823486,0.038524627685547,0
D-LinkWaterSensor,0,5,DT,0.921666666666667,0.86912827461608,0.866486668286029,0.86912827461608,0.867798660172237,0.735598559855986,0.038967132568359,0.00100564956665,0.03997278213501,0
D-LinkWaterSensor,0,6,DT,0.94,0.897760538641686,0.903339517625232,0.897760538641686,0.900514010943459,0.801031687546057,0.043745994567871,0.0,0.043745994567871,0
D-LinkWaterSensor,0,7,DT,0.961666666666667,0.917072545501154,0.921343817685281,0.917072545501154,0.919191919191919,0.838384784747271,0.042141199111938,0.000998497009277,0.043139696121216,0
D-LinkWaterSensor,0,8,DT,0.935,0.869699329794429,0.885955152345087,0.869699329794429,0.877537562997504,0.755107166778299,0.04118537902832,0.001042604446411,0.042227983474731,0
D-LinkWaterSensor,0,9,DT,0.948333333333333,0.913993271619868,0.889136904761905,0.913993271619868,0.900945280255625,0.801942243802709,0.040265321731567,0.000999212265015,0.041264533996582,0
D-LinkWaterSensor,0,10,DT,0.921666666666667,0.846430604114156,0.861455748552523,0.846430604114156,0.853672964264032,0.707383887436185,0.046488523483276,0.0,0.046488523483276,0
