Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
EdimaxCam,0,1,DT,0.97,0.975083056478405,0.915169660678643,0.975083056478405,0.941970114609024,0.884080370942813,0.010550260543823,0.0,0.010550260543823,0
EdimaxCam,0,2,DT,0.985,0.984194045429693,0.958833780792238,0.984194045429693,0.970985057304512,0.941981337330175,0.012423992156982,0.0,0.012423992156982,0
EdimaxCam,0,3,DT,0.9825,0.984325091683426,0.962703435804702,0.984325091683426,0.973033101867458,0.946079186566015,0.011342525482178,0.0,0.011342525482178,0
EdimaxCam,0,4,DT,0.985,0.978422619047619,0.966702957720922,0.978422619047619,0.972445464982778,0.944893460690669,0.010631322860718,0.001052379608154,0.011683702468872,0
EdimaxCam,0,5,DT,0.9725,0.954704671833268,0.9495670995671,0.954704671833268,0.952110928503793,0.904222899434044,0.012964725494385,0.0,0.012964725494385,0
EdimaxCam,0,6,DT,0.98,0.982179605061518,0.951794871794872,0.982179605061518,0.966124661246612,0.932275132275132,0.011878252029419,0.0,0.011878252029419,0
EdimaxCam,0,7,DT,0.977443609022556,0.960813492063492,0.954967350746269,0.960813492063492,0.957860520788106,0.915722030556925,0.012207984924316,0.0,0.012207984924316,0
EdimaxCam,0,8,DT,0.989974937343358,0.988019241143679,0.976745718050066,0.988019241143679,0.982272969610805,0.964547514327602,0.011641502380371,0.0,0.011641502380371,0
EdimaxCam,0,9,DT,0.967418546365915,0.945166346445546,0.927029779804055,0.945166346445546,0.935805249935026,0.871624798911026,0.011534929275513,0.001038551330566,0.012573480606079,0
EdimaxCam,0,10,DT,0.982456140350877,0.966357620989459,0.979529272151899,0.966357620989459,0.972766364070712,0.94553750755611,0.011402130126953,0.001108884811401,0.012511014938354,0
