Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
EdimaxPlug2101W,0,1,DT,0.984749455337691,0.978487161693269,0.961204013377926,0.978487161693269,0.969604086845466,0.939213349225268,0.021599292755127,0.0,0.021599292755127,0
EdimaxPlug2101W,0,2,DT,0.984749455337691,0.97528387842524,0.970421966484959,0.97528387842524,0.972832198875407,0.945664857186343,0.022338628768921,0.0,0.022338628768921,0
EdimaxPlug2101W,0,3,DT,0.984749455337691,0.972459893048128,0.976809523809524,0.972459893048128,0.974617043632141,0.949234488315874,0.0219407081604,0.0,0.0219407081604,0
EdimaxPlug2101W,0,4,DT,0.967320261437908,0.948776968530988,0.935143237841439,0.948776968530988,0.941783283304443,0.883575426551905,0.020943164825439,0.0,0.020943164825439,0
EdimaxPlug2101W,0,5,DT,0.971615720524018,0.959049773755656,0.933161359188756,0.959049773755656,0.945513612445665,0.891052150045746,0.022132873535156,0.001011371612549,0.023144245147705,0
EdimaxPlug2101W,0,6,DT,0.98471615720524,0.97679526355997,0.972449140514114,0.97679526355997,0.974604532528536,0.949209467380628,0.021972417831421,0.0,0.021972417831421,0
EdimaxPlug2101W,0,7,DT,0.989082969432314,0.988862037983704,0.976419082125604,0.988862037983704,0.982492756282348,0.964987921597407,0.023841142654419,0.001004457473755,0.024845600128174,0
EdimaxPlug2101W,0,8,DT,0.978165938864629,0.975579575645085,0.945427276135938,0.975579575645085,0.95970579954955,0.919437115215479,0.025638818740845,0.001331329345703,0.026970148086548,0
EdimaxPlug2101W,0,9,DT,0.978165938864629,0.976514299348945,0.949140562248996,0.976514299348945,0.962136243386243,0.924295018017125,0.025264978408813,0.001012086868286,0.0262770652771,0
EdimaxPlug2101W,0,10,DT,0.978165938864629,0.96481053193382,0.954778067885117,0.96481053193382,0.95970579954955,0.91941443502129,0.023914337158203,0.0,0.023914337158203,0
