Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
EdnetCam,0,1,DT,0.98989898989899,0.96969696969697,0.994011976047904,0.96969696969697,0.981362951807229,0.962732919254658,0.004563331604004,0.0,0.004563331604004,0
EdnetCam,0,2,DT,0.96969696969697,0.970050215208034,0.93108552631579,0.970050215208034,0.949074074074074,0.898217957505141,0.005042791366577,0.0,0.005042791366577,0
EdnetCam,0,3,DT,0.974747474747475,0.954276315789474,0.963656202786638,0.954276315789474,0.958878504672897,0.917760425319821,0.004040718078613,0.0,0.004040718078613,0
EdnetCam,0,4,DT,0.974747474747475,0.944047619047619,0.95664150173434,0.944047619047619,0.950208721017955,0.900422450211225,0.004007816314697,0.0,0.004007816314697,0
EdnetCam,0,5,DT,0.984848484848485,0.975633528265107,0.961344537815126,0.975633528265107,0.9683284457478,0.936660268714012,0.004987716674805,0.0,0.004987716674805,0
EdnetCam,0,6,DT,0.974747474747475,0.985294117647059,0.924242424242424,0.985294117647059,0.951553706875459,0.903225806451613,0.004244089126587,0.0,0.004244089126587,0
EdnetCam,0,7,DT,0.96969696969697,0.955765887579679,0.933333333333333,0.955765887579679,0.944088855421687,0.888198757763975,0.004022359848022,0.00100302696228,0.005025386810303,0
EdnetCam,0,8,DT,0.97979797979798,0.957115009746589,0.957115009746589,0.957115009746589,0.957115009746589,0.914230019493177,0.004028558731079,0.0,0.004028558731079,0
EdnetCam,0,9,DT,0.98989898989899,0.984335443037975,0.984335443037975,0.984335443037975,0.984335443037975,0.968670886075949,0.003991603851318,0.0,0.003991603851318,0
EdnetCam,0,10,DT,0.974747474747475,0.966575091575092,0.958664666166542,0.966575091575092,0.962549650085114,0.92510213345438,0.004985809326172,0.0,0.004985809326172,0
