Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
EdnetGateway,0,1,DT,0.984756097560976,0.974215492648672,0.966402877697842,0.974215492648672,0.970259144406362,0.940519367474249,0.00604510307312,0.0,0.00604510307312,0
EdnetGateway,0,2,DT,0.996951219512195,0.998220640569395,0.989583333333333,0.998220640569395,0.993845576508115,0.987691383968778,0.006056785583496,0.00099778175354,0.007054567337036,0
EdnetGateway,0,3,DT,0.99390243902439,0.988391024279748,0.988391024279748,0.988391024279748,0.988391024279748,0.976782048559496,0.0071120262146,0.001004695892334,0.008116722106934,0
EdnetGateway,0,4,DT,0.990853658536585,0.994604316546763,0.971698113207547,0.994604316546763,0.982724415807862,0.965454290127791,0.005260229110718,0.0,0.005260229110718,0
EdnetGateway,0,5,DT,0.990853658536585,0.98753803327507,0.980906768837803,0.98753803327507,0.984183878485896,0.968368265397968,0.006253480911255,0.0,0.006253480911255,0
EdnetGateway,0,6,DT,0.972560975609756,0.94272030651341,0.961738261738262,0.94272030651341,0.951889698332763,0.903793508017208,0.006309747695923,0.0,0.006309747695923,0
EdnetGateway,0,7,DT,0.987767584097859,0.986677115987461,0.976010674540086,0.986677115987461,0.981228473019518,0.962459101084898,0.007978916168213,0.0,0.007978916168213,0
EdnetGateway,0,8,DT,0.990825688073394,0.980899884630176,0.987524366471735,0.980899884630176,0.984173590384771,0.96834769141419,0.005983591079712,0.0,0.005983591079712,0
EdnetGateway,0,9,DT,0.984709480122324,0.980811871055774,0.952778670093158,0.980811871055774,0.966194562183397,0.932401703394385,0.009115934371948,0.0,0.009115934371948,0
EdnetGateway,0,10,DT,0.99388379204893,0.990815638692282,0.990815638692282,0.990815638692282,0.990815638692282,0.981631277384564,0.005262613296509,0.001038551330566,0.006301164627075,0
