Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
HomeMaticPlug,0,1,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.007104158401489,0.0,0.007104158401489,0
HomeMaticPlug,0,2,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.005400657653809,0.001018524169922,0.00641918182373,0
HomeMaticPlug,0,3,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.006078004837036,0.0,0.006078004837036,0
HomeMaticPlug,0,4,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.004243612289429,0.001080989837646,0.005324602127075,0
HomeMaticPlug,0,5,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.004525899887085,0.001037359237671,0.005563259124756,0
HomeMaticPlug,0,6,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.005072355270386,0.0,0.005072355270386,0
HomeMaticPlug,0,7,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.005311727523804,0.0,0.005311727523804,0
HomeMaticPlug,0,8,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.00521993637085,0.001037120819092,0.006257057189941,0
HomeMaticPlug,0,9,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.00643515586853,0.0,0.00643515586853,0
HomeMaticPlug,0,10,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.006431818008423,0.0,0.006431818008423,0
