Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
MAXGateway,0,1,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.00908374786377,0.0,0.00908374786377,0
MAXGateway,0,2,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.010959148406982,0.0,0.010959148406982,0
MAXGateway,0,3,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.010183095932007,0.0,0.010183095932007,0
MAXGateway,0,4,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.009945392608643,0.001039505004883,0.010984897613525,0
MAXGateway,0,5,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.008350849151611,0.0,0.008350849151611,0
MAXGateway,0,6,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.008480072021484,0.0,0.008480072021484,0
MAXGateway,0,7,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.00948166847229,0.0,0.00948166847229,0
MAXGateway,0,8,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.00851845741272,0.001048803329468,0.009567260742188,0
MAXGateway,0,9,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.007893800735474,0.001000165939331,0.008893966674805,0
MAXGateway,0,10,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.008483171463013,0.0,0.008483171463013,0
