Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
TP-LinkPlugHS110,0,1,DT,0.99025974025974,0.979841897233202,0.986803732866725,0.979841897233202,0.983279952228435,0.96656050955414,0.012376308441162,0.0,0.012376308441162,0
TP-LinkPlugHS110,0,2,DT,0.977272727272727,0.971936758893281,0.952896551724138,0.971936758893281,0.962068298175548,0.924148606811146,0.01146411895752,0.001037836074829,0.012501955032349,0
TP-LinkPlugHS110,0,3,DT,0.980456026058632,0.970144189991518,0.953600654664484,0.970144189991518,0.961644177911044,0.923294744732239,0.011431932449341,0.0,0.011431932449341,0
TP-LinkPlugHS110,0,4,DT,0.977198697068404,0.942468159859464,0.978168011390603,0.942468159859464,0.959170102407235,0.918378973755175,0.012479543685913,0.0,0.012479543685913,0
TP-LinkPlugHS110,0,5,DT,0.980456026058632,0.970144189991518,0.953600654664484,0.970144189991518,0.961644177911044,0.923294744732239,0.014015913009644,0.0,0.014015913009644,0
TP-LinkPlugHS110,0,6,DT,0.973941368078176,0.965944574551132,0.955340114431024,0.965944574551132,0.960519547325103,0.921044171542468,0.010970115661621,0.00099778175354,0.011967897415161,0
TP-LinkPlugHS110,0,7,DT,0.980456026058632,0.980580693815988,0.953365110984633,0.980580693815988,0.966293368467281,0.932606468608225,0.012090921401978,0.0,0.012090921401978,0
TP-LinkPlugHS110,0,8,DT,0.98371335504886,0.975226563660674,0.968269653052262,0.975226563660674,0.971704547549264,0.943410138248848,0.012390375137329,0.0,0.012390375137329,0
TP-LinkPlugHS110,0,9,DT,0.98371335504886,0.96938202247191,0.959655235650101,0.96938202247191,0.964445370949436,0.928892388937787,0.013179302215576,0.0,0.013179302215576,0
TP-LinkPlugHS110,0,10,DT,0.990228013029316,0.978054474708171,0.985919949375099,0.978054474708171,0.981935863489262,0.963872435570549,0.011377811431885,0.000997543334961,0.012375354766846,0
