Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
WeMoInsightSwitch,0,1,DT,0.965,0.9326932468598,0.943,0.9326932468598,0.937744267284612,0.875494071146245,0.026247024536133,0.0,0.026247024536133,0
WeMoInsightSwitch,0,2,DT,0.98,0.949661281917666,0.97433980518481,0.949661281917666,0.961485792536802,0.922986415659429,0.025193452835083,0.0,0.025193452835083,0
WeMoInsightSwitch,0,3,DT,0.97,0.955555555555556,0.942412974831368,0.955555555555556,0.948816136186992,0.897640034119989,0.025207996368408,0.0,0.025207996368408,0
WeMoInsightSwitch,0,4,DT,0.975,0.951972843987363,0.947709517045455,0.951972843987363,0.949825783972125,0.8996521273749,0.026075601577759,0.0,0.026075601577759,0
WeMoInsightSwitch,0,5,DT,0.955,0.922218284904323,0.918960364126507,0.922218284904323,0.920578502267435,0.84115778326862,0.034209966659546,0.001314163208008,0.035524129867554,0
WeMoInsightSwitch,0,6,DT,0.973333333333333,0.951215545979348,0.951215545979348,0.951215545979348,0.951215545979348,0.902431091958696,0.027347087860107,0.001039266586304,0.028386354446411,0
WeMoInsightSwitch,0,7,DT,0.951666666666667,0.921404682274247,0.924159304645198,0.921404682274247,0.922773410974164,0.845547507456327,0.029317617416382,0.001037120819092,0.030354738235474,0
WeMoInsightSwitch,0,8,DT,0.968333333333333,0.94194424757855,0.945425504474295,0.94194424757855,0.943673384686078,0.887347325981264,0.025233745574951,0.0,0.025233745574951,0
WeMoInsightSwitch,0,9,DT,0.968333333333333,0.939653466435058,0.93562091503268,0.939653466435058,0.937622770971607,0.875246224556796,0.026022911071777,0.0,0.026022911071777,0
WeMoInsightSwitch,0,10,DT,0.971666666666667,0.943952279707064,0.954666424726305,0.943952279707064,0.949202934277561,0.898410421895542,0.030392408370972,0.0,0.030392408370972,0
