Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
WeMoLink,0,1,DT,0.98,0.957506203473946,0.972,0.957506203473946,0.964564138908576,0.929133858267717,0.035712957382202,0.0,0.035712957382202,0
WeMoLink,0,2,DT,0.978333333333333,0.967231492688347,0.956498138957816,0.967231492688347,0.961760019610246,0.923523413601067,0.035053730010986,0.001039266586304,0.03609299659729,0
WeMoLink,0,3,DT,0.975,0.959821428571429,0.948557430593359,0.959821428571429,0.954075774971297,0.908155767817781,0.036472082138062,0.0,0.036472082138062,0
WeMoLink,0,4,DT,0.966666666666667,0.952320482549257,0.932152944967868,0.952320482549257,0.941842431761787,0.883705153799934,0.03650426864624,0.0,0.03650426864624,0
WeMoLink,0,5,DT,0.951666666666667,0.911670896494958,0.936245025531064,0.911670896494958,0.923271965604674,0.846598723419262,0.040935039520264,0.0,0.040935039520264,0
WeMoLink,0,6,DT,0.976666666666667,0.958096590909091,0.949673202614379,0.958096590909091,0.953824842234878,0.907651715039578,0.038542985916138,0.0,0.038542985916138,0
WeMoLink,0,7,DT,0.985,0.978571867762497,0.967,0.978571867762497,0.972670820027228,0.945344129554656,0.036591529846191,0.0,0.036591529846191,0
WeMoLink,0,8,DT,0.968333333333333,0.930374458541305,0.942787982987965,0.930374458541305,0.936445993031359,0.872898363287696,0.036548137664795,0.0,0.036548137664795,0
WeMoLink,0,9,DT,0.965,0.933917391657858,0.937519214609252,0.933917391657858,0.935706084959816,0.871412826060334,0.037654638290405,0.0,0.037654638290405,0
WeMoLink,0,10,DT,0.975,0.946882754342432,0.964767434827315,0.946882754342432,0.955531619489009,0.911074223381551,0.036132335662842,0.001029968261719,0.037162303924561,0
