Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
WeMoSwitch,0,1,DT,0.973333333333333,0.946649996925662,0.954247003647733,0.946649996925662,0.950396825396825,0.90079570114705,0.031912326812744,0.000997543334961,0.032909870147705,0
WeMoSwitch,0,2,DT,0.966666666666667,0.959077610801185,0.935885712313877,0.959077610801185,0.946912990391251,0.893856033399968,0.03215503692627,0.0,0.03215503692627,0
WeMoSwitch,0,3,DT,0.97,0.954642097802977,0.941028187304255,0.954642097802977,0.947658188585608,0.895324494068388,0.030278444290161,0.001007318496704,0.031285762786865,0
WeMoSwitch,0,4,DT,0.96,0.934955312810328,0.928635953026197,0.934955312810328,0.931754848249322,0.86351228389445,0.032046556472778,0.000958442687988,0.033004999160767,0
WeMoSwitch,0,5,DT,0.955,0.931059718969555,0.922411474675034,0.931059718969555,0.926654019767194,0.85331401666063,0.030190467834473,0.00099778175354,0.031188249588013,0
WeMoSwitch,0,6,DT,0.968333333333333,0.947003647733194,0.935909423530368,0.947003647733194,0.941343239808388,0.882691911916032,0.03291130065918,0.0,0.03291130065918,0
WeMoSwitch,0,7,DT,0.963333333333333,0.950636557532048,0.913203895239823,0.950636557532048,0.930619796484736,0.861312488180042,0.036497354507446,0.0,0.036497354507446,0
WeMoSwitch,0,8,DT,0.975,0.952609931651848,0.956317586795674,0.952609931651848,0.954451366712047,0.908903194461314,0.036162614822388,0.000997543334961,0.037160158157349,0
WeMoSwitch,0,9,DT,0.966666666666667,0.937467430953622,0.937467430953622,0.937467430953622,0.937467430953622,0.874934861907243,0.030546188354492,0.0,0.030546188354492,0
WeMoSwitch,0,10,DT,0.968333333333333,0.945694967476892,0.934184471078687,0.945694967476892,0.939819776066219,0.87964527027027,0.030341148376465,0.0,0.030341148376465,0
