,Random_Forest,Extra_Trees,RFE,Chi_Square,Lasso,Mutual_Info
pck_size,0.0712875480962353,0.061163513282436056,,3548.598833664588,0.0,0.27530392318316643
Ether_type,0.0017057581311752004,0.0010062173538332429,,78866.38893726435,0.0,0.0
LLC_dsap,0.0,0.0,,,0.0,0.0013193234786446073
LLC_ssap,4.923392955833222e-06,6.457219425492201e-06,,2.7999999999999994,0.0,0.0
LLC_ctrl,1.4759194864044097e-05,5.852831932492241e-05,,489.99999999999994,0.0,0.0
EAPOL_version,0.00015301520754620543,0.00011664018113750183,,1.176470588235293,0.0,0.0
EAPOL_type,0.00015550077646039266,0.00026163145178469994,,2.4,0.0,0.0
EAPOL_len,0.000402044587999293,0.000377755441905243,,84.79999999999987,0.0,0.0
IP_version,0.0020228267111520944,0.0017706265455485384,,1.180952380952381,0.0,0.0006456050417296133
IP_ihl,0.004218715628985224,0.0026385246522849393,,3.976658852308633,0.0,0.014795911377738058
IP_tos,0.005623180372475101,0.005665351038007673,,22489.702886539017,0.0,0.015218849834346404
IP_len,0.06059587447745295,0.06233846360634703,,3359.6077266092525,0.0,0.27716869173450864
IP_flags,0.00662329193584657,0.015564902944858043,,3.2289967114752547,0.0,0.0072795376402661205
IP_Z,0.0,0.0,,,0.0,0.004162150142929866
IP_MF,0.0,0.0,,,0.0,0.0
IP_id,0.07278551378954132,0.03661260361425395,,9957456.012305554,0.0,0.16323414585363238
IP_DF,0.009512096110591499,0.02576530044175609,,6.945414687614198,0.0,0.013296030111984214
IP_frag,0.0,0.0,,,0.0,0.0034155565341493777
IP_ttl,0.018666672502677565,0.04391666103655677,,22845.38474727385,0.0,0.11627682741658485
IP_proto,0.011101736032268801,0.025075971359555534,,2527.6378131791184,0.0,0.09252430491407226
IP_options,0.002912768180646575,0.004203126361892685,,130.43478260869566,0.0,0.007315042621187651
ICMP_type,0.0001734527664856326,0.0006052527717601774,,32.599999999999994,0.0,0.0
ICMP_code,2.1382960360422882e-05,6.394551859981474e-07,,1.3999999999999997,0.0,0.0
ICMP_chksum,0.00013085917315455739,0.0002085062456589138,,134668.8,0.0,0.004583150674833059
ICMP_id,0.00020396494297541268,0.0001184026841601049,,62751.799999999996,0.0,0.0
ICMP_seq,0.00013261839523397409,2.5763350566451696e-05,,4.8,0.0,0.002386597724166606
ICMP_ts_ori,0.0,0.0,,,0.0,0.0
ICMP_ts_rx,0.0,0.0,,,0.0,0.0
ICMP_ts_tx,0.0,0.0,,,0.0,0.0
ICMP_ptr,0.0,0.0,,,0.0,0.0
ICMP_reserved,0.0,0.0,,,0.0,0.0
ICMP_length,0.0,0.0,,,0.0,0.0023479112303739225
ICMP_nexthopmtu,0.0,0.0,,,0.0,0.0
TCP_seq,0.02517707552232605,0.023030917102642393,,692595175413.4393,0.0,0.14884416786808785
TCP_ack,0.020491072602417865,0.018243035875368685,,682548788364.7635,0.0,0.11228909504737694
TCP_dataofs,0.015876710347930426,0.028459882393097973,,2353.070077405085,0.0,0.10581779949051695
TCP_reserved,0.0,0.0,,,0.0,0.0
TCP_flags,0.014467498697991361,0.01405545937000459,,834.367467354506,0.0,0.09113532313527073
TCP_FIN,0.0014226944564870872,0.0031238031067541486,,41.81416893732968,0.0,0.009062264779679419
TCP_SYN,0.0010959044763856137,0.002424469729791362,,63.24423440453684,0.0,0.008430234235898393
TCP_RST,0.00045209535080816427,0.0006346207758925901,,20.799999999999997,0.0,0.004378122403638995
TCP_PSH,0.0011892412094652602,0.002722950746575706,,95.4899135446686,0.0,0.0036347069139086585
TCP_ACK,0.00040144528084969447,0.011348406673936785,,319.5843786982247,0.0,0.06310011199692589
TCP_URG,0.0,0.0,,,0.0,0.0
TCP_ECE,0.0,0.0,,,0.0,0.006595177831115073
TCP_CWR,0.0,0.0,,,0.0,0.0
TCP_window,0.02933513566569455,0.025987485852339256,,4474274.637221692,0.0,0.14812515702606777
