,0
TCP_seq,138519035082.72726
TCP_ack,136509757672.98291
BOOTP_xid,2844713087.949512
UDP_chksum,4608541.479194691
TCP_chksum,2425439.746458725
IP_id,1991491.2569875636
TCP_dport,1680932.6270314897
TCP_sport,1238039.8119909281
UDP_dport,1028373.7941293791
TCP_window,894854.9681338941
dport_bare,774042.917131412
sport_bare,733477.4502445847
DNS_id,66039.92307479467
UDP_sport,48996.48068393738
ICMP_chksum,26933.760984503217
UDP_len,20859.346433342653
Ether_type,15773.278329847966
ICMP_id,12550.360064473523
IP_ttl,4569.112721486961
IP_tos,4497.945878784053
pck_size,709.8013177298299
IP_len,672.0015659278141
IP_proto,505.55330303828487
TCP_dataofs,470.6440463594633
payload_bytes,390.3321395138099
DNS_ancount,298.6888965652755
entropy,195.46210313914023
TCP_flags,166.89742512714184
LLC_ctrl,98.00001465750282
DNS_qr,94.78104111922777
DNS_aa,92.81391896711749
TCP_options,74.07470752106465
TCP_ACK,63.931845732435285
DNS_qdcount,49.84769374286441
Protocol,37.535961860697924
IP_options,26.089842709171883
DNS_nscount,23.139106217118
TCP_PSH,19.099492088707713
sport_class,18.653931109918517
EAPOL_len,16.960155960005956
DNS_arcount,14.2853752118507
TCP_SYN,12.651237002595781
BOOTP_secs,10.613257802950445
TCP_FIN,8.36555553993452
ICMP_type,6.520155741107648
BOOTP_hlen,5.22093404959422
TCP_RST,4.161092967706067
DNS_rd,3.5459084960545546
dport_class,2.6459959296303017
DHCP_options,2.230283014094728
IP_DF,1.398797622855706
BOOTP_op,1.2152543182280382
ICMP_seq,0.9605089958939933
BOOTP_file,0.8719368103686087
BOOTP_htype,0.8714627976697805
BOOTP_sname,0.8702896671285154
BOOTP_options,0.8702254699960417
IP_ihl,0.7996624007935282
IP_flags,0.6516928887992451
LLC_ssap,0.5600022761224761
EAPOL_type,0.48008342644564894
ICMP_code,0.28000440448310926
IP_version,0.23707828785016222
EAPOL_version,0.23534804872479534
BOOTP_flags,0.005968460364158605
TCP_urgptr,0.002384346430578499
TCP_ECE,0.0016487944577787683
IP_Z,0.0010405375357324664
IP_frag,0.0008538891335373444
DNS_cd,0.0007561930359082925
ICMP_length,0.0005869778075934806
DNS_rcode,0.0005277991107957569
LLC_dsap,0.0003298308696611518
DNS_opcode,0.0002253904108312499
DNS_length,7.305337821345015e-05
ICMP_nexthopmtu,0.0
IP_MF,0.0
DNS_ad,0.0
DNS_z,0.0
DNS_ra,0.0
DNS_tc,0.0
TCP_reserved,0.0
BOOTP_hops,0.0
ICMP_ts_ori,0.0
ICMP_ts_rx,0.0
ICMP_ts_tx,0.0
ICMP_ptr,0.0
TCP_URG,0.0
ICMP_reserved,0.0
TCP_CWR,0.0
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
