,Random_Forest,Extra_Trees,RFE,Chi_Square,Lasso,Mutual_Info
pck_size,0.05245978420388839,0.05030828947212763,,10486.702095785298,0.0,0.346449862167852
Ether_type,0.001480428346319446,0.001234662759598859,,67672.26881364301,0.0,0.002503150100280793
LLC_dsap,0.0,0.0,,,0.0,0.0
LLC_ssap,8.346721692836793e-05,0.00015062159608860123,,0.40000000000000013,0.0,0.0
LLC_ctrl,0.0002063659352632287,0.00011595336256391322,,70.00000000000004,0.0,0.0
EAPOL_version,0.001264620626759754,0.0012317742105822198,,26.938823529411778,0.0,0.01454478979227214
EAPOL_type,0.0005846040607090455,0.001522830562688278,,91.26666666666667,0.0,0.006528000863565309
EAPOL_len,0.0013253555252800914,0.002213507958510993,,3194.4144100243648,0.0,0.0
IP_version,0.0007197770813718455,0.001788366353656128,,0.8129006248740017,0.0,0.009111470107041386
IP_ihl,0.0063704189935094545,0.005208535671392745,,0.33298127700432073,0.0,0.02013449357617403
IP_tos,0.005401738914517129,0.014288407636313515,,62272.8,0.0,0.016094622069016795
IP_len,0.049776648071864014,0.05076482455264854,,11275.41439097458,0.0,0.34214361874204435
IP_flags,0.004808745127218457,0.009523982968825204,,0.0013612850530897455,0.0,0.011227128424418975
IP_Z,0.0,0.0,,,0.0,0.0
IP_MF,0.0,0.0,,,0.0,0.0
IP_id,0.06838002762250461,0.02044967344862688,,19135336.8,0.0,0.19348736711971237
IP_DF,0.0049677077121735,0.012907163147455549,,0.1604916972180325,0.0,0.0
IP_frag,0.0,0.0,,,0.0,0.0
IP_ttl,0.05582782200095372,0.04371328420985455,,0.1609890219362037,0.0,0.13241542744300672
IP_proto,0.004774824996883425,0.024289007741009637,,2158.4454913507548,0.0,0.17273068925981971
IP_options,0.0046228426775684036,0.013558933534817498,,327.20523560209426,0.0,0.022658198611450242
ICMP_type,0.0003457887074006896,0.0008518249077572401,,32.599999999999994,0.0,0.0
ICMP_code,3.209333215768603e-07,1.2515692580276491e-05,,0.19999999999999998,0.0,0.003238426401549921
ICMP_chksum,0.0002716629153386449,0.0001401178765786729,,119103.99999999999,0.0,0.008371507264415934
ICMP_id,0.000261446602936433,0.00016438711698990276,,69604.99999999999,0.0,0.003602269860672136
ICMP_seq,0.00018608540306015004,0.00045390516749534626,,5.599999999999999,0.0,0.0
ICMP_ts_ori,0.0,0.0,,,0.0,0.0
ICMP_ts_rx,0.0,0.0,,,0.0,0.0
ICMP_ts_tx,0.0,0.0,,,0.0,0.0
ICMP_ptr,0.0,0.0,,,0.0,0.0
ICMP_reserved,0.0,0.0,,,0.0,0.0
ICMP_length,0.0,0.0,,,0.0,0.0
ICMP_nexthopmtu,0.0,0.0,,,0.0,0.003147337795145644
TCP_seq,0.006231006408445823,0.010718747585461754,,1239822321866.1997,0.0,0.1724841574284799
TCP_ack,0.013128541192484022,0.007670797142317684,,1138488773191.3997,0.0,0.13711015211625321
