,Random_Forest,Extra_Trees,RFE,Chi_Square,Lasso,Mutual_Info
pck_size,0.026950840712010482,0.024347006512441004,,434.4730712860261,0.0,0.1375260248555692
Ether_type,5.035092873830859e-05,3.343852960490105e-05,,143269.8395450173,0.0,0.009284327116408697
LLC_dsap,0.0,0.0,,,0.0,0.0038083357147384866
LLC_ssap,0.0,0.0,,1.8,0.0,0.0
LLC_ctrl,0.0,4.4410927717700875e-06,,315.0,0.0,0.0
EAPOL_version,0.0,0.0,,9.6,0.0,0.00035660832291450895
EAPOL_type,0.0,0.0,,27.6,0.0,0.007483768053498707
EAPOL_len,0.0,4.5260359644834804e-05,,988.3999999999996,0.0,0.0023114948888072195
IP_version,1.0972385511546432e-05,9.876525491235517e-05,,1.7043478260869773,0.0,0.0036912486175153525
IP_ihl,0.00016410545672135833,3.917766986117522e-05,,1.4076360682372056,0.0,0.0029593862881234223
IP_tos,3.8421982690566206e-06,2.8903232679820084e-05,,4239.999999999999,0.0,0.004601679280936244
IP_len,0.02435109237999444,0.023148273295495833,,621.8500050257157,0.0,0.1467618399153947
IP_flags,0.0007922409303330553,0.0027615617602006594,,3.9988512349224767,0.0,0.017142039556021782
IP_Z,0.0,0.0,,,0.0,0.0
IP_MF,0.0,0.0,,,0.0,0.0
IP_id,0.032754546150866495,0.034160655954196824,,2012109.454510994,0.0,0.32189086344714335
IP_DF,0.0015146546801498427,0.002984200321621398,,8.275407461064857,0.0,0.023168853442955273
IP_frag,0.0,0.0,,,0.0,0.0013919135270876737
IP_ttl,0.005394638767863671,0.00727251240212805,,6049.490129329948,0.0,0.046799337024251875
IP_proto,0.0015664607623984265,0.009032720949234596,,633.0702807357212,0.0,0.05090716338441448
IP_options,3.945834508437771e-05,0.00018355234828708742,,20.799999999999997,0.0,0.006893651733248518
ICMP_type,0.0,2.1080091634538972e-07,,41.19999999999999,0.0,0.0
ICMP_code,0.0,0.0,,1.2,0.0,0.0006689805606707733
ICMP_chksum,2.509248013112334e-07,0.0,,136473.99999999997,0.0,0.0
ICMP_id,0.0,9.341292628901783e-06,,92499.79999999997,0.0,0.0
ICMP_seq,0.0,5.19295387434795e-08,,5.199999999999999,0.0,0.0
ICMP_ts_ori,0.0,0.0,,,0.0,0.0
ICMP_ts_rx,0.0,0.0,,,0.0,0.0
ICMP_ts_tx,0.0,0.0,,,0.0,0.006744773672115345
ICMP_ptr,0.0,0.0,,,0.0,0.003584688575555939
ICMP_reserved,0.0,0.0,,,0.0,0.0
ICMP_length,0.0,0.0,,,0.0,0.0034944575081756746
ICMP_nexthopmtu,0.0,0.0,,,0.0,0.0030937991274175847
TCP_seq,0.04062125547698359,0.035482390305168414,,203785771161.27112,0.0,0.3937635974361805
TCP_ack,0.029159580791893496,0.02965041759201202,,25960256501.529694,0.0,0.31547645379289047
TCP_dataofs,0.018831249598179996,0.030953711313693285,,148.76953381483946,0.0,0.08295405838165082
TCP_reserved,0.0,0.0,,,0.0,0.0
TCP_flags,0.01578863621421876,0.01379927267089839,,332.692440727895,0.0,0.07135871707739505
TCP_FIN,0.002439292671687923,0.004426201382683598,,13.66875,0.0,0.0
TCP_SYN,0.00374349176855793,0.0045105577650887945,,20.768712871287114,0.0,0.0
TCP_RST,0.0026820011201646402,0.0061043864490883904,,69.06315789473685,0.0,0.0018214279365951214
TCP_PSH,0.0050845333689912816,0.0045641393969595104,,9.84,0.0,0.004781182670972495
TCP_ACK,0.002442486968818541,0.00890738602681342,,83.92503176620086,0.0,0.025081324554213857
TCP_URG,0.0,0.0,,,0.0,0.0
TCP_ECE,0.0,0.0,,,0.0,0.002069317723274011
TCP_CWR,0.0,0.0,,,0.0,0.0
TCP_window,0.06511478659756763,0.06686552933922575,,523005.1577927929,0.0,0.260818703274887
TCP_chksum,0.02835596683257239,0.023917499149340653,,3068555.167183899,0.0,0.121954474945281
TCP_urgptr,0.0,0.0,,,0.0,0.0074503557454392855
TCP_options,0.0020356582625105212,0.01165013904858506,,101.54337568058081,0.0,0.04527272568054319
UDP_len,0.0038847137206629665,0.0020239502133848858,,47842.85845440429,0.0,0.038268164701823704
UDP_chksum,0.002727140623431192,0.00418840366229175,,7924419.835285696,0.0,0.041825707937018786
DHCP_options,7.660051145217033e-07,0.0,,39.199999999999996,0.0,0.0010372287241324774
BOOTP_op,5.2375275684036615e-06,4.490838908841086e-07,,19.2,0.0,0.009193710698843782
BOOTP_htype,1.4836489441248348e-07,0.0001569545070064333,,16.599999999999998,0.0,0.008025490122208545
