Variable_Name,Random_Forest,Chi_Square,Recursive_Feature_Elimination,L_One,Votes
pck_size,0.05911476517148202,29572.404494082035,4,0.0,1
Ether_type,0.0020412757895131744,81390.92805190803,33,0.0,0
LLC_dsap,0.0,,72,0.0,0
LLC_ssap,6.278538382118388e-05,0.9999999999999998,54,0.0,0
LLC_ctrl,0.00014047479493373364,174.99999999999994,53,0.0,0
EAPOL_version,0.000520575436871634,11.599999999999998,49,0.0,0
EAPOL_type,0.00035161960101382216,34.2,48,0.0,0
EAPOL_len,0.00047944613489706966,1210.6,44,0.0,0
IP_version,0.0006737298973308897,0.8117747732329139,46,0.0,0
IP_ihl,0.0010971531693639224,0.8256903252198814,41,0.0,0
IP_tos,0.0016819927969730828,467.522935779817,34,0.0,0
IP_len,0.04761004131627582,28219.808538590867,8,0.0,1
IP_flags,0.004456013481401236,0.36992437799457933,23,0.0,0
IP_Z,0.0,,65,0.0,0
IP_MF,0.0,,66,0.0,0
IP_id,0.05651617143939007,31299.538363137857,7,0.0,1
IP_DF,0.004537750534552853,2.391824817518261,25,0.0,0
IP_frag,0.0,,71,0.0,0
IP_ttl,0.011981590253802106,57.05342712121818,20,0.0,1
IP_proto,0.0018296100890725,1.2599464627150812,40,0.0,0
IP_options,0.0005057802926709904,2.3008403361344554,42,0.0,0
ICMP_type,1.8412256471681518e-05,24.6,60,0.0,0
ICMP_code,5.433350977058657e-09,0.19999999999999998,77,0.0,0
ICMP_chksum,5.8894552651350466e-05,95600.4,52,0.0,0
ICMP_id,9.104857366811007e-05,75335.59999999998,59,0.0,0
ICMP_seq,3.538462963394481e-05,2.7999999999999994,62,0.0,0
ICMP_ts_ori,0.0,,67,0.0,0
ICMP_ts_rx,0.0,,80,0.0,0
ICMP_ts_tx,0.0,,86,0.0,0
ICMP_ptr,0.0,,81,0.0,0
ICMP_reserved,0.0,,79,0.0,0
ICMP_length,0.0,,73,0.0,0
ICMP_nexthopmtu,0.0,,83,0.0,0
TCP_seq,0.04791658297103579,348576615.7119201,9,0.0,1
TCP_ack,0.037050525345278564,8699416686.104174,15,0.0,2
TCP_dataofs,0.011093764732476584,63.49369840396247,19,0.0,0
TCP_reserved,0.0,,85,0.0,0
TCP_flags,0.009861574034638892,0.3822077790189798,22,0.0,0
TCP_FIN,0.0019363604019012363,23.127792207792194,35,0.0,0
TCP_SYN,0.002663772724383581,25.676416819012783,30,0.0,0
TCP_RST,0.0014065164471087643,7.93858267716536,36,0.0,0
TCP_PSH,0.0034076616888128654,26.627559808612432,32,0.0,0
TCP_ACK,0.0038242088321973743,0.3137425312330227,28,0.0,0
TCP_URG,0.0,,88,0.0,0
TCP_ECE,0.0,,90,0.0,0
TCP_CWR,0.0,,89,0.0,0
TCP_window,0.109623028828708,56145.40666133011,3,0.0,1
TCP_chksum,0.04062793639712737,45821.68397317834,12,0.0,1
TCP_urgptr,0.0,,70,0.0,0
TCP_options,0.0022724378410328345,0.4320782396087988,38,0.0,0
UDP_len,0.02886520808454015,182.79385670388172,16,0.0,1
UDP_chksum,0.03304793074428403,14420.745445883013,14,0.0,1
DHCP_options,0.0001780486783676135,16.105882352941176,51,0.0,0
BOOTP_op,5.1048475071435556e-05,6.4222222222222225,64,0.0,0
BOOTP_htype,7.417644396786994e-05,5.4,58,0.0,0
BOOTP_hlen,5.779116579567096e-05,32.4,55,0.0,0
BOOTP_hops,0.0,,78,0.0,0
BOOTP_xid,0.0005910662990769838,15153923887.63493,43,0.0,1
BOOTP_secs,1.2586907390357906e-06,1.2,63,0.0,0
BOOTP_flags,0.0004024162695973707,0.18427518427518427,45,0.0,0
BOOTP_sname,2.8919670174198968e-05,5.4,56,0.0,0
BOOTP_file,3.211226594391114e-05,5.4,57,0.0,0
BOOTP_options,6.431931886729447e-05,5.4,61,0.0,0
DNS_length,0.0,,68,0.0,0
DNS_id,0.0023933737346870346,312618.4219187682,31,0.0,0
DNS_qr,0.0013572339601375793,1.2135922330097129,37,0.0,0
DNS_opcode,0.0,,74,0.0,0
DNS_aa,0.0011820804040531957,0.9712230215827338,39,0.0,0
DNS_tc,0.0,,76,0.0,0
DNS_rd,0.0005111938647444028,5.82362204724409,47,0.0,0
DNS_ra,0.0,,82,0.0,0
DNS_z,0.0,,84,0.0,0
DNS_ad,0.0,,75,0.0,0
DNS_cd,0.0,,87,0.0,0
DNS_rcode,0.0,,69,0.0,0
DNS_qdcount,0.00413748757662062,2.7405295315682325,26,0.0,0
DNS_ancount,0.005153852497958338,3.050071394574024,24,0.0,0
DNS_nscount,0.003264313059777146,12.168421052631587,29,0.0,0
DNS_arcount,0.00018459584616488986,2.5999999999999996,50,0.0,0
sport_class,0.013381971915623807,98.15229070084558,21,0.0,1
dport_class,0.02116062723746699,355.10615898684006,10,0.0,1
sport_bare,0.0750506140923098,6361054.290523229,1,0.0,2
dport_bare,0.035242962957702864,7438995.138403123,13,0.0,1
TCP_sport,0.056587436778790245,7158059.955645042,5,0.0,1
TCP_dport,0.022823992780851884,7913597.417436142,17,0.0,1
UDP_sport,0.016141866462237725,127022.42718229664,18,0.0,1
UDP_dport,0.005103608065882431,23701.057446178227,27,0.0,0
payload_bytes,0.10751820210554827,32336.132731653666,2,0.0,1
entropy,0.05077912464443121,76.77264382483907,6,0.0,1
Protocol,0.04914227463474201,60.81324137931055,11,0.0,1
