,0
BOOTP_xid,3030784777.5271864
TCP_ack,1739883337.2610364
TCP_seq,69715323.19316345
TCP_dport,1582719.507458038
dport_bare,1487799.05355623
TCP_sport,1431612.0563087456
sport_bare,1272210.9349675588
DNS_id,62523.686863675
UDP_sport,25404.49783476216
ICMP_chksum,19120.08002677747
Ether_type,16278.188749635005
ICMP_id,15067.123081823145
TCP_window,11229.15488335962
TCP_chksum,9164.353016592833
payload_bytes,6467.308174111395
IP_id,6259.959883652061
pck_size,5914.5241613070975
IP_len,5643.999814606921
UDP_dport,4740.21619864713
UDP_chksum,2884.1679107138343
EAPOL_len,242.1203358384467
IP_tos,93.50717813926138
dport_class,71.04062900484583
UDP_len,36.584854353919084
LLC_ctrl,35.000051540428
sport_class,19.640327217025465
entropy,15.391236819291972
TCP_dataofs,12.705423180860617
Protocol,12.186810756239705
IP_ttl,11.418226976474243
EAPOL_type,6.8413782233079825
BOOTP_hlen,6.4803207774770355
TCP_PSH,5.328513736956125
TCP_SYN,5.138328029712729
ICMP_type,4.920122701786205
TCP_FIN,4.626666828013954
DHCP_options,3.2224450641338676
DNS_nscount,2.435530802227021
EAPOL_version,2.320259716391342
TCP_RST,1.5883600439264194
BOOTP_op,1.2850924887908914
DNS_rd,1.1656954737129852
BOOTP_options,1.0816516876040203
BOOTP_htype,1.0807541782343175
BOOTP_sname,1.0800219091070462
BOOTP_file,1.0800172624782018
DNS_ancount,0.6121019237475356
ICMP_seq,0.5611553200002521
DNS_qdcount,0.5504473185007981
DNS_arcount,0.5203905022062612
IP_DF,0.4808547835505719
IP_options,0.4605670757436465
IP_proto,0.25386484766938494
DNS_qr,0.24331705518670912
BOOTP_secs,0.24025442148728232
LLC_ssap,0.20005548264205789
DNS_aa,0.19490073682853754
IP_ihl,0.16562705903152286
IP_version,0.16270500850558936
TCP_options,0.08783927724440671
TCP_flags,0.08258118965788289
IP_flags,0.07763654461813949
TCP_ACK,0.06448983968526766
ICMP_code,0.04000049417884401
BOOTP_flags,0.03836071611955035
TCP_urgptr,0.003042811109544852
LLC_dsap,0.0025100623805768274
DNS_rcode,0.001464514390704219
DNS_length,0.001310623044651682
DNS_ra,0.0011015967465983767
ICMP_reserved,0.0009875794500215362
TCP_reserved,0.0009691221363538061
DNS_tc,0.000714035539086666
DNS_opcode,0.0002874801505858282
ICMP_ptr,0.00025878872422030463
IP_Z,0.00021456081404791494
TCP_URG,0.0001199663542620355
DNS_cd,1.7016566635275066e-05
DNS_ad,0.0
DNS_z,0.0
IP_frag,0.0
BOOTP_hops,0.0
IP_MF,0.0
TCP_ECE,0.0
ICMP_ts_ori,0.0
ICMP_ts_rx,0.0
ICMP_ts_tx,0.0
ICMP_nexthopmtu,0.0
ICMP_length,0.0
TCP_CWR,0.0
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
