,0
TCP_seq,3105716668.749497
TCP_ack,538711204.9168916
BOOTP_xid,379715828.56162417
TCP_dport,2532314.364432798
TCP_sport,2437331.9459475493
dport_bare,2315627.0537021765
sport_bare,1738273.0234940336
TCP_window,109533.2296160083
UDP_chksum,80910.12607537428
DNS_id,52403.54236427004
ICMP_chksum,33765.40001782925
UDP_sport,30974.558494152538
IP_id,22510.879581803267
ICMP_id,17792.522076107045
Ether_type,13485.481628638057
payload_bytes,9392.572832951906
pck_size,8036.82122349757
IP_len,7883.642688165421
TCP_chksum,2876.7203866461246
UDP_dport,1663.8169593799416
UDP_len,874.5867679814944
IP_ttl,474.9628514152093
dport_class,96.59163170971104
DNS_nscount,76.13091300605768
DNS_ancount,71.99866090509111
IP_tos,64.60907762995386
EAPOL_len,63.52721915678469
sport_class,53.53024024959768
DNS_qdcount,31.159810177616244
entropy,28.90543272738815
TCP_dataofs,21.37945507873387
TCP_PSH,10.952277241169906
ICMP_type,7.720033612567272
TCP_FIN,7.220843636469025
TCP_SYN,6.962938653761599
DNS_qr,5.070752606618709
DNS_aa,4.908183201725526
IP_proto,4.190625812468749
LLC_ctrl,3.5007988648093464
EAPOL_type,1.8953045527835357
TCP_RST,1.1314367635934073
Protocol,0.9708071518980962
IP_DF,0.9137413003597604
ICMP_seq,0.8808792810749546
EAPOL_version,0.7200495993419238
DNS_rd,0.6773141865002074
DNS_arcount,0.4800747381572822
IP_flags,0.4246219590869459
BOOTP_secs,0.3200314418201205
ICMP_code,0.28000668680918234
TCP_flags,0.23653604710651394
IP_options,0.187707856921864
IP_ihl,0.16905586156212019
IP_version,0.1538290560082281
BOOTP_op,0.04014606516994902
BOOTP_hlen,0.025363175568157197
LLC_ssap,0.020004195800235502
DHCP_options,0.010780213498939257
TCP_ACK,0.007503579237835285
TCP_options,0.00673686285632519
BOOTP_htype,0.004656849595847277
BOOTP_options,0.004219928767926151
BOOTP_sname,0.004197533554780439
BOOTP_file,0.004186083778421781
BOOTP_flags,0.003427424130659469
ICMP_ts_ori,0.0017220794469461898
TCP_URG,0.0013224855225800192
DNS_tc,0.001256915919115087
TCP_CWR,0.001085677806188401
BOOTP_hops,0.000884095467157231
DNS_rcode,0.0008616316691452686
DNS_z,0.0005303631380079166
ICMP_ptr,0.00017156190146838668
DNS_ra,0.00016180524018205578
DNS_cd,0.00012646884275746562
TCP_urgptr,9.319333605289915e-05
ICMP_ts_rx,0.0
ICMP_length,0.0
LLC_dsap,0.0
TCP_ECE,0.0
TCP_reserved,0.0
ICMP_nexthopmtu,0.0
IP_frag,0.0
IP_Z,0.0
IP_MF,0.0
ICMP_reserved,0.0
DNS_length,0.0
ICMP_ts_tx,0.0
DNS_ad,0.0
DNS_opcode,0.0
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
