Variable_Name,Random_Forest,Chi_Square,Recursive_Feature_Elimination,L_One,Votes
pck_size,0.03918418333991786,36036.267100849895,6,0.0,1
Ether_type,0.00054837169045743,59477.131534415865,44,0.0,0
LLC_dsap,0.0,,67,0.0,0
LLC_ssap,0.00016692790892958994,1.2800000000000005,48,0.0,0
LLC_ctrl,0.00018510111785244253,224.0000000000001,46,0.0,0
EAPOL_version,0.00019729981893016062,3.042105263157894,51,0.0,0
EAPOL_type,0.00010578816956725611,7.898630136986302,59,0.0,0
EAPOL_len,0.00010583513380698777,239.46606794221006,47,0.0,0
IP_version,0.00020316815722178452,0.4923076923076923,49,0.0,0
IP_ihl,0.0006881518748677382,1.0947407836062524,37,0.0,0
IP_tos,0.0018750787857665153,2640.01559258095,34,0.0,0
IP_len,0.03694800407220614,35183.67835785141,12,0.0,1
IP_flags,0.004611973177504335,2.3089963598543943,25,0.0,0
IP_Z,0.0,,65,0.0,0
IP_MF,0.0,,74,0.0,0
IP_id,0.07216459889274374,35899.65236023089,5,0.0,1
IP_DF,0.006042055635881494,5.489059923034635,21,0.0,0
IP_frag,0.0,,70,0.0,0
IP_ttl,0.006825500566116762,734.7105930391983,27,0.0,0
IP_proto,0.0011340785792478924,0.001515610791147179,40,0.0,0
IP_options,0.0007691441885475443,16.064566929133868,42,0.0,0
ICMP_type,5.09481650920125e-05,26.799999999999997,62,0.0,0
ICMP_code,1.0967090375204084e-06,0.39999999999999997,66,0.0,0
ICMP_chksum,1.3273519599667774e-05,95760.4,58,0.0,0
ICMP_id,5.18921696380913e-06,66580.8,63,0.0,0
ICMP_seq,1.1867443660565063e-05,2.5999999999999996,82,0.0,0
ICMP_ts_ori,0.0,,71,0.0,0
ICMP_ts_rx,0.0,,78,0.0,0
ICMP_ts_tx,0.0,,83,0.0,0
ICMP_ptr,0.0,,79,0.0,0
ICMP_reserved,0.0,,77,0.0,0
ICMP_length,0.0,,86,0.0,0
ICMP_nexthopmtu,0.0,,87,0.0,0
TCP_seq,0.07065306834989109,1618124697.1719036,4,0.0,2
TCP_ack,0.061210762799664614,2257917809.408053,8,0.0,2
TCP_dataofs,0.007932933087639947,94.48787910588729,24,0.0,0
TCP_reserved,0.0,,69,0.0,0
TCP_flags,0.00726894325593574,0.004507128621799785,23,0.0,0
TCP_FIN,0.0016694593248037593,30.792991913746622,35,0.0,0
TCP_SYN,0.0014478089110822885,28.68148148148148,41,0.0,0
TCP_RST,0.0022781312098208548,19.439999999999998,31,0.0,0
TCP_PSH,0.0020643513909522774,46.15684803001875,38,0.0,0
TCP_ACK,0.0023298806853219614,0.0,36,0.0,0
TCP_URG,0.0,,88,0.0,0
TCP_ECE,0.0,,90,0.0,0
TCP_CWR,0.0,,89,0.0,0
TCP_window,0.05098975394745212,514472.9622715805,9,0.0,1
TCP_chksum,0.041323068522190615,5255.3568917791745,15,0.0,1
TCP_urgptr,0.0,,76,0.0,0
TCP_options,0.0008547740821411756,0.014296314617856881,45,0.0,0
UDP_len,0.018269236856371125,2346.8593354009786,17,0.0,1
UDP_chksum,0.04881806296002708,28149.40930309693,10,0.0,1
DHCP_options,0.0002391938787425274,5.355778894472359,50,0.0,0
BOOTP_op,0.00011988700375223218,1.875,54,0.0,0
BOOTP_htype,9.141778186552497e-05,0.9302325581395339,53,0.0,0
BOOTP_hlen,0.00020920525075306828,5.5813953488372094,61,0.0,0
BOOTP_hops,0.0,,68,0.0,0
BOOTP_xid,0.00153638116645833,9530150070.176294,32,0.0,1
BOOTP_secs,4.421828070187837e-05,3.0,56,0.0,0
BOOTP_flags,0.0011172824820067898,0.003953602352557344,39,0.0,0
BOOTP_sname,0.00013469399310116363,0.9302325581395339,55,0.0,0
BOOTP_file,9.692898623973715e-05,0.9302325581395339,52,0.0,0
BOOTP_options,0.00015588300794583954,0.9302325581395339,57,0.0,0
DNS_length,0.0,,64,0.0,0
DNS_id,0.006477303252826097,301908.52656106715,26,0.0,0
DNS_qr,0.002515517439098748,26.595744680851077,30,0.0,0
DNS_opcode,0.0,,73,0.0,0
DNS_aa,0.0024308794676394636,24.50376569037659,33,0.0,0
DNS_tc,0.0,,80,0.0,0
DNS_rd,0.0010278262366047715,12.90731707317073,43,0.0,0
DNS_ra,0.0,,75,0.0,0
DNS_z,0.0,,84,0.0,0
DNS_ad,0.0,,72,0.0,0
DNS_cd,0.0,,85,0.0,0
DNS_rcode,0.0,,81,0.0,0
DNS_qdcount,0.0036737275292617476,127.95678203928908,28,0.0,0
DNS_ancount,0.011899008650858712,452.3626321974148,18,0.0,1
DNS_nscount,0.008626336630495557,394.0137931034483,22,0.0,0
DNS_arcount,7.245108620901844e-05,3.1999999999999997,60,0.0,0
sport_class,0.017317375416487712,229.95875681047218,20,0.0,1
dport_class,0.024422556138634956,586.2863136863137,11,0.0,1
sport_bare,0.10317670156332416,9015941.179147212,1,0.0,2
dport_bare,0.028651806133035144,11669628.120544417,13,0.0,1
TCP_sport,0.09729521032648883,12645276.050241634,2,0.0,1
TCP_dport,0.026262298546742086,12570166.535864212,16,0.0,1
UDP_sport,0.01075629886053854,109820.2670462434,19,0.0,0
UDP_dport,0.002847919694452125,30695.35094035087,29,0.0,0
payload_bytes,0.04274124672309651,41681.21774033235,7,0.0,1
entropy,0.07451956296723256,131.98924877526244,3,0.0,1
Protocol,0.04259300995819206,1.9125660155922541,14,0.0,1
