Variable_Name,Random_Forest,Chi_Square,Recursive_Feature_Elimination,L_One,Votes
pck_size,0.049782387839839216,46169.24792485294,9,0.0,1
Ether_type,0.0004685902850155411,42598.39405173279,44,0.0,0
LLC_dsap,0.0,,67,0.0,0
LLC_ssap,5.458198388272855e-05,0.09999999999999994,53,0.0,0
LLC_ctrl,4.507450724787771e-05,17.499999999999982,54,0.0,0
EAPOL_version,0.00011790038020333746,1.2782608695652176,51,0.0,0
EAPOL_type,7.467636029892932e-05,2.667692307692308,49,0.0,0
EAPOL_len,0.0001867382245097922,101.35326539400015,47,0.0,0
IP_version,0.0002887758521432479,0.4918032786885246,48,0.0,0
IP_ihl,0.0015627623802490149,1.0778715296679664,34,0.0,0
IP_tos,0.001494721828362263,3009.831800072439,31,0.0,0
IP_len,0.04588621525643927,45612.47761283377,4,0.0,1
IP_flags,0.003853084990070661,2.671450840020815,28,0.0,0
IP_Z,0.0,,65,0.0,0
IP_MF,0.0,,66,0.0,0
IP_id,0.06057191859496647,898010.1012059298,7,0.0,1
IP_DF,0.004559456748117784,6.486404391582821,26,0.0,0
IP_frag,0.0,,68,0.0,0
IP_ttl,0.005324473168943571,10.168172861316844,21,0.0,0
IP_proto,0.0019210864016908401,64.43102647468649,40,0.0,0
IP_options,0.0011977262419936973,17.15000000000001,41,0.0,0
ICMP_type,4.498108331024384e-05,31.999999999999993,63,0.0,0
ICMP_code,0.0,0.39999999999999997,76,0.0,0
ICMP_chksum,3.347061455273766e-05,156527.4,61,0.0,0
ICMP_id,4.393687872640152e-05,77446.59999999999,56,0.0,0
ICMP_seq,1.3265256734035758e-06,3.3999999999999995,64,0.0,0
ICMP_ts_ori,0.0,,78,0.0,0
ICMP_ts_rx,0.0,,69,0.0,0
ICMP_ts_tx,0.0,,74,0.0,0
ICMP_ptr,0.0,,85,0.0,0
ICMP_reserved,0.0,,73,0.0,0
ICMP_length,0.0,,81,0.0,0
ICMP_nexthopmtu,0.0,,83,0.0,0
TCP_seq,0.08464697407151439,2331406896.1293607,5,0.0,2
TCP_ack,0.050064648712490875,35124155872.44511,11,0.0,2
TCP_dataofs,0.010955825622563288,19.26966876539818,18,0.0,0
TCP_reserved,0.0,,86,0.0,0
TCP_flags,0.008703805748978064,12.171813700834996,20,0.0,0
TCP_FIN,0.0019331851793808362,34.734453781512606,33,0.0,0
TCP_SYN,0.0018559298905787601,34.554085603112824,39,0.0,0
TCP_RST,0.0014146324519651455,13.066666666666666,36,0.0,0
TCP_PSH,0.0017111441042268185,34.24165898617509,32,0.0,0
TCP_ACK,0.002999963848497514,8.96219640971492,29,0.0,0
TCP_URG,0.0,,88,0.0,0
TCP_ECE,0.0,,90,0.0,0
TCP_CWR,0.0,,89,0.0,0
TCP_window,0.10141107262768251,501314.42002416804,3,0.0,1
TCP_chksum,0.04489609115485215,61795.09134453253,13,0.0,1
TCP_urgptr,0.0,,72,0.0,0
TCP_options,0.0007355003303986594,6.288099808061433,42,0.0,0
UDP_len,0.022571561748862816,829.5311360783877,17,0.0,1
UDP_chksum,0.025588424733835394,79826.09465334188,12,0.0,1
DHCP_options,0.0001777329800009486,17.95599999999999,50,0.0,0
BOOTP_op,4.127385834200873e-05,10.16470588235294,57,0.0,0
BOOTP_htype,8.600547179500046e-06,8.89473684210526,60,0.0,0
BOOTP_hlen,1.9000445946412875e-05,53.368421052631575,58,0.0,0
BOOTP_hops,0.0,,71,0.0,0
BOOTP_xid,0.0004806393439091299,19797199995.35505,43,0.0,1
BOOTP_secs,0.0010132994602244224,14.52,37,0.0,0
BOOTP_flags,0.0003003611294484426,0.17378118375998317,46,0.0,0
BOOTP_sname,5.828694985349585e-05,8.89473684210526,62,0.0,0
BOOTP_file,5.586610162440724e-05,8.89473684210526,55,0.0,0
BOOTP_options,5.669702623882716e-05,8.89473684210526,59,0.0,0
DNS_length,0.0,,70,0.0,0
DNS_id,0.0033057410948892298,291372.0417985629,27,0.0,0
DNS_qr,0.001848268777536824,4.764050632911397,35,0.0,0
DNS_opcode,0.0,,77,0.0,0
DNS_aa,0.001620441985977443,4.1301745635910265,38,0.0,0
DNS_tc,0.0,,80,0.0,0
DNS_rd,0.000788049926944491,0.03873517786561241,45,0.0,0
DNS_ra,0.0,,75,0.0,0
DNS_z,0.0,,87,0.0,0
DNS_ad,0.0,,82,0.0,0
DNS_cd,0.0,,84,0.0,0
DNS_rcode,0.0,,79,0.0,0
DNS_qdcount,0.005334201032351649,23.506293706293732,25,0.0,0
DNS_ancount,0.00846133326638514,87.90602409638558,22,0.0,0
DNS_nscount,0.006833800353138567,152.17070789259566,24,0.0,0
DNS_arcount,0.00013992819664587373,3.1999999999999997,52,0.0,0
sport_class,0.013307700597104882,256.7002843601899,19,0.0,1
dport_class,0.02789317736411673,523.8222688370525,10,0.0,1
sport_bare,0.08695872651182343,9545615.368938027,1,0.0,2
dport_bare,0.032055572900335914,11756442.890882049,14,0.0,1
TCP_sport,0.0929386433372143,15710813.59966737,2,0.0,1
TCP_dport,0.03325491105134199,12220745.258795023,16,0.0,1
UDP_sport,0.009001609761125977,1028943.340697459,23,0.0,0
UDP_dport,0.0023352487640564794,113886.17754643493,30,0.0,0
payload_bytes,0.05683368594479526,55210.516884986326,6,0.0,1
entropy,0.0449543919292178,221.93646248705164,8,0.0,1
Protocol,0.03292016299016617,4.571629072681704,15,0.0,1
