Variable_Name,Random_Forest,Chi_Square,Recursive_Feature_Elimination,L_One,Votes
pck_size,0.0649693567436931,718.2238486374358,4,0.0,1
Ether_type,0.0029000300242952395,221596.23983241807,28,0.0,0
LLC_dsap,0.0,,67,0.0,0
LLC_ssap,0.0005358037118431254,9.800000000000002,41,0.0,0
LLC_ctrl,0.0008814609537679659,1715.0000000000005,45,0.0,0
EAPOL_version,0.002760425123797177,47.24719101123597,33,0.0,0
EAPOL_type,0.0010295850969180402,152.8186046511628,49,0.0,0
EAPOL_len,0.0012113186097775833,5360.778566761055,36,0.0,0
IP_version,0.00043330964162396825,3.281860465116279,50,0.0,0
IP_ihl,0.00261103879318804,1.9629850439430296,40,0.0,0
IP_tos,0.0031206093329215227,13064.293374422192,37,0.0,0
IP_len,0.0695405649793921,1103.1789618350927,6,0.0,1
IP_flags,0.0036448149046843493,0.7911587758304995,34,0.0,0
IP_Z,0.0,,59,0.0,0
IP_MF,0.0,,60,0.0,0
IP_id,0.06051649595414244,14872272.6,7,0.0,1
IP_DF,0.003910680368408768,0.42014987510408,30,0.0,0
IP_frag,0.0,,68,0.0,0
IP_ttl,0.1061896242272203,3484.446275085941,3,0.0,1
IP_proto,0.01136244943287886,2242.6298244700256,20,0.0,1
IP_options,0.0011869631533803862,69.62429906542059,35,0.0,0
ICMP_type,0.00019877874465031674,25.599999999999998,54,0.0,0
ICMP_code,0.0,,78,0.0,0
ICMP_chksum,0.0005230405644803151,111576.19999999997,51,0.0,0
ICMP_id,0.00022887342413514865,68168.4,53,0.0,0
ICMP_seq,0.00018434327352873293,3.1999999999999997,56,0.0,0
ICMP_ts_ori,0.0,,82,0.0,0
ICMP_ts_rx,0.0,,70,0.0,0
ICMP_ts_tx,0.0,,75,0.0,0
ICMP_ptr,0.0,,76,0.0,0
ICMP_reserved,0.0,,81,0.0,0
ICMP_length,0.0,,84,0.0,0
ICMP_nexthopmtu,0.0,,83,0.0,0
TCP_seq,0.012783362674465334,960446095959.2,25,0.0,2
TCP_ack,0.011761328004980613,897271702002.0,63,0.0,2
TCP_dataofs,0.008144581457175759,3333.7999999999997,21,0.0,0
TCP_reserved,0.0,,80,0.0,0
TCP_flags,0.02157315119962646,1030.2968699635248,29,0.0,1
TCP_FIN,0.0,44.79999999999999,74,0.0,0
TCP_SYN,0.00032834932929972087,64.59999999999998,58,0.0,0
TCP_RST,6.322074428927059e-05,12.399999999999997,66,0.0,0
TCP_PSH,0.0005348598707514711,137.4,69,0.0,0
TCP_ACK,0.004205966912432576,417.0,48,0.0,0
TCP_URG,0.0,,88,0.0,0
TCP_ECE,0.0,,90,0.0,0
TCP_CWR,0.0,,89,0.0,0
TCP_window,0.014608440593420749,4320954.399999999,39,0.0,1
TCP_chksum,0.012664551364277354,14795466.399999997,22,0.0,1
TCP_urgptr,0.0,,73,0.0,0
TCP_options,0.014317001569228782,464.1999999999999,17,0.0,1
UDP_len,0.08687206147183413,120117.18063490193,1,0.0,2
UDP_chksum,0.03465093215308941,25782949.678641986,9,0.0,1
DHCP_options,0.0006236426346566308,95.0,38,0.0,0
BOOTP_op,0.001895989114090581,44.54545454545456,42,0.0,0
BOOTP_htype,0.0009172860120071438,50.66265060240965,47,0.0,0
BOOTP_hlen,0.0007542515843861866,303.9759036144578,43,0.0,0
BOOTP_hops,0.0,,64,0.0,0
BOOTP_xid,0.0032400692826224796,60075295174.610596,31,0.0,1
BOOTP_secs,1.0302241306931494e-05,0.7999999999999999,57,0.0,0
BOOTP_flags,0.005230656496989607,0.8127472527472528,23,0.0,0
BOOTP_sname,0.0002845206283975863,50.66265060240965,61,0.0,0
BOOTP_file,0.0004575504152544841,50.66265060240965,55,0.0,0
BOOTP_options,0.00044693050581326275,50.66265060240965,46,0.0,0
DNS_length,0.0,,62,0.0,0
DNS_id,0.00045689086560030123,176180.79999999993,44,0.0,0
DNS_qr,0.0022090869476834134,55.964630225080406,24,0.0,0
DNS_opcode,0.0,,77,0.0,0
DNS_aa,0.006241504019375869,54.85559105431312,32,0.0,0
DNS_tc,0.0,,72,0.0,0
DNS_rd,0.0010773376808883572,24.6,52,0.0,0
DNS_ra,0.0,,86,0.0,0
DNS_z,0.0,,85,0.0,0
DNS_ad,0.0,,87,0.0,0
DNS_cd,0.0,,71,0.0,0
DNS_rcode,0.0,,79,0.0,0
DNS_qdcount,0.005666744716226957,1.4360248447204926,27,0.0,0
DNS_ancount,0.013622570590052827,433.4974690994705,15,0.0,1
DNS_nscount,0.007228795625371836,13.22453531598513,26,0.0,0
DNS_arcount,1.5239528614984362e-05,0.7999999999999999,65,0.0,0
sport_class,0.02485474001799487,173.32767598842815,13,0.0,1
dport_class,0.011529203758321263,72.17296232455038,19,0.0,1
sport_bare,0.032003542612063306,3854182.9262261866,12,0.0,1
dport_bare,0.02279407631420622,3971072.3469556645,14,0.0,1
TCP_sport,0.02795776778744367,11499257.4,11,0.0,1
TCP_dport,0.015976621013906265,8451412.999999998,16,0.0,1
UDP_sport,0.031086496458043105,2837556.2073303787,10,0.0,1
UDP_dport,0.03228234015260642,3675883.478993138,8,0.0,1
payload_bytes,0.07444117360224135,5.2043574655621505,5,0.0,1
entropy,0.09689090256135763,792.6686851139664,2,0.0,1
Protocol,0.019356392428877496,1.099801679395772,18,0.0,1
